,Case,Planform,Span,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_x,Fin_S,cgx,RTG_h,PropD,Check,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater
0,2000.0,8.254453255,10.469218650988488,11981.66516040745,38460.8518578619,LowClb,3251.0658278306364,4285411.594249655,4285411.594249655,0.05963584731094973,1.5,44.83867187597319,3.791978718040978,0.5530397741688811,3.7880504879618004,40.288802278771996,1.5768360282672518,Fuselage too big,11981.66516040745,10068.420341780895,0.0,52.254400000000004,11929.41076040745,56.83409634166184,231.09206014335552,329.3172190502724,5.400351739461523,13.210920656030723,1198.160471593987,26.960184403466013,0.0,0.015114698322137157
1,2001.0,5.435092799,7.17823020962671,518.048961399649,1519.2016222077518,LowAcc,5194.099046149006,2324775.9859022177,2324775.9859022177,0.010103348300193648,0.2595357322141573,2.582648859267511,2.4022245717171558,0.3570026850077917,2.394433136050799,1.760914437267511,0.6849784081493795,1,518.048961399649,381.8982534648018,0.0,52.254400000000004,465.794561399649,9.481968265394046,10.785480369299481,0.3200432464545717,3.4860785083163472,1.0800875153862228,51.79935950439233,6.9281146466337615,0.0,0.015175878970446123
2,2002.0,0.956712991,2.991828284220639,1855.5870686692285,5810.634753311297,LowAcc,6943.007047705293,3583686.085134237,3583686.085134237,0.11312000195983815,1.5,13.735602680694676,0.2542691975215952,0.18261024927655845,0.2542738677791115,11.576091785633313,1.3563878686416884,Fuselage too big,1855.5870686692285,1588.5776684386617,0.0,52.254400000000004,1803.3326686692285,0.13254831208421666,11.527183002759607,6.756428878350604,1.7831621221207548,3.167646901236822,185.55209473325814,5.8232583904036535,0.0,0.012677890353044874
3,2003.0,6.864264101,10.05928382819738,35217.13112419343,115128.36842190313,LowAcc,4312.59724476921,3435761.1987279095,3435761.1987279095,0.08704697873957831,1.5,121.17482374015282,1.7664611614803567,0.3871905075688301,1.766453815248649,109.6887317329431,1.5761733389651618,Fuselage too big,35217.13112419343,27302.712467191934,0.0,52.254400000000004,35164.87672419343,14.588494459656834,574.8679539307972,3658.0257746518505,3.780858138448839,28.700547039915985,3521.7068088875417,60.48001476706567,0.0,0.013805126217773458
4,2004.0,6.088749715,9.530628225678651,191.41250826983693,430.3989864448428,LowAcc,4596.4749702586805,754491.019967253,754491.019967253,0.04777512627181402,1.5,3.1243785631895533,3.5721219088548515,0.29410745578410247,3.5704126605187962,1.6229342871012549,0.3569515847646449,1,191.41250826983693,108.36151839227027,0.0,52.254400000000004,139.15810826983693,0.5683683644991977,1.2905752394084478,0.1532492200331914,2.8719158813110406,0.40168853217651534,19.132189374100427,6.365086623866467,0.0,0.013516642171352282
5,2005.0,1.503597238,4.708158254446284,3935.8866764448476,13568.841383187015,LowAcc,8101.18086145351,2492346.3679705877,2492346.3679705877,0.09494686963671575,1.5,30.573720714355932,1.2019185567878372,0.07999042245185974,1.2018924404241937,26.843190547561843,1.7635355146339742,Fuselage too big,3935.8866764448476,3385.895912036324,0.0,52.254400000000004,3883.632276444848,0.9136110791165978,37.184966149727245,49.33450911565849,0.7810946648047971,6.168488551577282,393.5797739940033,9.760994871056733,0.0,0.012925982580215248
6,2006.0,1.28693734,4.121128966121466,845.7674473251915,2678.98358569239,LowClb,4105.023996233662,2346958.3406693563,2346958.3406693563,0.08487027070200952,1.5,10.292803714060087,0.7431556138160348,0.10848137480389437,0.7430835741996806,7.750112359240989,0.9124880199590052,Fuselage too big,845.7674473251915,688.4175528513632,0.0,52.254400000000004,793.5130473251915,1.3133376030434767,7.902090345377159,2.59305638158403,1.0593046078861084,1.6868143746942208,84.5672516914381,5.9597178331038165,0.0,0.013921636701408549
7,2007.0,3.481227792,5.790816798759275,258.3844119187802,614.5330839617258,LowAcc,6200.566345676762,1710850.7505617943,1710850.7505617943,0.07255268961219574,1.5,3.894980307823994,0.8356840112655148,0.3331879189848872,0.8356944230006472,2.172235674614952,0.43013316586919353,1,258.3844119187802,169.34563939976712,0.0,52.254400000000004,206.13001191878016,0.1310974818575126,1.3150890012655887,0.27460547540811414,3.2535308343087475,0.5315572870154914,25.83086264368069,5.434817448196241,0.0,0.012812347280625629
8,2008.0,7.866966659,10.009055528897727,118226.91231879703,355955.9279083092,LowAcc,6022.954188171571,4865686.833974254,4865686.833974254,0.1827847781586588,1.5,475.69257696254516,0.839491995320057,1.0485513198943095,0.8394940172514601,430.8949095891586,1.7527477153840005,Fuselage too big,118226.91231879703,45755.20987230096,0.0,52.254400000000004,118174.65791879702,1.9428826590132462,562.5849542882142,59895.60868700563,10.238948822109034,41.42693628028118,11822.682611281338,84.95024952607076,0.0,0.012776633390744986
9,2009.0,8.104644535,10.076274459477657,3000.313186319187,9972.874792604014,LowAcc,3166.9675894494662,2122721.8051304957,2122721.8051304957,0.058807889736241716,1.5,37.40978655217534,1.0005334809173465,0.7995643470414501,1.001269539185806,31.778648272829855,1.5933556657349697,Fuselage too big,3000.313186319187,2501.7610234965646,0.0,52.254400000000004,2948.058786319187,19.19260466495736,35.165796933188865,67.73022870142442,7.8076277946659065,4.786261740826979,300.0236381017265,11.576350241968532,0.0,0.015254643863682428
