Case,Planform,Span,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_x,Fin_S,cgx,RTG_h,PropD,Check,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater
5000,13.12801433,4.335074875,872.3339012,2863.235925,LowAcc,7083.851108,505561.0543,505561.0543,0.348553253,1.5,4.869151555,0.769541691,1.906403476,0.769752446,3.891891981,0.943563188,Fuselage too big,872.3339012,702.2620733,0,52.2544,820.0795012,0.144814607,4.533549689,0.928381731,18.61574846,1.777863052,87.22387316,4.579879956,0,0.013317229
5001,0.861656692,2.076151538,225.371808,530.841719,LowClb,1422.792937,1239667.91,1239667.91,0.13410533,1.5,2.129669928,0.18980342,0.10961558,0.19030021,1.261340478,0.399088244,1,225.371808,138.8406992,0,52.2544,173.117408,0.844235727,3.043378634,0.068772342,1.070379958,0.474869837,22.5308122,6.229014763,0,0.015245324
5002,7.81691714,6.840015269,25856.22076,82900.34408,LowAcc,19286.68137,3387932.512,3387932.512,0.127646566,1.5,94.81989225,1.035951131,0.931662709,1.035970872,85.72858567,1.786134142,Fuselage too big,25856.22076,20712.57837,0,52.2544,25803.96636,2.474705463,303.2077667,2124.71093,9.097548792,24.15038513,2585.612733,42.1212938,0,0.012626384
5003,8.473257919,7.649863817,614.6385562,1844.520874,LowClb,190716.0837,1553037.463,1553037.463,0.089686198,1.5,3.228959814,0.875451448,0.827298601,0.875624809,2.434568999,0.755465298,1,614.6385562,483.2322478,0,52.2544,562.3841562,0.35336793,3.306076871,0.619640315,8.07844869,1.25664888,61.45736902,4.067602374,0,0.012754305
5004,11.01099183,5.931487042,24590.3911,75759.52338,LowClb,3111.342935,3150552.063,3150552.063,0.184765951,1.5,106.2253186,0.747107948,1.984943281,0.748541806,96.02103135,1.573743983,Fuselage too big,24590.3911,19311.04464,0,52.2544,24538.1367,52.40420491,581.6432695,2042.258822,19.38267806,22.09492979,2459.029691,50.26318632,0,0.015275555
5005,17.15556268,6.713962276,2910.543069,271780.1941,LowAcc,6070.790977,3006581.834,3006581.834,0.223488947,1.5,13.44646404,2.681813298,1.144631545,2.681952718,11.72707741,1.740964892,Fuselage too big,2910.543069,2494.365213,0,52.2544,2858.288669,0.635657826,32.83082508,18.64142489,8.09418438,4.919099891,291.0482075,7.741151172,0,0.012905512
5006,2.292070153,5.04191368,133.3354553,212.2790732,LowClb,5615.038613,682865.5284,682865.5284,0.068436429,1.5,1.794345385,0.850382203,0.221033995,0.850283183,0.857285394,0.24297537,1,133.3354553,55.63625505,0,52.2544,81.08105533,0.220169605,0.977239946,0.063432228,2.158364325,0.226702141,13.32452223,8.460728034,0,0.013641766
5007,1.909682134,3.025007167,229.1459501,580.02468,LowClb,6823.078094,657067.8515,657067.8515,0.125831824,1.5,3.259494461,0.354570384,0.235957734,0.354658086,1.853125671,0.417450232,1,229.1459501,143.9443986,0,52.2544,176.8915501,0.096966747,1.529012133,0.205449606,2.304092432,0.508118845,22.90813647,5.382197101,0,0.013178138
5008,3.342670132,5.355381044,3164.968558,10801.11595,LowAcc,8742.8452,2402819.751,2402819.751,0.087010302,1.5,31.55495814,0.746273892,0.288545693,0.746300858,27.24167896,1.77390573,Fuselage too big,3164.968558,2684.002144,0,52.2544,3112.714158,0.954162844,24.42536062,70.17147935,2.817606086,5.174996116,316.4888821,8.66683411,0,0.012692188
5009,1.214089805,2.775967572,2082.874725,6562.922057,LowAcc,108084.6663,4424100.051,4424100.051,0.121160003,1.5,7.934966307,0.253683351,0.147026303,0.253702232,6.752212962,1.432343559,Fuselage too big,2082.874725,1788.742482,0,52.2544,2030.620325,0.273897526,17.64706812,4.694424683,1.435690141,3.459253392,208.2800933,6.074694552,0,0.01272136
