Case,Planform,Span,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_x,Fin_S,cgx,RTG_h,PropD,Check,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater
3000,2.444726196,5.939607875,446.7533221,1348.856232,LowClb,5410.354991,1544478.888,1544478.888,0.060833584,1.5,3.506307187,0.647573162,0.211208279,0.647610912,2.510014041,0.644445888,1,446.7533221,338.9821469,0,52.2544,394.4989221,0.399136436,2.954957631,0.395148881,2.062417656,0.983307364,44.6671254,4.041812788,0,0.012869086
3001,0.983312473,3.644072731,307.8046007,852.4777778,LowAcc,38651.39011,1512304.336,1512304.336,0.101800064,1.5,2.803559568,0.609252006,0.072496029,0.609161179,1.831225359,0.509742474,1,307.8046007,215.4270683,0,52.2544,255.5502007,0.413093817,2.650266813,0.13241424,0.707913016,0.687290738,30.77095098,4.747389072,0,0.013813672
3002,19.8832839,6.629338652,13729.89468,46081.85626,LowClb,7087.459164,1491399.512,1491399.512,0.247177404,1.5,58.06584006,1.378548586,3.112509592,1.379492946,52.28901558,1.605724834,Fuselage too big,13729.89468,11511.68438,0,52.2544,13677.64028,11.25193858,213.2306955,491.1269678,30.39319661,15.19195441,1372.981771,31.76417241,0,0.015203584
3003,14.15427771,13.34554982,15326.49457,49402.96345,LowClb,8472.035905,3216567.866,3216567.866,0.063844753,1.5,51.73857765,2.532233768,0.890751424,2.531760933,46.58140424,1.561649177,Fuselage too big,15326.49457,12713.61555,0,52.2544,15274.24017,50.08315539,273.1535366,649.1287282,8.698056139,15.94762945,1532.639943,30.95939116,0,0.014181185
3004,17.0762241,12.86794651,615.2384026,1246.966172,LowClb,2914735.028,687711.7297,687711.7297,0.050189267,1.296898555,2.376713292,1.236089909,17.4653623,1.238605414,1.640650082,0.612257701,Winglet too big,615.2384026,306.7653424,0,52.2544,562.9840026,7.683297478,4.537699124,0.297180601,175.4291103,0.908958806,61.51734928,5.82979903,0,0.015265554
3005,18.78444471,8.463932878,964.3124281,3155.30248,LowClb,49558.6284,701012.2204,701012.2204,0.162547754,1.5,8.347150708,2.638950585,1.207366754,2.639021399,6.637105337,0.990841377,Fuselage too big,964.3124281,790.1305007,0,52.2544,912.0580281,0.1444065,3.692880631,3.26329746,11.78975809,1.920084623,96.42527602,4.679173644,0,0.012650462
3006,17.5464544,12.61176893,151.7953864,195.9977111,LowAcc,1160.839752,756030.749,756030.749,0.004764869,0.133160218,1.284185518,2.883444653,1.040665809,2.879995214,0.506849811,0.232858695,Span too big,151.7953864,50.84257094,0,52.2544,99.54098643,1.786404169,2.632962932,0.042506333,10.16194797,0.212894534,15.1731654,18.67346082,0,0.01507334
3007,0.558348768,2.741636235,254.5311441,633.9503693,LowAcc,13075.23164,1524635.712,1524635.712,0.193906677,1.5,1.728615107,0.801067952,0.032678388,0.800376547,0.930967002,0.437717529,1,254.5311441,161.0532222,0,52.2544,202.2767441,1.394920457,4.150901248,0.076263748,0.319099632,0.545756347,25.44556092,9.275791608,0,0.015227964
3008,6.259944242,9.657122883,2253.332071,8837.482275,LowAcc,3545.41287,2391836.232,2391836.232,0.052895072,1.5,12.52026366,3.479945571,0.29431557,3.465335585,10.77823729,1.528338527,Fuselage too big,2253.332071,1869.80749,0,52.2544,2201.077671,42.98141694,36.11074676,11.98334876,2.873948088,3.843545852,225.3247295,8.137195943,0,0.015249474
3009,7.717859977,9.44945484,622.1471528,1809.866779,LowClb,1140.560902,3099563.881,3099563.881,0.008421689,0.261216245,3.703401406,1.346182568,0.488795,1.346968681,2.792741471,0.748560338,1,622.1471528,478.6338789,0,52.2544,569.8927528,7.407146324,9.923949343,0.547991405,4.773011005,1.238894019,62.20797446,5.144726687,0,0.015180628
3010,4.635927195,3.870810209,13667.02071,47416.01387,LowAcc,907.4577431,2115758.019,2115758.019,0.192157787,1.5,49.35657281,0.359437662,0.863517815,0.360964235,44.41397081,1.643958156,Fuselage too big,13667.02071,11366.29933,0,52.2544,13614.76631,36.89999598,405.4872754,383.7774148,8.432123962,15.33646177,1366.694847,31.82380855,0,0.015055971
3011,7.628576429,7.975445115,179.5429592,310.2146763,LowAcc,742.6936437,1184415.826,1184415.826,0.007916555,0.165529328,1.401553737,0.679404237,0.943851973,0.682157188,0.622170648,0.300086321,1,179.5429592,79.90449386,0,52.2544,127.2885592,2.62974779,3.750454801,0.05828476,9.216575156,0.310047917,17.94588087,13.4579506,0,0.015123466
3012,6.843804594,9.52331227,8744.838034,35212.81312,LowClb,1303.339467,3987899.334,3987899.334,0.064090384,1.5,37.58329861,1.114675267,0.516840392,1.116234289,33.63972536,1.606676159,Fuselage too big,8744.838034,7154.459591,0,52.2544,8692.583634,165.3637775,220.9035729,241.8697768,5.046870121,10.28256715,874.475802,20.16654585,0,0.015130534
3013,13.53670704,13.28299987,469.7492388,1266.342809,LowClb,830.1032173,2059361.316,2059361.316,0.006386145,0.137927922,3.660764266,0.88998315,2.157808997,0.893026677,2.57621799,0.624418909,Span too big,469.7492388,324.6063105,0,52.2544,417.4948388,10.30239288,7.617645676,0.757211903,21.07068626,0.936786132,46.96597059,5.222669627,0,0.015165186
3014,19.28693145,14.80938526,10130.17431,33763.78686,LowAcc,5625.320871,1874521.483,1874521.483,0.066097895,1.5,55.71411369,2.225992211,1.380744004,2.226339995,50.00229252,1.651725842,Span too big,10130.17431,8280.289791,0,52.2544,10077.91991,13.34604315,114.5770737,610.9298516,13.48276134,12.05075079,1013.009545,20.22071645,0,0.01337781
3015,6.48591969,9.53842214,266.494536,664.8180382,LowClb,5822.190037,1207337.846,1207337.846,0.00974188,0.318165034,2.065926441,1.207847775,0.696255385,1.206389615,1.295224999,0.448647177,1,266.494536,165.1843464,0,52.2544,214.240136,5.110362232,3.970066665,0.126159058,6.798831036,0.566457433,26.64144018,5.827228281,0,0.015244742
3016,10.87978838,9.960176049,22137.95632,72139.47302,LowClb,9669.007058,2294814.483,2294814.483,0.087538983,1.5,93.04414488,1.860207347,0.852507291,1.860574661,84.07673124,1.569930591,Fuselage too big,22137.95632,17640.45537,0,52.2544,22085.70192,50.53296971,471.2956847,1633.191728,8.324607826,21.28491385,2213.788329,46.81332995,0,0.014983093
3017,3.793914046,7.398841476,2741.460498,8773.618931,LowAcc,16124.21299,3653521.784,3653521.784,0.025955683,0.674146234,17.44527616,0.599644592,0.500614229,0.601021128,15.12860963,1.637700601,Fuselage too big,2741.460498,2272.060732,0,52.2544,2689.206098,45.40280626,61.54143415,17.55420423,4.888424036,4.491414979,274.1401165,9.111840946,0,0.015124511
3018,13.47836177,13.99393388,10083.82869,53303.13064,LowAcc,3536.230182,2358008.744,2358008.744,0.052515751,1.5,43.14778497,0.797537614,2.684440805,0.800642328,38.72470208,1.560424746,Span too big,10083.82869,8277.446287,0,52.2544,10031.57429,134.5507351,231.5451433,316.9956332,26.2131681,11.97006611,1008.373222,24.46472328,0,0.015310833
3019,13.63096339,14.0443531,2741.044386,9115.146921,LowClb,703.5641687,3178229.944,3178229.944,0.007993939,0.195742771,14.94348618,2.046098922,1.372485571,2.041200287,12.97780112,1.660720387,Span too big,2741.044386,2253.262724,0,52.2544,2688.789986,51.06698669,63.81142385,19.80234859,13.40211896,4.474517159,274.0984305,8.856436653,0,0.015000473
3020,1.522946844,2.136159255,20198.2567,67567.18633,LowClb,1779.88301,3182917.98,3182917.98,0.275287295,1.5,76.41466898,0.246078184,0.315293043,0.246308671,68.99825396,1.578013448,Fuselage too big,20198.2567,16613.95551,0,52.2544,20146.0023,17.80785064,648.3681378,778.0910882,3.078790009,20.17003416,2019.818556,44.69717035,0,0.015166258
3021,13.60391811,12.53402521,3745.338914,12381.07679,LowClb,4944.973382,2387136.386,2387136.386,0.056637222,1.5,20.68488311,0.760134442,2.938305069,0.760594295,18.17687116,1.711519933,Span too big,3745.338914,3183.645391,0,52.2544,3693.084514,6.403603735,33.57008521,51.47856744,28.69211516,5.701088728,374.5253215,9.055171272,0,0.013169941
3022,7.55103307,10.18561267,8512.510585,28643.40309,LowClb,7026.98271,2497009.044,2497009.044,0.061323529,1.5,42.83952135,0.928411517,0.642898852,0.929179537,38.37025544,1.574240168,Fuselage too big,8512.510585,7048.551207,0,52.2544,8460.256185,59.51501856,163.9978956,299.1628398,6.277812363,10.5768087,851.2426159,20.91682541,0,0.015161178
3023,3.180550564,6.121819561,1049.408332,3139.853084,LowClb,1621.431278,2242090.855,2242090.855,0.065376238,1.5,5.708664326,0.640485646,0.312040384,0.641231983,4.601672642,0.982044,Fuselage too big,1049.408332,844.5918025,0,52.2544,997.1539324,20.07857988,15.30694829,1.79490243,3.047028278,1.893283655,104.9342337,5.492233079,0,0.014920578
3024,1.656809254,4.321368466,164.4327473,306.2356254,LowClb,21676.11803,1057594.828,1057594.828,0.076364728,1.5,1.390191382,0.286908614,0.294528467,0.286924985,0.643393172,0.297166993,1,164.4327473,82.21138298,0,52.2544,112.1783473,0.035371206,0.951104026,0.04249643,2.876026996,0.305571443,16.4361542,9.307557768,0,0.012682266
3025,5.780159086,8.458307473,10505.08181,35520.12743,LowClb,12279.46547,3294398.875,3294398.875,0.069886128,1.5,54.20940741,0.47853875,0.849289743,0.478708451,48.68999197,1.57884676,Fuselage too big,10505.08181,8870.641097,0,52.2544,10452.82741,9.286191536,149.6959241,330.0435664,8.293188946,12.43508152,1050.498426,21.92017747,0,0.013754211
3026,1.617025423,3.960638984,424.7969116,1212.909524,LowClb,4778.269477,1970344.55,1970344.55,0.086814088,1.5,2.277507702,0.50267631,0.129809933,0.502713116,1.446163996,0.610529362,1,424.7969116,317.9345126,0,52.2544,372.5425116,0.203908529,3.436603826,0.136160287,1.267574827,0.905030016,42.47196879,6.173538959,0,0.013213694
3027,8.01256298,10.9211652,6722.148375,23153.59295,LowClb,18281.92451,2644960.424,2644960.424,0.057429966,1.5,27.29209536,2.177497497,0.468187553,2.177337266,24.33731319,1.753920383,Fuselage too big,6722.148375,5814.835184,0,52.2544,6669.893975,3.751635079,67.79737512,83.29188066,4.571782333,9.142549307,672.2063324,14.28422305,0,0.013013197
3028,3.635321092,6.095357401,1070.845149,3638.529833,LowClb,33412.60107,1277210.607,1277210.607,0.071835338,1.5,5.232062997,2.036277292,0.211392136,2.036133565,4.271039208,1.06455489,Fuselage too big,1070.845149,892.7549072,0,52.2544,1018.590749,0.540497216,7.651874949,1.567247221,2.064212992,2.1506683,107.0779232,4.77050718,0,0.012910496
3029,0.508024416,2.318183388,47097.31282,136778.4164,LowAcc,5948.764913,3842297.02,3842297.02,1.288066116,1.5,321.6801487,0.202804263,0.063037469,0.202804678,291.0327812,1.699228768,Fuselage too big,47097.31282,30067.43748,0,52.2544,47045.05842,0.609374638,511.7715676,11659.12386,0.615551578,31.82120716,4709.722588,63.94365447,0,0.013139024
