Case,Planform,Span,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_x,Fin_S,cgx,RTG_h,PropD,Check,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater
4014,8.744044094,7.248882024,209676.8726,438575.368,LowAcc,3379.700132,3535508.053,3535508.053,0.219294344,1.5,449.3192947,2.93910696,0.520169595,2.938983581,407.6166989,1.555634072,Fuselage too big,209676.8726,56696.67763,0,52.2544,209624.6182,98.1359104,2476.155187,129185.0648,5.079379289,51.10924424,20967.67825,144.7024801,0,0.015333858
4015,2.096718617,3.570526322,334.191169,848.2756596,LowAcc,6325.629032,2948353.853,2948353.853,0.019847887,0.478941699,3.485404259,1.394956767,0.142934722,1.392588517,2.212468707,0.508689842,1,334.191169,228.6958899,0,52.2544,281.936769,5.561682372,6.120390951,0.33579611,1.395736456,0.685136354,33.41315335,5.71389507,0,0.015088467
4016,4.160080424,2.167771342,81978.41157,174240.5222,LowAcc,13764.74304,5073423.808,5073423.808,0.627690728,1.5,444.5289757,0.888864837,0.470495828,0.888872492,402.7630687,1.664029849,Fuselage too big,81978.41157,46155.24749,0,52.2544,81926.15717,0.683060591,732.1107453,26703.8096,4.594322291,41.35670318,8197.832716,90.50921678,0,0.013315803
4017,9.34937299,3.092807066,15975.24425,184538.1266,LowAcc,911712.7152,4091762.104,4091762.104,0.473857933,1.5,163.384039,1.178648136,0.846384601,1.178670086,146.1983202,1.750888707,Fuselage too big,15975.24425,11912.13471,0,52.2544,15922.98985,0.246453231,116.1342156,2248.141031,7.219315629,15.30906165,1597.516266,26.27603767,0,0.012756572
4018,13.48872096,11.02598628,1526.074657,4728.837693,LowClb,2305.673076,1745715.299,1745715.299,0.074716224,1.5,5.972334264,2.50399807,0.893708473,2.504233464,4.967160019,1.214706681,Fuselage too big,1526.074657,1273.379815,0,52.2544,1473.820257,10.39752358,16.19352075,2.977354578,8.726931288,2.653308156,152.5977536,6.878760475,0,0.015289777
4019,1.699166911,2.603492915,354.2903459,953.8291274,LowClb,846.9369439,1331755.579,1331755.579,0.165716039,1.5,2.052801744,0.548770561,0.13765414,0.549370799,1.263867542,0.540277623,1,354.2903459,250.8328109,0,52.2544,302.0359459,1.148369946,5.021923391,0.080667654,1.344172352,0.750874723,35.42273525,7.419207903,0,0.015183759
4020,0.832168216,1.531607684,4240.424576,14657.11089,LowClb,4801.3729,2670662.468,2670662.468,0.262931911,1.5,16.76452526,0.642326292,0.049681638,0.642351987,14.77783684,1.573788338,Fuselage too big,4240.424576,3656.284137,0,52.2544,4188.170176,0.933745792,71.76765236,15.9503323,0.48513386,6.38073643,424.0336476,12.31989864,0,0.014892178
4021,3.030982454,4.366481437,1267.084441,3958.107817,LowClb,2006.38829,2136934.129,2136934.129,0.106013187,1.5,4.88441837,1.902350235,0.108683177,1.902322218,3.986826384,1.11060991,Fuselage too big,1267.084441,1056.893185,0,52.2544,1214.830041,3.365894316,16.47690277,1.398978496,1.061275179,2.300160969,126.7004744,6.61787449,0,0.015295386
4022,5.724964277,6.88141295,2973.740193,9389.445604,LowClb,5815.849104,3388780.783,3388780.783,0.081700283,1.5,20.02677129,2.577659459,0.304712745,2.57737135,17.3543371,1.581038265,Fuselage too big,2973.740193,2553.784427,0,52.2544,2921.485793,3.649168773,29.071555,21.53404012,2.975474964,4.580829997,297.3677527,8.508509024,0,0.014035264
4023,8.141254644,7.370816272,104845.419,336862.3736,LowClb,1789.571209,5619803.987,5619803.987,0.200466716,1.5,401.1753807,1.395660441,0.619669501,1.395748555,363.796123,1.546319456,Fuselage too big,104845.419,52695.9367,0,52.2544,104793.1646,62.14856404,1739.524546,39634.81407,6.050981187,45.37997419,10484.53439,124.7600355,0,0.015333027
