Case,Planform,Span,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_x,Fin_S,cgx,RTG_h,PropD,Check,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater
1,8.832261104,6.021059157,247553.1185,794791.0917,LowClb,55000,1364740.548,1364740.548,0.291295774,1.5,537.1695965,1.45324233,0.460312739,1.453284602,486.6869336,1.583286549,Fuselage too big,247553.1185,43750.06452,0,52.2544,247500.8641,19.17474637,1451.198087,177357.9433,4.49488593,43.65141319,24755.30242,119.0194622,0,0.015315203
2,0.5,0.707106781,101067.2191,400631.8851,LowAcc,400,2558516.848,2558516.848,1.904582209,1.5,307.9531803,0.417222652,0.071675156,0.417231607,279.5039802,1.692089971,Fuselage too big,101067.2191,72862.08731,0,52.2544,101014.9647,3.179815579,3868.030644,13926.36161,0.699897315,64.0512663,10106.71424,183.8248717,0,0.01500646
3,0.5,2,77239.56685,351223.6124,LowAcc,inf,6397385.294,6397385.294,2.571344569,1.5,549.0870893,0.824684562,0.013554232,0.824686267,496.4250765,1.692089971,Fuselage too big,77239.56685,38964.96645,0,52.2544,77187.31245,7.39492595,1332.701713,29030.05322,0.13235507,36.3674005,7723.949142,91.73228188,0,0.014955523
4,20,17.32050808,33887.32103,193480.7691,LowAcc,inf,2558954.117,2558954.117,0.051202387,1.5,148.4772403,7.963962804,1.127418769,7.962987029,134.3303377,1.781063743,Span too big,33887.32103,22197.44566,0,52.2544,33835.06663,16.58838095,336.3941224,7813.28881,11.00907782,25.88816342,3388.724944,45.71486547,0,0.01260518
5,20,4.472135955,2881.763115,9182.043937,LowClb,6200,1065356.344,1065356.344,0.428705282,1.5,10.21268879,0.836913743,2.234592938,0.836945728,8.830806121,1.690268003,Fuselage too big,2881.763115,2488.050441,0,52.2544,2829.508715,0.043019269,10.95220248,8.566004901,21.8204701,4.531463963,288.170661,7.361715641,0,0.012736223
6,20,12.64911064,5285.781253,16757.58485,LowAcc,inf,4478169.706,4478169.706,0.008951885,0.182022225,66.52356392,0.775138267,3.383859784,0.779093033,57.73096257,1.692089971,Winglet too big,5285.781253,4244.225994,0,52.2544,5233.526853,32.26879042,109.7269793,263.1740357,33.04289117,7.024104873,528.5717474,15.47742704,0,0.014883144
7,0.5,2,1527.053819,4864.353634,LowClb,6720,1492285.966,1492285.966,0.178250978,1.5,24.12050865,0.398202309,0.062471717,0.398200129,19.18273051,1.279709413,Fuselage too big,1527.053819,1283.744048,0,52.2544,1474.799419,0.505349016,15.57007922,10.34912339,0.610027092,2.884484249,152.6997164,8.422447719,0,0.014144237
8,20,4.472135955,30277.92359,821591.3425,LowAcc,inf,2558954.117,2558954.117,0.458417335,1.5,260.7835686,0.637834826,1.46391,0.637856453,234.3309668,1.549057697,Winglet sizing exceeded iter. lim,30277.92359,16474.56988,0,52.2544,30225.66919,0.301249011,383.4075492,10263.05376,13.59334038,20.1792447,3027.78366,42.76635686,0,0.014144237
9,20,17.32050808,159.6547541,156.0363035,LowAcc,280,425617.8146,425617.8146,0.005105069,0.206595521,4.746824841,0.856323281,2.927827462,0.86465999,1.570290684,0.203192555,Winglet too big,159.6547541,40.19443488,0,52.2544,107.4003541,3.242591279,2.191945503,0.5426032,28.58980287,0.174148425,15.95841436,16.49145811,0,0.014955523
10,20,4.472135955,1568.61546,5990.972903,LowClb,inf,426492.3529,426492.3529,0.391234342,1.5,24.10172623,2.725944122,1.940316031,2.734451797,19.16565558,1.279104582,Fuselage too big,1568.61546,1282.538449,0,52.2544,1516.36106,5.658323756,15.53952607,24.78535481,18.94689956,2.882295643,156.8550824,9.140122381,0,0.01500646
