,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold
0,8.0,1.6163551534660776,4.139246867093146,0.0,10.6,2.107559358288769,0.35,0.0,178.60891054715978,411.0743010755685,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02419204249768689,0.28548,11.800574508220876,2.666671219482994,0.7151061089695153,0.07262409067030937,0.0899286583306887,0.14933699448330473,0.07357112733590718,2.666671219482994,3.0,0.0,4.0,0.3225142781756038,3.0,1,1,Titan,178.60891054715978,94.71718196945513,0.0,52.254400000000004,126.35451054715978,4.687852638024689,8.122331933658586,0.10845649221888859,0.43907003539972744,0.39605479036663016,17.85213286364184,0.01684625995394527,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,0.0
1,9.0,1.5242419266077738,4.168495887406946,0.0,11.4,2.2032,0.35,0.0,169.38845329739837,372.6046374177295,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022828243680948795,0.28749,12.593610091867184,2.607224052646931,0.699962360639841,0.07651082813671412,0.097397408091618,0.1500205453183043,0.0776199737331865,2.607224052646931,3.0,0.0,4.0,0.30651945093470956,3.0,1,1,Titan,169.38845329739837,86.27675494000533,0.0,52.254400000000004,117.13405329739835,5.26779852547612,7.680934331350955,0.10330372936011807,0.4755356547339352,0.36666124104387665,16.93078675395,0.017694557037684983,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,0.0
2,10.0,1.612130725928154,4.43486131196044,0.0,12.2,2.2988406417112297,0.35,0.0,173.95401363833702,382.54664482635695,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022224306334999007,0.28472,12.811198500788334,2.6298721639210125,0.705731807958045,0.08552795886012579,0.10486598634048591,0.17283579032838498,0.08649959636606291,2.6298721639210125,3.0,0.0,4.0,0.3127096266013546,3.0,1,1,Titan,173.95401363833702,89.49237884166084,0.0,52.254400000000004,121.69961363833701,5.93253806307662,7.85603725205525,0.10978873926253632,0.5120004366731651,0.37793719524743224,17.38699880695371,0.017350738967133943,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,0.0
3,11.0,1.5368707600005613,4.469823249302739,0.0,13.0,2.394481283422459,0.35,0.0,174.10297675751696,381.0216125122614,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02318918855561812,0.29267,12.620967710795291,2.6258260127962205,0.7047010793699754,0.0905441410137334,0.1123344256570543,0.22716333330609514,0.0914494198204005,2.6258260127962205,3.0,0.0,4.0,0.3116127556880753,3.0,1,1,Titan,174.10297675751696,88.91789825433341,0.0,52.254400000000004,121.84857675751697,6.62775452392263,7.832318248001655,0.11233186185197988,0.5484645402856992,0.37592994452535844,17.40188564200744,0.01741017814845903,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,0.0
4,12.0,1.6493502877801194,4.770852541356277,0.0,13.8,2.49012192513369,0.35,0.0,180.50870521906083,367.4556368583403,LowAcc,45.0,119068.04349397456,119068.04349397456,0.020471159264747026,0.29204,14.26592388946513,2.604669866506073,0.6993116996552569,0.08398687239578773,0.1198027508588089,0.15059545036829744,0.08538807044882982,2.604669866506073,3.0,0.0,4.0,0.30581347929718816,3.0,1,1,Titan,180.50870521906083,85.91410650966058,0.0,52.254400000000004,120.10407942589454,7.297019064651805,7.752114848572761,0.11685712803813557,0.5849280867410792,0.36538328428435496,18.041351850811015,0.01773508869449597,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,2.0
5,13.0,1.6468840026102423,4.903519800929689,0.0,14.6,2.58576256684492,0.35,0.0,180.7384255348824,364.9324298472976,LowAcc,45.0,119068.04349397456,119068.04349397456,0.020311608692953106,0.29445,14.496636108500665,2.6012122791184105,0.6984309035464865,0.08681563639260323,0.1272709811832587,0.14953672161936613,0.08829699496877771,2.6012122791184105,3.0,0.0,4.0,0.3048552049969486,3.0,1,1,Titan,180.7384255348824,85.42319137279641,0.0,52.254400000000004,120.40884624537655,8.051970113983018,7.732654481717462,0.11929849077296219,0.6213911699650227,0.36365124424120787,18.06431525697716,0.017790550482976904,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,2.0
6,14.0,1.542361459952713,4.87363996241739,0.0,15.4,2.68140320855615,0.35,0.0,183.33747761398212,342.8477615948691,LowAcc,45.0,119068.04349397456,119068.04349397456,0.01989639755237829,0.30756,15.45807471881945,2.547344390941717,0.7642033172825151,0.07083883844959456,0.1347391317730396,0.12827703006262267,0.07323164305489861,1.9062690344526816,2.0,0.0,4.0,0.29686085825214975,3.0,1,1,Titan,183.33747761398212,81.38780131619383,0.0,52.254400000000004,122.91587782513815,8.916389784112175,8.432079800618524,0.11927136147601908,0.6578538638903318,0.3493205019399965,18.3239557119693,4.714621920497629,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,2.0
7,15.0,1.5759818833936607,5.052811743077047,0.0,16.200000000000003,2.77704385026738,0.35,0.0,184.57281128850616,354.00347556464925,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02029811193518772,0.30257,14.906312516460256,2.5490151977221944,0.7647045593166583,0.07695568280099516,0.1422072147105958,0.15099414275869988,0.07929442410475783,1.907580793302176,2.0,0.0,4.0,0.2972345556967205,3.0,1,1,Titan,184.57281128850616,81.57404744765248,0.0,52.254400000000004,124.1304716273628,9.758012211555268,8.453854918951821,0.12238887120565357,0.6943162275086482,0.3499856603380474,18.447396275278404,4.715886450432133,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,2.0
8,16.0,1.540917506731793,5.1181635001668795,0.0,17.0,2.872684491978609,0.35,0.0,180.6928580534409,336.0883299448512,LowAcc,45.0,119068.04349397456,119068.04349397456,0.019448398410513032,0.30295,15.577118156744325,2.5150385624688516,0.7545115687406554,0.077697080202155,0.1496752397541722,0.1499931004954518,0.08034159279352168,1.8809055652085382,2.0,0.0,4.0,0.289540437210044,3.0,1,1,Titan,180.6928580534409,77.78664548719954,0.0,52.254400000000004,120.53319486124691,10.605606661645687,8.185806174292479,0.1200678971703586,0.7307783084638819,0.33638469574642815,18.059729384665076,4.693592687623134,0.0,0.014583564440330758,0.0,Inverted_V,yes,yes,2.0
