,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb
0,1.0,0.0306435137895812,0.391430158454744,0.1171010737901241,5.0,1.438074866310161,0.35,0.0,29074.785281420904,83955.73659526161,LowClb,995.0,426142.537588187,426142.537588187,3.4825764920112374,1.5,0.43071559330882886,397.79813718692986,0.7282934079955428,0.13081211639357468,-0.49,0.1308084685761226,397.79813718692986,439.0,0.0,1.6354022098988454,3.0,Winglet sizing exceeded iter. lim,1,Titan,29074.785281420904,14935.829849533175,0.0,52.254400000000004,29022.530881420902,1.2984234212263663,4242.892313987389,6918.383616716997,-4.7725476767297135,21.414005411997792,2907.470372774078,0.0,0.0,0.014847252770279146,0.0,0.27
1,2.0,0.0612870275791624,0.7426865073585636,0.1171010737901241,9.0,1.9162780748663104,0.35,0.0,33103.60300115273,90335.67240281044,LowClb,995.0,426142.537588187,426142.537588187,1.7554689652659525,1.5,0.8544725253930939,405.99592838835997,0.7283658669905628,0.12059893813139295,-0.49,0.1205901901062779,405.99592838835997,448.0,0.0,1.6354022098988454,3.0,Winglet sizing exceeded iter. lim,1,Titan,33103.60300115273,15248.062244512108,0.0,52.254400000000004,33051.348601152735,4.126263523205156,4428.113148800824,10043.686449411065,-4.76042134382586,21.75436463752164,3310.3517043590577,0.0,0.0,0.014847252770279146,0.0,0.27
2,3.0,0.0919305413687436,1.0932049386065115,0.1171010737901241,13.0,2.39448128342246,0.35,0.0,36846.91155340545,96180.25555640896,LowClb,995.0,426142.537588187,426142.537588187,1.1766958812527535,1.5,1.2747558854400383,413.20928919058656,0.7283045837229624,0.13399355483528097,-0.149462,0.13397494913084024,413.20928919058656,456.0,0.0,1.6354022098988454,3.0,Winglet sizing exceeded iter. lim,1,Titan,36846.91155340545,15515.157287240369,0.0,52.254400000000004,36794.65715340545,8.244028324217936,4589.621920130635,12976.31432953906,-1.4229675136448245,22.044262455444542,3684.6834459766064,0.0,0.0,0.014847252770279146,0.0,0.27
3,4.0,0.1225740551583248,1.4435230991194847,0.1171010737901241,17.0,2.8726844919786103,0.35,0.0,41162.39281052216,103060.18030443703,LowClb,995.0,426142.537588187,426142.537588187,0.8911126635990062,1.5,1.6832888379588649,423.0619858145581,0.728116273594394,0.1445618113908166,0.0099535273427053,0.14453089684384463,423.0619858145581,467.0,0.0,1.6354022098988454,3.0,Fuselage too big,1,Titan,41162.39281052216,15873.088377777998,0.0,52.254400000000004,41110.13841052216,13.613230385859,4786.474206669348,16298.141684371052,0.14579208732248086,22.43097887431733,4116.229293103493,0.0,0.0,0.014847252770279146,0.0,0.27
