,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb,Tail_type,Winglet,Wing Folding
0,44.0,0.3207065807386833,1.378248797370127,0.0,5.923076923076923,1.5484294529000409,0.35,0.0,63.08636337336259,497.62686016189923,LowAcc,45.0,193109.76138516006,193109.76138516006,0.036100779099026044,0.19364,5.363873158217358,1.8172176,0.54516528,-0.0012135468506408993,0.0462578860564012,0.4804870326176108,1.6112111644872584e-14,0.6665213999999999,1.0,0.0,0.0,3.0,1,1,Titan,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,0.27,Conventional,yes,no
1,45.0,0.3407507420348511,1.4570995981169352,0.0,6.230769230769231,1.5852143150966675,0.35,0.0,63.185764919718245,499.2386463843015,LowAcc,45.0,190654.27531790623,190654.27531790623,0.0354278776864498,0.18726,5.285668017071817,1.8172176,0.54516528,-0.0013171054960761921,0.0491316856871119,0.4756665490042977,1.6112111644872584e-14,0.6665213999999999,1.0,0.0,0.0,3.0,1,1,Titan,63.185764919718245,63.185764919718245,63.185764919718245,63.185764919718245,63.185764919718245,63.185764919718245,63.185764919718245,63.185764919718245,63.185764919718245,63.185764919718245,63.185764919718245,63.185764919718245,63.185764919718245,63.185764919718245,63.185764919718245,0.27,Conventional,yes,no
2,84.0,0.3207065807386833,1.378248797370127,0.0,5.923076923076923,1.5484294529000409,0.35,0.0,63.08636337336259,503.18010550939636,LowAcc,45.0,193959.54048102268,193959.54048102268,0.036060779099026045,0.19195,5.322957650828579,1.8172176,0.54516528,-0.0012135468506331729,0.0462578860564012,0.4591542440840242,2.373101715136272e-14,0.6665213999999999,1.0,0.0,0.0,3.0,1,1,Titan,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,0.27,T-tail,yes,no
3,124.0,0.3207065807386833,1.378248797370127,0.0,5.923076923076923,1.5484294529000409,0.35,0.0,63.08636337336259,497.22715221198814,LowAcc,45.0,192994.9707845541,192994.9707845541,0.03613358662332065,0.19387,5.36536829352213,1.8172176,0.54516528,-0.0012135468506247855,0.0462578860564012,0.3823040025459159,3.200217868482014e-14,0.6665213999999999,1.0,0.0,0.0,3.0,1,1,Titan,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,63.08636337336259,0.27,H-tail,yes,no
