,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_x,S_Vtail,cgx,RTG_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb
48,49.0,0.9802141733822664,3.696428571428571,0.0,13.93938646747654,2.53111077158136,0.35,0.0,176.6914735029343,444.9016468186058,LowClb,75.0,111902.97196510962,111902.97196510962,0.046822237107889,0.5331678016681007,0.0,0.17770963557723723,0.20057805121606398,0.17735945759167157,1.4021622241993708,0.3167401037125095,4.0,1,1,Titan,176.6914735029343,102.24170866810843,0.0,52.254400000000004,124.43707350293428,3.171706225193196,0.0,0.00439488426066148,2.2989607353250334,0.41890103281131713,17.661270585742372,-1.3744634376820362,0.0,0.014594809175303324,0.0,0.27
49,50.0,0.9944201758950528,3.75,0.0,14.141406561208086,2.553882352941177,0.35,0.0,177.68755066854942,448.35740447771786,LowClb,75.0,111902.97196510962,111902.97196510962,0.046560823911304616,0.5285138507085336,0.0,0.1782541155699523,0.2038729239381965,0.17788818117408628,1.4087812775897484,0.318061427437622,4.0,1,1,Titan,177.68755066854942,103.03416010762561,0.0,52.254400000000004,125.4331506685494,3.2310063210699402,0.0,0.004438318388811425,2.3360436298056997,0.42155188962302137,17.760809587566396,-1.369453994705377,0.0,0.014594809175303324,0.0,0.27
50,51.0,1.0086261784078394,3.8035714285714284,0.0,14.343426654939629,2.5766539343009933,0.35,0.0,178.6724040827968,451.75049603980364,LowClb,75.0,111902.97196510962,111902.97196510962,0.04629920673084668,0.5239580832291684,0.0,0.1788016716926837,0.20716647044157233,0.17841966097376902,1.4153141686256312,0.31936019053620307,4.0,1,1,Titan,178.6724040827968,103.8162959509654,0.0,52.254400000000004,126.4180040827968,3.2906580193676422,0.0,0.004481504608386563,2.373160768473298,0.42416351069205943,17.859226988400398,-1.3645774688856822,0.0,0.014594809175303324,0.0,0.27
51,52.0,1.0228321809206258,3.857142857142857,0.0,14.545446748671177,2.59942551566081,0.35,0.0,179.6757848211479,455.23538579202517,LowClb,75.0,111902.97196510962,111902.97196510962,0.04605570350452309,0.5195824417505773,0.0,0.17935274358323733,0.21046623804605202,0.17895440892060416,1.421981527040603,0.32068026275804484,4.0,1,1,Titan,179.6757848211479,104.61453060207161,0.0,52.254400000000004,127.42138482114787,3.35076773365489,0.0,0.004525041257555643,2.410315058016003,0.42682409622024875,17.959495843651926,-1.359668362899659,0.0,0.014594809175303324,0.0,0.27
52,53.0,1.0370381834334124,3.9107142857142856,0.0,14.747466842402716,2.6221970970206265,0.35,0.0,180.69530691272644,458.7651299677576,LowClb,75.0,111902.97196510962,111902.97196510962,0.04582381396299736,0.5153727186532184,0.0,0.17990937987220987,0.2137669643607366,0.17949431554270234,1.4287620546604336,0.32201719138975304,4.0,1,1,Titan,180.69530691272644,105.42631418442373,0.0,52.254400000000004,128.44090691272643,3.4117922589874268,0.0,0.004568886353348519,2.4474787092223065,0.4295249320589993,18.061377720808316,-1.3547445883030063,0.0,0.014594809175303324,0.0,0.27
53,54.0,1.051244185946199,3.964285714285714,0.0,14.949486936134257,2.644968678380444,0.35,0.0,181.71931836693287,462.344938928563,LowClb,75.0,111902.97196510962,111902.97196510962,0.0456041701527121,0.5112894032235454,0.0,0.18046999824352736,0.2170711029367649,0.1800379151128387,1.4355747211295722,0.32335488997567374,4.0,1,1,Titan,181.71931836693287,106.2419455189991,0.0,52.254400000000004,129.46491836693286,3.4730400104315198,0.0,0.004612808824127626,2.484648980229335,0.4322336382100035,18.163708224528502,-1.3498656234650368,0.0,0.014594809175303324,0.0,0.27
54,55.0,1.065450188458985,4.0178571428571415,0.0,15.1515070298658,2.66774025974026,0.35,0.0,182.7334543930108,465.86690643015373,LowClb,75.0,111902.97196510962,111902.97196510962,0.0453837520013452,0.5072875609634667,0.0,0.18103336578678178,0.22037596444087823,0.18058389468625832,1.4423077674902793,0.32467153954233907,4.0,1,1,Titan,182.7334543930108,107.04804451325028,0.0,52.254400000000004,130.47905439301078,3.5350303719245137,0.0,0.004656518479772993,2.5218797113773403,0.43490588390829044,18.265051866579093,-1.3451092816838104,0.0,0.014594809175303324,0.0,0.27
55,56.0,1.0796561909717717,4.071428571428571,0.0,15.353527123597347,2.690511841100077,0.35,0.0,183.76744566476702,469.44901807115957,LowClb,75.0,111902.97196510962,111902.97196510962,0.04517556888123352,0.503445425354866,0.0,0.1816020194030112,0.22368450628248018,0.18113487956155153,1.4491853189306063,0.32601095725361157,4.0,1,1,Titan,183.76744566476702,107.87144405662963,0.0,52.254400000000004,131.51304566476702,3.5974929035494196,0.0,0.004700622715373854,2.5591196800500438,0.4376306049667608,18.368379663603093,-1.340316675922616,0.0,0.014594809175303324,0.0,0.27
56,57.0,1.0938621934845585,4.125,0.0,15.555547217328892,2.7132834224598934,0.35,0.0,184.80736569517606,473.05856948082436,LowClb,75.0,111902.97196510962,111902.97196510962,0.04497580995048577,0.499719116839756,0.0,0.18217663754614305,0.22699427102352107,0.18169136720314358,1.4560997889493483,0.3273520403152371,4.0,1,1,Titan,184.80736569517606,108.69926359466449,0.0,52.254400000000004,132.55296569517606,3.660918939597902,0.0,0.0047448415101385795,2.5963424365095182,0.44036503810891825,18.47229992750651,-1.335563891896723,0.0,0.014594809175303324,0.0,0.27
57,58.0,1.1080681959973446,4.178571428571429,0.0,15.75756731106044,2.73605500381971,0.35,0.0,185.85816570879467,476.67942031466714,LowClb,75.0,111902.97196510962,111902.97196510962,0.04478208188682541,0.49611739699867596,0.0,0.18274937518492246,0.23030862509329003,0.1822457138536851,1.4630875102785794,0.3287017719532393,4.0,1,1,Titan,185.85816570879467,109.53585298286069,0.0,52.254400000000004,133.60376570879467,3.7252554200077395,0.0,0.00478927953940249,2.6336683143778004,0.4431234882512094,18.57730743922239,-1.3308260246398635,0.0,0.014594809175303324,0.0,0.27
