,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_D,Fuse_x,S_Vtail,cgx,RTG_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb
0,1.0,1.93780248184174,1.39204974115214,8.193582205652692,1.0,1.4380748663101606,0.35,0.0,879.9076949960947,8976.32927246762,LowAcc,75.0,492857.85870171397,492857.85870171397,0.43393978058656546,1.5,15.203081300987384,11.50259111710539,0.4176699482313345,0.3343403879823484,0.41801765845655814,15.004405426501538,1.465208355959284,4.0,Winglet too big,Tail span too big,Mars,879.9076949960947,407.1442604359251,29.116625674343517,52.254400000000004,827.6532949960947,0.5127330777681935,0.3513453369703124,0.012788949734419831,3.7927039746402227,4.778539278407271,87.98138029708561,0.0,0.0,0.004601589410141546,293.95831638180977,0.27
1,2.0,2.325362978210088,2.0458869374376873,8.193582205652692,1.8,1.5337155080213905,0.35,0.0,822.3020852258142,8323.205084574567,LowAcc,75.0,492857.85870171397,492857.85870171397,0.3344608840248201,1.5,14.14609633165377,10.695382754713062,0.4777524099487342,0.5282842394599345,0.4780713758174594,13.948166483408606,1.4100005395363815,4.0,Fuselage too big,Tail span too big,Mars,822.3020852258142,377.1508790879992,26.97167082104323,52.254400000000004,770.0476852258141,0.7506723192241711,0.3459043588156061,0.013894473252707961,5.806271123954918,4.479227863487715,82.22148035241914,0.0,0.0,0.004601589410141546,272.30308323620727,0.27
2,3.0,2.712923474578436,2.655861636814677,8.193582205652692,2.6,1.6293561497326203,0.35,0.0,758.6472272509457,7698.7805522218405,LowAcc,75.0,492857.85870171397,492857.85870171397,0.2652536271536138,1.5,12.9853925988569,9.809073459954002,0.48075393424005053,0.6991235488398052,0.4811324232354873,12.788423303871577,1.3467786244065123,4.0,Fuselage too big,Tail span too big,Mars,758.6472272509457,344.21835025351794,24.616524972845713,52.254400000000004,706.3928272509456,1.074818097288631,0.33941263299911384,0.014244495087983467,7.594910808055309,4.147454832949248,75.85672512101472,0.0,0.0,0.004601589410141546,248.52578444777683,0.27
3,4.0,3.100483970946784,3.2467900303559927,8.193582205652692,3.4000000000000004,1.7249967914438504,0.35,0.0,704.2701973636341,7092.861558913806,LowAcc,75.0,492857.85870171397,492857.85870171397,0.2132810245199934,1.5,11.986358392607306,9.04632951242894,0.504414583146113,0.8728252182137838,0.5048325010433149,11.790366422254637,1.2898923953526065,4.0,Fuselage too big,1,Mars,704.2701973636341,315.87712987624127,22.58972320976619,52.254400000000004,652.0157973636341,1.448904349280067,0.33337308682416944,0.01435020160743526,9.40570423139439,3.8589523851381045,70.41964626031289,0.0,0.0,0.004601589410141546,228.0634121736595,0.27
4,5.0,3.488044467315132,3.827503985984019,8.193582205652692,4.2,1.8206374331550803,0.35,0.0,661.107633714119,6588.442729834439,LowAcc,75.0,492857.85870171397,492857.85870171397,0.17550190752208125,1.5,11.182886651521159,8.432991761155675,0.5373475016704287,1.049572535470367,0.5377686154766205,10.98780880721223,1.2422609214942337,4.0,Fuselage too big,1,Mars,661.107633714119,293.087384469618,20.959931141697314,52.254400000000004,608.8532337141189,1.874719710985502,0.3281811968276653,0.014397203019334363,11.246237815462344,3.6246882445066944,66.10388532788104,0.0,0.0,0.004601589410141546,211.609207014711,0.27
5,6.0,3.87560496368348,4.402047798288588,8.193582205652692,5.0,1.91627807486631,0.35,0.0,634.7267028067013,6265.928554541621,LowAcc,75.0,492857.85870171397,492857.85870171397,0.14976683092834625,1.5,10.672989369262831,8.043812033424057,0.5755029112698243,1.2291870365715705,0.5758699283579953,10.478563854553217,1.2110663485177395,4.0,Fuselage too big,1,Mars,634.7267028067013,278.6266621449116,19.925783101741434,52.254400000000004,582.4723028067012,2.3505451375388504,0.32477496574890713,0.014602585718940304,13.115805878998335,3.474872565270839,63.46609503620679,0.0,0.0,0.004601589410141546,201.1685598011553,0.27
6,7.0,4.263165460051828,4.9725606751753775,8.193582205652692,5.800000000000001,2.01191871657754,0.35,0.0,618.14394370788,6051.812625738572,LowAcc,75.0,492857.85870171397,492857.85870171397,0.1311546630743148,1.5,10.333939463524052,7.785059326903128,0.617042442785637,1.4114995189354413,0.6172881241139057,10.139983758023854,1.189873568488076,4.0,Fuselage too big,1,Mars,618.14394370788,269.0122069892573,19.238212333753157,52.254400000000004,565.88954370788,2.8763353520641366,0.3225044793395906,0.014902309407481442,15.011130837878932,3.374720975054629,61.808009449436774,0.0,0.0,0.004601589410141546,194.22691939227784,0.27
7,8.0,4.650725956420176,5.540288017095606,8.193582205652692,6.6000000000000005,2.1075593582887704,0.35,0.0,608.4066139366341,5913.357455032494,LowAcc,75.0,492857.85870171397,492857.85870171397,0.11720776484079609,1.5,10.113853563818658,7.617109414197101,0.6607077848590691,1.5962218826139751,0.6607569276064742,9.920219882234191,1.17591347085871,4.0,Fuselage too big,1,Mars,608.4066139366341,262.77170451946944,18.791927338262653,52.254400000000004,556.1522139366341,3.4517635361210086,0.3210851884943868,0.01527734572742702,16.930722524354596,3.3094695322332313,60.83438821118946,0.0,0.0,0.004601589410141546,189.72127415137172,0.27
8,9.0,5.038286452788524,6.106006858056669,8.193582205652692,7.4,2.2032,0.35,0.0,602.2957946959677,5814.630546067627,LowAcc,75.0,492857.85870171397,492857.85870171397,0.10616257191361225,1.5,9.956191046507989,7.496802223201619,0.7058629474675061,1.7830701423187576,0.7056329880077564,9.762796909202867,1.1658107077910702,4.0,Fuselage too big,1,Mars,602.2957946959677,258.30145913235407,18.4722409905545,52.254400000000004,550.0413946959677,4.077280039335361,0.3201301580785929,0.015681239026932053,18.870265186400893,3.262604744599775,60.22337639486562,0.0,0.0,0.004601589410141546,186.49375522134181,0.27
9,10.0,5.425846949156872,6.670228255696078,8.193582205652692,8.2,2.2988406417112297,0.35,0.0,600.4601777681514,5762.424169731259,LowAcc,75.0,492857.85870171397,492857.85870171397,0.09751593394125145,1.5,9.872409101182917,7.432873325628767,0.75199930741648,1.971760802022585,0.7514024470009394,9.679145408114195,1.1604065095624725,4.0,Fuselage too big,1,Mars,600.4601777681514,255.92605781915125,18.302365893239323,52.254400000000004,548.2057777681514,4.752675537184063,0.31974942258213834,0.016147676516148506,20.827970798436397,3.2376587662325655,60.03983572770278,0.0,0.0,0.004601589410141546,184.77871453769657,0.27
