,Case,Planform,Span,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_x,Fin_S,cgx,RTG_h,PropD,Check,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater
0,6000.0,18.29355977,5.946097136407333,22280.026129982227,353916.11987059296,LowAcc,8723.236856710073,2995826.014382895,2995826.014382895,0.26047214294069043,1.5,209.94830886786477,1.0622893325765306,3.032456644396652,1.0627792653282289,188.62049006982804,1.5624831660957945,Fuselage too big,22280.026129982227,14921.877196159525,0.0,52.254400000000004,22227.771729982225,7.217200036396446,290.65234791160793,4693.758459514036,29.611491395930397,18.563571978973332,2227.994260893169,38.083131614163854,0.0,0.014070478424098053
1,6001.0,18.85696987,7.817719408236075,92284.8074896719,215755.79094223303,LowClb,9272.64605233234,1399083.9021032802,1399083.9021032802,0.21308771067465013,1.5,383.6984037782637,2.270438659820823,1.6392791393513517,2.270682157144301,346.94323708095146,1.598939999617991,Fuselage too big,92284.8074896719,29913.06666281169,0.0,52.254400000000004,92232.5530896719,27.02010954908607,751.6497934309606,52183.53931337992,16.007318759239418,31.95142707653984,9228.47275047107,80.83041546725615,0.0,0.01529872614189374
2,6002.0,19.88483605,11.207250530935305,16975.643952839324,148540.515623435,LowAcc,1531.6531534759818,3141213.5428120103,3141213.5428120103,0.10081341261119361,1.5,86.3478715655809,0.900278438811408,3.123277552721668,0.9048017801659253,77.83969319797102,1.5628347189831513,Fuselage too big,16975.643952839324,12969.92431729034,0.0,52.254400000000004,16923.389552839322,110.4443413162702,410.6181006401759,1652.2502622258291,30.498344156185407,16.56771963658901,1697.5563431390217,35.51486896200013,0.0,0.015255472911855432
3,6003.0,17.96245717,7.1288656867810145,2586.5357125925984,8355.204418134237,LowClb,5754.169743732721,1289906.8249951992,1289906.8249951992,0.1865665441898197,1.5,27.600506099941185,1.3286321253886562,3.869605725299811,1.328751255942393,23.37098764183623,1.6161258685704651,Fuselage too big,2586.5357125925984,2176.3837335719154,0.0,52.254400000000004,2534.2813125925986,0.37474703172563967,12.222315548711903,36.62630780751336,37.786128567439604,4.210319560167828,258.64774568663967,8.017051446274014,0.0,0.012963372211105845
4,6004.0,16.11268589,13.32889668434967,30093.179690659024,168661.4440485224,LowAcc,4587.8104713689745,5303819.029906803,5303819.029906803,0.07454248665632363,1.5,148.83660093909495,3.87284205511853,1.0780336454679074,3.8715294622223047,134.56837079236277,1.5585864478707758,Span too big,30093.179690659024,21823.629517278143,0.0,52.254400000000004,30040.925290659023,89.40354266929286,534.015201630331,4498.548077145906,10.526839378324492,23.56971767129611,3009.3111342703187,51.906542271665174,0.0,0.014718343737467828
5,6005.0,19.93160152,13.023665842380614,29708.035553811358,166197.4184246594,LowAcc,9080.11305898683,3390882.541928732,3390882.541928732,0.08944278896906396,1.5,152.10483444844226,3.339951368122402,1.388619516354234,3.3398512726448284,137.5458752327684,1.625735516912409,Span too big,29708.035553811358,21247.86440131188,0.0,52.254400000000004,29655.781153811356,20.224123712376635,374.2298000689066,4957.746945928192,13.559664550101303,24.238408294602955,2970.7947994522547,47.10954383433738,0.0,0.013466658699438515
6,6006.0,13.98199758,13.138923695495874,36852.147369705344,172678.04404872103,LowAcc,19499.594105772576,5541921.491536617,5541921.491536617,0.07817774362322888,1.5,190.84210337466473,1.675515531576928,14.147697325421879,1.6755191019450963,172.35372906583035,1.7474547143546133,Winglet too big,36852.147369705344,21746.34581790921,0.0,52.254400000000004,36799.892969705346,13.162439566200169,307.46623137140756,10838.932811814848,143.03260167738395,23.44650695737491,3685.207991376611,42.285702501789316,0.0,0.012866530514873025
7,6007.0,10.99199271,6.791006017099707,73.07114522834485,1249991.7945433964,LowClb,5594.649447249249,4467408.755552148,4467408.755552148,2.591033746084299,0.15062111932118463,2.071708236125945,1.02995966573782,1.7511003933623215,0.9317710653498604,0.6495378178465427,0.0,Winglet too big,73.07114522834485,0.0,0.0,52.254400000000004,20.81674522834485,11.773339650996244,1.4035550625912958,0.04750459146511666,0.29294557055560483,0.0,7.299400352736587,0.0,0.0,0.0
8,6008.0,13.94611205,10.359687783629631,90645.09580437702,288640.11410622176,LowAcc,7649.163686261375,2691918.0451376373,2691918.0451376373,0.12457196524785595,1.5,359.8039115799554,1.1699693463027068,2.067854282456581,1.1699850879001288,324.9834871003716,1.7649162027361558,Fuselage too big,90645.09580437702,26787.614544466956,0.0,52.254400000000004,90592.84140437702,5.018716770516079,391.27034863163965,54239.027217703755,20.192291753336466,29.39704541788606,9064.500698406657,55.80779896439888,0.0,0.012742261862731688
9,6009.0,3.303405898,5.007006532777348,66997.5577606709,249890.36275145263,LowAcc,6972.931027650475,4874677.595958537,4874677.595958537,0.2197998014380959,1.5,232.7885442934707,0.4427892293841652,0.5199702377416997,0.4428004776150999,211.0799129752452,1.6286005327863535,Fuselage too big,66997.5577606709,43541.58307861715,0.0,52.254400000000004,66945.30336067089,4.584370581922375,933.3346530871671,15630.81221739392,5.077432598905857,40.73560709798415,6699.746031728613,89.41654499074917,0.0,0.013424574478647233
10,6010.0,15.79969633,4.638256218092729,2631.561546626528,172514.51290329747,LowAcc,4041.6385171265565,1966101.6336287332,1966101.6336287332,0.30504672046753045,1.5,10.38269438395923,0.7615218589351899,5.622406405951218,0.7617171000448208,8.98333356282858,1.575557557137181,Fuselage too big,2631.561546626528,2241.288609628341,0.0,52.254400000000004,2579.3071466265283,0.3531298481787751,39.04280289120522,9.833144175858992,12.801809049014546,4.495117505633637,263.14641910950496,8.332218934131404,0.0,0.013895484659435598
11,6011.0,9.932156981,8.682363908471464,3901.354883888012,12881.054541869136,LowAcc,14566.591368794583,2139413.2455099504,2139413.2455099504,0.09211921697083555,1.5,38.101242717000524,1.9699071298842195,0.5510655438964378,1.969942476694378,33.12919263348073,1.7614626505642097,Fuselage too big,3901.354883888012,3308.7949740915537,0.0,52.254400000000004,3849.100483888012,0.9881178582586807,24.575492139772713,103.41429915221339,5.381073672342556,5.898853891830531,390.1296751049215,9.905122383488418,0.0,0.012875593630163214
12,6012.0,15.39215086,15.07393821937496,6595.255651164533,22805.840392233607,LowAcc,6066.089824738126,2425617.231365652,2425617.231365652,0.05263903365375054,1.5,38.37876289402318,2.2485136798013747,1.124027486732595,2.2470721796751314,34.198040390292405,1.5772690689785485,Span too big,6595.255651164533,5527.955709973433,0.0,52.254400000000004,6543.001251164534,37.992010663104814,85.6360909929179,196.9888313151026,10.975962447368753,8.60884106057008,659.5196181367106,15.310010672792275,0.0,0.014175902532697978
13,6013.0,12.44488334,13.09203249614674,6015.497732532234,22420.83435521892,LowAcc,5246.417523790758,1853152.6016355888,1853152.6016355888,0.05641420216362772,1.5,46.546872535989365,0.6960574455027824,2.0277169735137104,0.6970532742484714,41.31399695862834,1.565058301467171,Span too big,6015.497732532234,5036.432408476462,0.0,52.254400000000004,5963.2433325322345,19.153466935982728,75.71288766682729,187.07836686232812,19.800356857708604,8.222422765200855,601.5400094909606,15.289018080639238,0.0,0.01439539612522993
14,6014.0,8.608161406,10.703345715369228,337887.85373672954,693853.8813064577,LowClb,2289960.860292544,2811977.8440323067,2811977.8440323067,0.23187399171102846,1.5,621.3278106213057,4.099971614576359,0.29600631199139243,4.099967304879582,562.5097353254632,1.7454800121706053,Fuselage too big,337887.85373672954,43624.814318504665,0.0,52.254400000000004,337835.59933672956,2.9758356512889987,744.2848971301963,259539.19477523715,2.8904579318126276,42.96038882950783,33788.77577792589,89.69010339067292,0.0,0.012782128363818214
15,6015.0,19.93560705,16.30682363633031,212869.44923394502,543562.4757317045,LowAcc,3240.3547754087103,4163251.9726075786,4163251.9726075786,0.10008624067611332,1.5,438.18995841073286,2.9325887148394267,1.0649530956717064,2.9325811420455894,396.89065063674315,1.5754324661646735,Span too big,212869.44923394502,43433.52820557838,0.0,52.254400000000004,212817.19483394502,53.96960933755425,1051.2662957812333,146848.74589137718,10.399109740883521,39.205236981697695,21286.93550307801,93.13084231199039,0.0,0.01413975805590835
16,6016.0,13.60742567,10.626740320212205,18710.401242320328,50399.97931053742,LowClb,7912.455222179692,3901148.819692747,3901148.819692747,0.08909601576257423,1.5,136.70051594931266,1.5381689917681085,1.40572736988517,1.538205950479652,122.7505525782167,1.7699050766877908,Fuselage too big,18710.401242320328,13120.498446281494,0.0,52.254400000000004,18658.146842320326,3.883872806925135,133.75510346468073,3472.2315642548783,13.726720213888031,15.98417864464579,1871.0328622649058,27.021265405953862,0.0,0.012828982954773032
17,6017.0,15.34548989,6.767662862087046,44146.62359469506,174631.62369745807,LowAcc,6683.615656652056,3852379.68917477,3852379.68917477,0.23224539082145584,1.5,278.2533689404565,1.8641230044327421,0.9518729774367058,1.8641576063291994,250.67041800694938,1.796707286640983,Fuselage too big,44146.62359469506,21579.626224364652,0.0,52.254400000000004,44094.369194695064,1.9483323861921473,243.2673600315671,17779.685662327338,9.294899082388605,23.393170424775477,4414.6524462722955,42.48834264884039,0.0,0.012757157018177274
18,6018.0,16.04757045,14.046949147888812,17749.543666916492,61236.714202721196,LowAcc,44041.9682296653,2586158.4592597852,2586158.4592597852,0.06947194281986786,1.5,82.15825132179552,2.7405416902753466,0.7690980117517182,2.7405553130987803,74.14285767899577,1.7597044010701108,Span too big,17749.543666916492,14623.305535964055,0.0,52.254400000000004,17697.28926691649,2.423518800937092,155.75325733144615,1084.0617116530118,7.510128528859612,18.47978051187539,1774.9463791827272,30.796211675949653,0.0,0.01274326762797926
19,6019.0,7.937308054,9.282363598234458,268886.3914484926,601772.8304569905,LowAcc,109103.79068047374,5118562.6280438565,5118562.6280438565,0.20217554266797205,1.5,504.6862063565177,1.1506838333389273,0.5368050000000001,1.1506915407529714,456.7329629387276,1.6125662104374887,Fuselage too big,268886.3914484926,41492.79789867156,0.0,52.254400000000004,268834.1370484926,11.216860781438841,899.5568617779313,199414.5090055876,5.241821566736716,37.918074338646626,26888.629818714297,84.25317762618985,0.0,0.013529428206605954
20,6020.0,19.87150128,14.09829943131776,64574.02546540912,217518.29373273734,LowAcc,4756.4563676716225,5423617.060273238,5423617.060273238,0.09636396584751818,1.5,304.5930934250007,2.5174262537679732,1.4284772525741474,2.5173506200845037,275.8662815321858,1.5672087439153781,Span too big,64574.02546540912,35968.87817978085,0.0,52.254400000000004,64521.77106540912,38.191171802263014,728.1546196876559,21204.19750881849,13.94886945936788,34.513593319222004,6457.395467923624,76.47785228429272,0.0,0.01380233335088656
21,6021.0,16.11458919,11.114600844071683,7140.782617535381,23125.389890943232,LowAcc,6778.654924579413,2900125.0450088894,2900125.0450088894,0.08345173807071765,1.5,31.668114711384185,1.1159279003206972,2.287275801796865,1.1162628240036423,28.263905778233127,1.5891651069287691,Fuselage too big,7140.782617535381,6131.63621779394,0.0,52.254400000000004,7088.528217535381,8.002979541635506,77.02505460100923,110.9645581944532,22.334910492513703,9.01427083792952,714.0688212637538,15.4675634132744,0.0,0.01384139687202041
22,6022.0,1.246267204,1.7153150749059949,3244.500701084035,10623.954889980374,LowAcc,1373.050304208656,3108377.1141033308,3108377.1141033308,0.26151982792429584,1.5,27.59168755239398,0.2314061376338398,0.18200339008315897,0.23158473855304645,23.90153253432124,1.5802850338014074,Fuselage too big,3244.500701084035,2774.3746447218873,0.0,52.254400000000004,3192.246301084035,2.1084312310751434,49.09248429118427,24.60195768572419,1.7772362316988437,5.021571485464548,324.4430766856336,10.811572189415253,0.0,0.015326561952647793
23,6023.0,14.0420563,7.586564792677749,205764.4849471837,486560.06361030386,LowAcc,2665.9849999590165,4039450.19038564,4039450.19038564,0.21591469410237785,1.5,456.0624623290051,0.7751784045567863,2.3194247324138177,0.7752898730723055,413.92078283209116,1.595578836818916,Fuselage too big,205764.4849471837,73378.19505174641,0.0,52.254400000000004,205712.2305471837,28.109512166083338,2250.381407775549,109227.87431850497,22.648840053258233,58.75449528658591,20576.438970789844,169.8127274167856,0.0,0.015223444192337836
