,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb,Tail_type,Winglet,Wing_folding
0,1.0,1.3321172292511778,2.5808111411445607,0.0,5.0,1.4380748663101606,0.35,0.0,260.3062210126733,712.789455918243,LowAcc,45.0,119068.04349397456,119068.04349397456,0.05733867187282725,0.3025,5.275671551495327,4.48653179796295,0.7215378238412686,0.032767620035510266,0.0376351364361565,0.11959072604853681,0.03316998769689857,4.48653179796295,5.0,0.0,0.4317501169886188,3.0,Fuselage greater than aeroshell diameter,1,Titan,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,0.27,V-tail,yes,yes
1,2.0,2.711101867422372,3.965399201978252,0.0,5.8,1.53371550802139,0.35,0.0,259.7270410681453,712.0882024621491,LowAcc,45.0,119068.04349397456,119068.04349397456,0.027212775508044157,0.21383,7.857706390029616,4.485411433366286,0.7213665808328058,0.030264827177927937,0.045108312482097596,0.11766245985434477,0.03058391035034181,4.485411433366286,5.0,0.0,0.4315304677368195,3.0,Fuselage greater than aeroshell diameter,1,Titan,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,0.27,V-tail,yes,yes
2,3.0,1.9022496536973728,3.5432820540288152,0.0,6.6,1.6293561497326203,0.35,0.0,256.98513981890676,700.8985758695236,LowAcc,45.0,119068.04349397456,119068.04349397456,0.03858359963963204,0.26897,6.971096593168078,4.467534214544313,0.7186341232532436,0.05007076267141153,0.0525800245670022,0.16873669424512064,0.050402776965253755,4.467534214544313,5.0,0.0,0.42801036150368177,3.0,Fuselage greater than aeroshell diameter,1,Titan,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,0.27,V-tail,yes,yes
3,4.0,3.0433088484815123,4.745575358032279,0.0,7.4,1.7249967914438509,0.35,0.0,320.0455738799061,928.4271189917408,LowAcc,45.0,119068.04349397456,119068.04349397456,0.03295034636190722,0.18198,5.522855450478085,5.497568866748954,0.7360238736317494,0.06564695207706288,0.0600507733566543,0.18334345746617392,0.06594151826799743,5.497568866748954,6.0,0.0,0.4946883742466159,3.0,Fuselage greater than aeroshell diameter,1,Titan,320.0455738799061,320.0455738799061,320.0455738799061,320.0455738799061,320.0455738799061,320.0455738799061,320.0455738799061,320.0455738799061,320.0455738799061,320.0455738799061,320.0455738799061,320.0455738799061,320.0455738799061,320.0455738799061,320.0455738799061,0.27,V-tail,yes,yes
4,5.0,2.822743243058182,4.81108039769417,0.0,8.2,1.8206374331550803,0.35,0.0,283.09670041432076,794.2927238110842,LowAcc,45.0,119068.04349397456,119068.04349397456,0.029794471393604454,0.19554,6.562962551568333,4.616746308944626,0.7414405632463217,0.0779530971597629,0.0675208544167073,0.21318984130305701,0.07819792174302068,4.616746308944626,5.0,0.0,0.45655957678917475,3.0,Fuselage greater than aeroshell diameter,1,Titan,283.09670041432076,283.09670041432076,283.09670041432076,283.09670041432076,283.09670041432076,283.09670041432076,283.09670041432076,283.09670041432076,283.09670041432076,283.09670041432076,283.09670041432076,283.09670041432076,283.09670041432076,283.09670041432076,283.09670041432076,0.27,V-tail,yes,yes
5,6.0,2.7434570191378396,4.969015312135852,0.0,9.0,1.91627807486631,0.35,0.0,267.85480150431806,735.2046108023906,LowAcc,45.0,119068.04349397456,119068.04349397456,0.027999172522320308,0.20503,7.322716406585041,4.522343594315156,0.727011506037296,0.08540413223850124,0.0749904535441688,0.22434615098871,0.0856288695924124,4.522343594315156,5.0,0.0,0.43871314249787363,3.0,Fuselage greater than aeroshell diameter,1,Titan,267.85480150431806,267.85480150431806,267.85480150431806,267.85480150431806,267.85480150431806,267.85480150431806,267.85480150431806,267.85480150431806,267.85480150431806,267.85480150431806,267.85480150431806,267.85480150431806,267.85480150431806,267.85480150431806,267.85480150431806,0.27,V-tail,yes,yes
6,7.0,3.0093540234199327,5.430623300277358,0.0,9.8,2.01191871657754,0.35,0.0,285.38639440107943,797.8489697211903,LowAcc,45.0,119068.04349397456,119068.04349397456,0.027724081168466946,0.20905,7.540376134729078,4.622427980785367,0.7423089828500876,0.0903596903826852,0.08245969342167479,0.1506738050233554,0.09062797152324842,4.622427980785367,5.0,0.0,0.45761146844457806,3.0,Fuselage greater than aeroshell diameter,1,Titan,285.38639440107943,285.38639440107943,285.38639440107943,285.38639440107943,285.38639440107943,285.38639440107943,285.38639440107943,285.38639440107943,285.38639440107943,285.38639440107943,285.38639440107943,285.38639440107943,285.38639440107943,285.38639440107943,285.38639440107943,0.27,V-tail,yes,yes
7,8.0,1.6270205467239716,4.152880662296245,0.0,10.6,2.107559358288769,0.35,0.0,179.8504247436831,415.8151777883028,LowAcc,45.0,119068.04349397456,119068.04349397456,0.024357318393272986,0.28558,11.724607585655718,2.674071643892061,0.7169913151239607,0.07202953488288005,0.0899286583306887,0.14973841776374006,0.07298233965604015,2.674071643892061,3.0,0.0,0.32445024755522794,3.0,1,1,Titan,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,179.8504247436831,0.27,V-tail,yes,yes
8,9.0,1.523742106724309,4.167812377813704,0.0,11.4,2.2032,0.35,0.0,169.45081177343002,369.53296289598205,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022590720485916434,0.28746,12.724693759953741,2.6075912982296834,0.7000559138733486,0.07561858643500426,0.097397408091618,0.14996615633639818,0.07675551549019302,2.6075912982296834,3.0,0.0,0.30662082317918643,3.0,1,1,Titan,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,169.45081177343002,0.27,V-tail,yes,yes
9,10.0,1.6106016114738422,4.43275756837444,0.0,12.2,2.2988406417112297,0.35,0.0,173.4588120052639,380.66442269595086,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022115569600750118,0.28996,13.111125113872948,2.626896106337247,0.7049736781856464,0.0772586267186769,0.10486598634048591,0.1455611401329264,0.07851626105704396,2.626896106337247,3.0,0.0,0.3119032224750542,3.0,1,1,Titan,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,173.4588120052639,0.27,V-tail,yes,yes
