,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold
0,180.0,5.382244692835253,8.899207054259152,0.0,14.714285714285714,2.59942551566081,0.35,0.0,161.83610713089527,141.9951380645844,LowAcc,6583933.697700327,8.345290766978893,0.00844408909586858,0.21862230519509676,25.890573004737902,-0.46686606753263693,2.428462656768317,0.7285387970304952,0.1450454798113994,1.0791188586673988,0.15078627894073393,0.16251067593088003,0.9064671919953848,1.0,0.0,4.0,0.17809963310044089,3.0,1,1,Titan,161.83610713089527,34.06798096779919,0.0,52.254400000000004,103.55834896515302,15.020805488877384,5.797844521304878,0.13753279676261468,5.268718162493904,0.1625799345221098,16.175779599862455,26.91252392909015,0.0,0.014583564440330758,0.0,V-tail,no,yes,2.0
1,181.0,5.456998091346854,9.018606170926027,0.0,14.904761904761903,2.622197097020626,0.35,0.0,161.4063307868302,140.40714930035023,LowAcc,6533932.161158937,8.281912643748495,0.008383473672460288,0.21835890239892988,26.04635153996355,-0.4699569272418549,2.4221343133124837,0.7266402939937451,0.1408127210117953,1.0538724999080153,0.15052321166446134,0.1589507603195443,0.9039829847765043,1.0,0.0,4.0,0.1769153283024389,3.0,1,1,Titan,161.4063307868302,33.71526828403387,0.0,52.254400000000004,103.14521114072005,15.185398860156976,5.743545151277428,0.13736924734890588,5.1454546796402525,0.1609788211848852,16.132838931942853,26.90977360069455,0.0,0.014583564440330758,0.0,V-tail,no,yes,2.0
2,182.0,5.531751489858456,9.13800338274732,0.0,15.095238095238097,2.6449686783804425,0.35,0.0,161.19791833866483,139.1646051044188,LowAcc,6480731.665986397,8.214479765237403,0.008370876333721364,0.21867647753041122,26.12348681457539,-0.46540721558511033,2.416640554538964,0.7249921663616892,0.14008513772976083,1.064736930808111,0.15044899267233228,0.1584995968241264,0.9018263958841325,1.0,0.0,4.0,0.17588074384921082,3.0,1,1,Titan,161.19791833866483,33.409071502128626,0.0,52.254400000000004,102.94127463878264,15.308261768616843,5.692709121243301,0.13741849482224627,5.198499461453427,0.15958462317083932,16.112017554750462,26.90912854815657,0.0,0.014583564440330758,0.0,V-tail,no,yes,2.0
3,183.0,5.606504888370057,9.257398763426211,0.0,15.285714285714285,2.66774025974026,0.35,0.0,160.89500528324803,137.6273760158495,LowAcc,6429578.286883533,8.149641654477568,0.008320810049990758,0.2187956894511308,26.29499870044189,-0.46292739263625726,2.4104595026693296,0.7231378508007988,0.13848987197145507,1.0664237397409857,0.15043906300171886,0.15728416751906021,0.8994000083497034,1.0,0.0,4.0,0.1747094043641062,3.0,1,1,Titan,160.89500528324803,33.064568172205554,0.0,52.254400000000004,102.64806370526779,15.43674429093205,5.637946522183902,0.1373330835125222,5.206735181541082,0.15801121378123562,16.081753650121023,26.910388026550095,0.0,0.014583564440330758,0.0,V-tail,no,yes,2.0
4,184.0,5.681258286881657,9.376792382910914,0.0,15.476190476190476,2.690511841100076,0.35,0.0,160.69710072256262,136.20620512227094,LowAcc,6384084.735673568,8.091977508649032,0.008257738802815126,0.21873566637470507,26.488566858052767,-0.4635298460553525,2.4060741204458953,0.7218222361337685,0.13564852184856893,1.0534164310207803,0.15045169918029344,0.1549914338859637,0.89767851547356,1.0,0.0,4.0,0.1738735677597985,3.0,1,1,Titan,160.69710072256262,32.82014718839527,0.0,52.254400000000004,102.45409569736921,15.61140521891829,5.595806213668834,0.13746677776052876,5.14322795696719,0.15689177506963056,16.061981409679614,26.912585592469526,0.0,0.014583564440330758,0.0,V-tail,no,yes,2.0
