,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold
0,3.0,1.67688634130579,4.668995870310368,0.0,13.0,2.394481283422459,0.35,184.64775516242804,383.60153572389646,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02120712206760558,0.29028,13.687854442230522,2.632288784842294,0.7063474251688876,0.08143137378617478,0.1123344256570543,0.1495477390403072,0.08268061811097116,2.632288784842294,3.0,0.0,4.0,0.31336291688352574,3.0,1,1,Titan,184.64775516242804,89.83549548841653,0.0,52.254400000000004,123.92608677205745,6.603579811861741,7.954415072357362,0.11818309569412007,0.5484645402856992,0.37913458256744104,18.454914982777456,0.01731563365677432,0.0,0.014583564440330758,0.0,V-tail,yes,yes,2.0
1,4.0,1.5415929621355746,5.11928514114078,0.0,17.0,2.872684491978609,0.35,180.81980056445224,336.7079980804447,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0194853979534897,0.30303,15.551645428197656,2.516186124656912,0.7548558373970736,0.07661694941957542,0.1496752397541722,0.14997218888279276,0.07932209089172529,1.8818065220834588,2.0,0.0,4.0,0.289803639557113,3.0,1,1,Titan,180.81980056445224,77.91456513693518,0.0,52.254400000000004,120.68895256341352,10.610570134738857,8.194748704582551,0.12021957667891235,0.7307783084638819,0.33684668649099414,18.07241622465499,4.694224226427827,0.0,0.014583564440330758,0.0,V-tail,yes,yes,2.0
