,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_D,Fuse_x,S_Vtail,cgx,RTG_h,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb
0,1.0,0.2644137582298298,0.5142117834412488,0.0,1.0,1.4380748663101606,0.35,0.0,391.0855017515968,3416.33140209931,LowAcc,75.0,41875.21381208429,41875.21381208429,0.6070156435132461,1.5,31.318619321320803,0.5,0.08760402560279268,0.0169834302736276,0.0879882812721519,0.0,31.318619321320803,0.9013138641138556,4.0,Fuselage too big,1,Earth,391.0855017515968,0.0,122.987930475546,52.254400000000004,338.83110175159675,0.5563939374993022,93.54712543043512,23.97790832458349,0.24876103357495843,2.142585749934349,39.101409000754174,0.0,0.0,0.0,56.268987799269404,0.27
1,2.0,0.3172965098757958,0.7557338934945503,0.0,1.8,1.5337155080213905,0.35,0.0,234.513547753693,1900.1814002874848,LowAcc,75.0,41875.21381208429,41875.21381208429,0.27896916154672224,1.5,17.483629503070006,0.5,0.2619075668083527,0.04702088392621355,0.26196097403378166,0.0,17.483629503070006,0.6708327502840068,4.0,Winglet too big,Tail span too big,Earth,234.513547753693,0.0,68.65805250616312,52.254400000000004,182.259147753693,0.6060999906701662,48.742044225792554,7.503270761988633,0.5574431243943695,1.3362327566720664,23.44382350283945,0.0,0.0,0.0,31.41218088517266,0.27
2,3.0,0.3701792615217617,0.9810535561102567,0.0,2.6,1.6293561497326203,0.35,0.0,241.3439419246586,1960.3562234400215,LowAcc,75.0,41875.21381208429,41875.21381208429,0.24682887772024809,1.5,17.967563084901343,0.5,0.21311103500182357,0.057788753593061015,0.2132465521363538,0.0,17.967563084901343,0.6802140907802273,4.0,Winglet too big,Tail span too big,Earth,241.3439419246586,0.0,70.55845523804653,52.254400000000004,189.0895419246586,0.9551368105427746,50.295390417366,8.820146060234318,0.6866194308997601,1.3659207182697664,24.12622706195789,0.0,0.0,0.0,32.28164618734154,0.27
3,4.0,0.4230620131677277,1.1993376692034126,0.0,3.4000000000000004,1.7249967914438504,0.35,0.0,240.48566774481955,1937.5285539669444,LowAcc,75.0,41875.21381208429,41875.21381208429,0.2134010528729801,1.5,17.760537047217635,0.5,0.1903233068005308,0.06930773760353419,0.19052805811763884,0.0,17.760537047217635,0.6762166975162744,4.0,Winglet too big,Tail span too big,Earth,240.48566774481955,0.0,69.74546588918534,52.254400000000004,188.23126774481955,1.3507504076548131,49.70580345654957,9.30839518354614,0.8176118429876047,1.3532377851213622,24.04031290367687,0.0,0.0,0.0,31.909690276097862,0.27
4,5.0,0.4759447648136937,1.4138486525146579,0.0,4.2,1.8206374331550803,0.35,0.0,261.5742662327561,2125.345027784439,LowAcc,75.0,41875.21381208429,41875.21381208429,0.20841413301950487,1.5,19.483727884739285,0.5,0.1096891045590984,0.07345648484350771,0.11046280260474065,0.0,19.483727884739285,0.7088024052783263,4.0,Fuselage too big,1,Earth,261.5742662327561,0.0,76.51242048404941,52.254400000000004,209.31986623275608,1.9565240699306328,55.15764481922961,12.20125710856653,0.8767416529095382,1.4580457380661809,26.15154978560246,0.0,0.0,0.0,35.005682574401696,0.27
5,6.0,0.5288275164596596,1.6260804353716019,0.0,5.0,1.91627807486631,0.35,0.0,252.8198183749701,2027.6353829274617,LowAcc,75.0,41875.21381208429,41875.21381208429,0.17879119629648108,1.5,18.5879919738726,0.5,0.11470398481962397,0.08632053659593843,0.11556416132444394,0.0,18.5879919738726,0.6920554655920536,4.0,Fuselage too big,1,Earth,252.8198183749701,0.0,72.99487378763025,52.254400000000004,200.5654183749701,2.4490511684794396,52.39552937502451,11.63228068418993,1.0210105431926915,1.4037772089848235,25.272548122931763,0.0,0.0,0.0,33.39634748453671,0.27
6,7.0,0.5817102681056255,1.8368232236697761,0.0,5.800000000000001,2.01191871657754,0.35,0.0,248.0059148835546,1967.7753220051513,LowAcc,75.0,41875.21381208429,41875.21381208429,0.15764341766297157,1.5,18.03923535690932,0.5,0.12018872073416624,0.09924567104728346,0.12110818057608976,0.0,18.03923535690932,0.6815925225620973,4.0,Fuselage too big,1,Earth,248.0059148835546,0.0,70.83991159205445,52.254400000000004,195.7515148835546,2.9959490279055627,50.732229353609384,11.445435482935299,1.1658257375085286,1.3703055214199198,24.791441099861245,0.0,0.0,0.0,32.4104170682602,0.27
7,8.0,0.6345930197515915,2.04653705814493,0.0,6.6000000000000005,2.1075593582887704,0.35,0.0,246.07742214058405,1935.5324106879903,LowAcc,75.0,41875.21381208429,41875.21381208429,0.14208640657187352,1.5,17.74365567262064,0.5,0.1260461213686354,0.1122338962600614,0.12699124272625667,0.0,17.74365567262064,0.6758896984709235,4.0,Fuselage too big,1,Earth,246.07742214058405,0.0,69.67917288616482,52.254400000000004,193.82302214058404,3.596869512753869,49.86253199996289,11.542997026188491,1.3112230662606899,1.3522024419130603,24.598665063343276,0.0,0.0,0.0,31.879360143996976,0.27
8,9.0,0.6874757713975576,2.2555089688010392,0.0,7.4,2.2032,0.35,0.0,246.27995849932918,1923.4192635702211,LowAcc,75.0,41875.21381208429,41875.21381208429,0.13031277651872689,1.5,17.632608966335255,0.5,0.13219296057119173,0.1252862137446656,0.13312590276657219,0.0,17.632608966335255,0.6737347231627581,4.0,Fuselage too big,1,Earth,246.27995849932918,0.0,69.24309349032542,52.254400000000004,194.02555849932918,4.2521039451311164,49.569174687251966,11.859895365048231,1.457222187942158,1.3453875388016658,24.618834589908467,0.0,0.0,0.0,31.679846694920133,0.27
9,10.0,0.7403585230435235,2.4639277361474896,0.0,8.2,2.2988406417112297,0.35,0.0,247.93887808650024,1924.7603533685933,LowAcc,75.0,41875.21381208429,41875.21381208429,0.1210836220644438,1.5,17.644903171297056,0.5,0.13858466815610923,0.13839833449191002,0.13946469107150147,0.0,17.644903171297056,0.6739736440228343,4.0,Fuselage too big,1,Earth,247.93887808650024,0.0,69.29137272031261,52.254400000000004,195.68447808650023,4.960962507249318,49.66138555158964,12.334360421535662,1.6037875912476356,1.346142403611722,24.784531659438134,0.0,0.0,0.0,31.70193523151556,0.27
10,11.0,0.7932412746894895,2.671922804312543,0.0,9.0,2.39448128342246,0.35,0.0,250.576702850637,1934.8115860406438,LowAcc,75.0,41875.21381208429,41875.21381208429,0.11360603067658985,1.5,17.73704609507771,0.5,0.14518868603037693,0.15156686463712363,0.14597281244896268,0.0,17.73704609507771,0.6757616251788603,4.0,Fuselage too big,1,Earth,250.576702850637,0.0,69.65321713584957,52.254400000000004,198.322302850637,5.724446971347459,50.00461901457188,12.92180622606861,1.7508904323413075,1.351797025751302,25.048041080592686,0.0,0.0,0.0,31.86748496411418,0.27
11,12.0,0.8461240263354554,2.8795859872709935,0.0,9.8,2.49012192513369,0.35,0.0,252.60034242666066,1939.2849304405945,LowAcc,75.0,41875.21381208429,41875.21381208429,0.10675029032798086,1.5,17.778054686016375,0.5,0.17037067374119766,0.16776345047142757,0.17053840661669142,0.0,17.778054686016375,0.6765558541605659,4.0,Fuselage too big,1,Earth,252.60034242666066,0.0,69.81425749588331,52.254400000000004,200.34594242666066,6.452297833587745,50.187299340541855,13.418876442066114,1.927551404076998,1.354311966811553,25.25018438348499,0.0,0.0,0.0,31.941163560208047,0.27
12,13.0,0.8990067779814214,3.0869842640679375,0.0,10.6,2.58576256684492,0.35,0.0,257.4587051687831,1968.4572342330152,LowAcc,75.0,41875.21381208429,41875.21381208429,0.10200447115447195,1.5,18.045486667655585,0.5,0.17195133511833505,0.18023006607980835,0.17203020303444935,0.0,18.045486667655585,0.6817126182904469,4.0,Fuselage too big,1,Earth,257.4587051687831,0.0,70.86446043194918,52.254400000000004,205.2043051687831,7.345271740770943,51.08748345610288,14.307186591184315,2.0677815478215904,1.3706878216185738,25.739785015698722,0.0,0.0,0.0,32.42164856363688,0.27
13,14.0,0.9518895296273874,3.2941676699512756,0.0,11.4,2.68140320855615,0.35,0.0,262.7071482927494,2000.338965462222,LowAcc,75.0,41875.21381208429,41875.21381208429,0.09792071094387066,1.5,18.337756850497588,0.5,0.1737337930342945,0.19271150112996838,0.17370391997483503,0.0,18.337756850497588,0.6873040794317588,4.0,Fuselage too big,1,Earth,262.7071482927494,0.0,72.01220275604891,52.254400000000004,210.45274829274942,8.296363900042314,52.06965189417575,15.266770050364435,2.2081497836537727,1.3885358161171522,26.264314661475026,0.0,0.0,0.0,32.94675943087205,0.27
14,15.0,1.0047722812733533,3.501174350348024,0.0,12.2,2.77704385026738,0.35,0.0,268.47055986255765,2035.896834812293,LowAcc,75.0,41875.21381208429,41875.21381208429,0.0944400695558027,1.5,18.663727385229148,0.5,0.17568269301306105,0.2051965115564884,0.17552391368898107,0.0,18.663727385229148,0.6934870885847843,4.0,Fuselage too big,1,Earth,268.47055986255765,0.0,73.29228605254818,52.254400000000004,216.21615986255765,9.304610525837449,53.1644458873715,16.325166054305146,2.3485475251656323,1.40838302442336,26.840302337492165,0.0,0.0,0.0,33.53241845541419,0.27
