,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_D,Fuse_x,S_Vtail,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb
0,1.0,0.2644137582298298,0.5142117834412488,0.0,1.0,1.4380748663101606,0.35,0.0,195.30954218049496,3402.1720930340916,LowAcc,75.0,41875.21381208429,41875.21381208429,0.6070156435132461,1.5,0.8849952137226949,0.4,0.08721773406710467,0.0169834302736276,0.08798826350381662,0.0,0.0,0.01624417517567026,0.8994259455549887,4.0,Power Unconverged,1,Earth,195.30954218049496,-0.0,54.434753488545475,52.254400000000004,143.05514218049495,0.5563939374993022,2.059956162152812,0.05746692528356914,0.24876103357495843,2.1353346519647607,19.521589524361772,0.0,0.0,0.0,64.04088645711231,0.27
1,2.0,0.2806023556724725,0.591034093702548,0.0,1.2448979591836735,1.467352613772782,0.35,0.0,131.99545068190358,1777.4043373990894,LowAcc,75.0,41875.21381208429,41875.21381208429,0.29578250732836187,1.5,0.8007876117233168,0.4,0.32766820161914284,0.03793057182294177,0.3276670679770038,0.0,0.0,0.00858893863027226,0.651162454659335,4.0,Winglet too big,Tail span too big,Earth,131.99545068190358,-0.0,28.78180960319671,52.254400000000004,79.74105068190357,0.3979325954948919,1.7454475900686104,0.03792746836843543,0.4515049007559609,1.2748590339468209,13.190617015723086,0.0,0.0,0.0,33.86095247434906,0.27
2,3.0,0.2967909531151151,0.664949584975623,0.0,1.489795918367347,1.4966303612354033,0.35,0.0,132.78888772727925,1814.8626485322557,LowAcc,75.0,41875.21381208429,41875.21381208429,0.2856773090119074,1.5,0.8016166716258306,0.4,0.29677694548316474,0.04366569690659336,0.29680387061326835,0.0,0.0,0.008664307712318952,0.654066192488027,4.0,Winglet too big,Tail span too big,Earth,132.78888772727925,-0.0,29.03437382129345,52.254400000000004,80.53448772727924,0.4775552871449097,1.7490410000008516,0.039875986344820785,0.5218517173202213,1.2838444282638444,13.269858638330625,0.0,0.0,0.0,34.158086848580524,0.27
3,4.0,0.3129795505577577,0.736833570184755,0.0,1.7346938775510203,1.5259081086980248,0.35,0.0,135.52814540627216,1880.3923031109166,LowAcc,75.0,41875.21381208429,41875.21381208429,0.28088655680354363,1.5,0.8050559969555067,0.4,0.2688205286877024,0.04646494201215383,0.26889619527127173,0.0,0.0,0.008976973651380442,0.6659770543275741,4.0,Winglet too big,Tail span too big,Earth,135.52814540627216,-0.0,30.082127439622333,52.254400000000004,83.27374540627216,0.5764123346545852,1.7626220745053849,0.04238350119832432,0.5550557362462419,1.3209722209371593,13.543433934846568,0.0,0.0,0.0,35.39073816426156,0.27
4,5.0,0.3291681480004004,0.8072289506048889,0.0,1.9795918367346936,1.5551858561606464,0.35,0.0,137.25861367150554,1919.6895479428372,LowAcc,75.0,41875.21381208429,41875.21381208429,0.2727653014764385,1.5,0.8071478476907941,0.4,0.24747597877589247,0.04946376877503114,0.24760038251218258,0.0,0.0,0.009167141900042914,0.6731183540302729,4.0,Winglet too big,Tail span too big,Earth,137.25861367150554,-0.0,30.719387357429326,52.254400000000004,85.00421367150555,0.6790408609357693,1.7710027211728867,0.04446672614448773,0.5901601935758479,1.343440940804832,13.716259156819678,0.0,0.0,0.0,36.14045571462273,0.27
5,6.0,0.345356745443043,0.876494470142069,0.0,2.224489795918368,1.5844636036232678,0.35,0.0,138.37536696124755,1944.2133195483498,LowAcc,75.0,41875.21381208429,41875.21381208429,0.2633651903896242,1.5,0.8084170103412456,0.4,0.23119877610040188,0.05264783212585565,0.23136924241923187,0.0,0.0,0.009282520322811249,0.6774144131165855,4.0,Winglet too big,Tail span too big,Earth,138.37536696124755,-0.0,31.10602416313789,52.254400000000004,86.12096696124755,0.7852413029494013,1.7762286232722306,0.04625525842932499,0.6270710130149895,1.3570327775162478,13.827791278059351,0.0,0.0,0.0,36.595322544868104,0.27
6,7.0,0.3615453428856857,0.9448786391045576,0.0,2.4693877551020407,1.6137413510858885,0.35,0.0,138.80035538064988,1950.9680905082337,LowAcc,75.0,41875.21381208429,41875.21381208429,0.252462405651334,1.5,0.8087604112785414,0.4,0.21856601666494127,0.0559627339156621,0.21878018258976922,0.0,0.0,0.009313738589838137,0.6785721348431094,4.0,Winglet too big,Tail span too big,Earth,138.80035538064988,-0.0,31.210637580043993,52.254400000000004,86.54595538064986,0.8950986113335923,1.7779194062717278,0.047710479868433645,0.6652516735017829,1.3607052131140644,13.87023526352332,0.0,0.0,0.0,36.718397152992935,0.27
7,8.0,0.3777339403283283,1.0125600416933476,0.0,2.7142857142857144,1.6430190985485102,0.35,0.0,139.06900739201666,1953.1320675676875,LowAcc,75.0,41875.21381208429,41875.21381208429,0.2419141817996384,1.5,0.8088888464898174,0.4,0.20864015543556017,0.059382036758661064,0.2088950952633652,0.0,0.0,0.00932541451813595,0.6790046265634967,4.0,Winglet too big,Tail span too big,Earth,139.06900739201666,-0.0,31.24976399131253,52.254400000000004,86.81460739201665,1.0090056961960223,1.7787996444883027,0.049038563426112604,0.7044274898401817,1.362078180220072,13.897065601459861,0.0,0.0,0.0,36.764428225073566,0.27
8,9.0,0.3939225377709709,1.0796708490940585,0.0,2.959183673469388,1.672296846011132,0.35,0.0,139.01147490106348,1947.1964121547717,LowAcc,75.0,41875.21381208429,41875.21381208429,0.23125218694690752,1.5,0.808577055265314,0.4,0.20073131622370163,0.06287672148676086,0.20102477771604313,0.0,0.0,0.009297069861362892,0.6779542251492664,4.0,Winglet too big,Tail span too big,Earth,139.01147490106348,-0.0,31.154780134793324,52.254400000000004,86.75707490106348,1.1270303867537654,1.7780091962138835,0.050173783988814565,0.7443351025933281,1.3587446182465195,13.891319166952286,0.0,0.0,0.0,36.652682511521554,0.27
9,10.0,0.4101111352136136,1.1463112821936436,0.0,3.204081632653061,1.7015745934737532,0.35,0.0,138.84910201857332,1938.4477678488734,LowAcc,75.0,41875.21381208429,41875.21381208429,0.22110469026792098,1.5,0.8081187530079521,0.4,0.19437530605460393,0.06642913763403639,0.19470480356926945,0.0,0.0,0.009255406019784558,0.6764072779726129,4.0,Winglet too big,Tail span too big,Earth,138.84910201857332,-0.0,31.01516326159564,52.254400000000004,86.59470201857332,1.2495045145324206,1.7766713233223936,0.05120860668710865,0.7847834836805277,1.3538413509669116,13.875102111205193,0.0,0.0,0.0,36.48842736658311,0.27
10,11.0,0.4262997326562562,1.2125588966878613,0.0,3.4489795918367347,1.7308523409363747,0.35,0.0,138.64483380587123,1928.517822592762,LowAcc,75.0,41875.21381208429,41875.21381208429,0.21159566868795587,1.5,0.8075972209968767,0.4,0.1892202338505398,0.07002806121268398,0.18958329049074957,0.0,0.0,0.009207994018777699,0.6746425910026805,4.0,Winglet too big,Tail span too big,Earth,138.64483380587123,-0.0,30.856284121270157,52.254400000000004,86.39043380587123,1.3767183554643998,1.7751047583607875,0.05217393442152786,0.8256841498495595,1.348256853887141,13.85470090171158,0.0,0.0,0.0,36.30151073090607,0.27
