,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb,Tail_type,Winglet,Wing_folding,Num_wing_fold
0,1.0,1.3321172292511778,2.5808111411445607,0.0,5.0,1.4380748663101606,0.35,0.0,260.3062210126733,712.789455918243,LowAcc,45.0,119068.04349397456,119068.04349397456,0.05733867187282725,0.3025,5.275671551495327,4.48653179796295,0.7215378238412686,0.032767620035510266,0.0376351364361565,0.11959072604853681,0.03316998769689857,4.48653179796295,5.0,0.0,0.4317501169886188,3.0,Fuselage greater than aeroshell diameter,1,Titan,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,260.3062210126733,0.27,V-tail,yes,yes,0.0
1,2.0,2.711101867422372,3.965399201978252,0.0,5.8,1.53371550802139,0.35,0.0,259.7270410681453,712.0882024621491,LowAcc,45.0,119068.04349397456,119068.04349397456,0.027212775508044157,0.21383,7.857706390029616,4.485411433366286,0.7213665808328058,0.030264827177927937,0.045108312482097596,0.11766245985434477,0.03058391035034181,4.485411433366286,5.0,0.0,0.4315304677368195,3.0,Fuselage greater than aeroshell diameter,1,Titan,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,259.7270410681453,0.27,V-tail,yes,yes,0.0
2,3.0,1.9022496536973728,3.5432820540288152,0.0,6.6,1.6293561497326203,0.35,0.0,256.98513981890676,700.8985758695236,LowAcc,45.0,119068.04349397456,119068.04349397456,0.03858359963963204,0.26897,6.971096593168078,4.467534214544313,0.7186341232532436,0.05007076267141153,0.0525800245670022,0.16873669424512064,0.050402776965253755,4.467534214544313,5.0,0.0,0.42801036150368177,3.0,Fuselage greater than aeroshell diameter,1,Titan,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,256.98513981890676,0.27,V-tail,yes,yes,0.0
3,4.0,3.0433088484815123,4.745575358032279,0.0,7.4,1.7249967914438509,0.35,0.0,348.5316578168811,928.4271189917408,LowAcc,45.0,119068.04349397456,119068.04349397456,0.03295034636190722,0.18198,5.522855450478085,5.497568866748954,0.7360238736317494,0.06564695207706288,0.0600507733566543,0.18334345746617392,0.06594151826799743,5.497568866748954,6.0,0.0,0.4946883742466159,3.0,Fuselage greater than aeroshell diameter,1,Titan,348.5316578168811,348.5316578168811,348.5316578168811,348.5316578168811,348.5316578168811,348.5316578168811,348.5316578168811,348.5316578168811,348.5316578168811,348.5316578168811,348.5316578168811,348.5316578168811,348.5316578168811,348.5316578168811,348.5316578168811,0.27,V-tail,yes,yes,2.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
