,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_D,Fuse_x,S_Vtail,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb
0,1.0,0.2983260527685158,1.0923846442870127,0.0,4.0,1.4380748663101606,0.35,0.0,198.2163067637559,496.84435107491646,LowAcc,75.0,111902.97196510962,111902.97196510962,0.19847516660912953,1.5,2.8106103322896723,0.7517735872557739,0.18600686355447474,0.05005831929200935,0.18595090324542807,2.8106103322896723,3.0,0.0,0.3376260954208384,4.0,Winglet too big,Tail span too big,Titan,198.2163067637559,115.15394360149129,0.0,52.254400000000004,145.9619067637559,0.8937286395409245,8.926399932768048,0.0929914452676036,0.5873889471892936,0.4615228016268238,19.81596543022868,0.015371156467937777,0.0,0.014594809175303324,0.0,0.27
1,2.0,0.3291873685721554,1.2006721653201642,0.0,4.379310344827586,1.4875441637470035,0.35,0.0,204.61514768668414,519.5184167164578,LowAcc,75.0,111902.97196510962,111902.97196510962,0.18907479093361343,1.5,3.505701898585534,0.7055800473807895,0.18041290068678323,0.05599759276051888,0.18037491520206766,3.505701898585534,4.0,0.0,0.3439258208745065,4.0,Winglet too big,Tail span too big,Titan,204.61514768668414,119.21039265825573,0.0,52.254400000000004,152.36074768668414,1.0742769223338458,10.319273706088977,0.13871540574821112,0.6607470707331413,0.47467830264986816,20.45550518221221,0.012563629486844544,0.0,0.014594809175303324,0.0,0.27
2,3.0,0.360048684375795,1.3089442764127828,0.0,4.758620689655173,1.5370134611838462,0.35,0.0,238.92839564866446,643.089515300039,LowAcc,75.0,111902.97196510962,111902.97196510962,0.21823503201415623,1.5,3.708651500644078,0.744355036931482,0.09116564537346153,0.05369695234040426,0.09165471391800714,3.708651500644078,4.0,0.0,0.385726199238516,4.0,CL > CLmax,1,Titan,238.92839564866446,148.02558096747973,0.0,52.254400000000004,186.67399564866446,1.4336163708336171,11.912601564316107,0.17678073334065983,0.6487271178245059,0.5654294211237091,23.885377088753092,0.011287575817745947,0.0,0.014594809175303324,0.0,0.27
3,4.0,0.3909100001794346,1.4172045094521741,0.0,5.137931034482758,1.5864827586206895,0.35,0.0,238.64972436536758,640.8331232299169,LowAcc,75.0,111902.97196510962,111902.97196510962,0.20026068981226466,1.5,3.70505910925849,0.7436686845709684,0.09510443422530356,0.060181806636462304,0.09563542736123613,3.70505910925849,4.0,0.0,0.38502574976581366,4.0,CL > CLmax,1,Titan,238.64972436536758,147.51552609077052,0.0,52.254400000000004,186.39532436536757,1.6419390390432906,11.886326793878082,0.18162964916668198,0.7226217663812298,0.5638596692168185,23.85752122485369,0.011305322881983779,0.0,0.014594809175303324,0.0,0.27
4,5.0,0.4217713159830742,1.525455393365534,0.0,5.517241379310345,1.635952056057533,0.35,0.0,238.9465578456161,640.6764098490461,LowAcc,75.0,111902.97196510962,111902.97196510962,0.18555852901617312,1.5,3.7048089963222472,0.7436208986852562,0.09901834617333517,0.0667980044327809,0.09958672858358983,3.7048089963222472,4.0,0.0,0.3849769349434438,4.0,CL > CLmax,1,Titan,238.9465578456161,147.48001455843294,0.0,52.254400000000004,186.6921578456161,1.863367654840623,11.887284468173897,0.18682426455124912,0.7978236843357925,0.563750333851088,23.887191508517994,0.01130656373720133,0.0,0.014594809175303324,0.0,0.27
5,6.0,0.4526326317867137,1.6336987866075667,0.0,5.896551724137931,1.6854213534943752,0.35,0.0,237.81704970171077,642.0662412925722,LowAcc,75.0,111902.97196510962,111902.97196510962,0.17330696491811504,1.5,3.6960514368008015,0.741947703589088,0.1029174270228441,0.07353357257300894,0.10351830006021112,3.6960514368008015,4.0,0.0,0.38326379212967443,4.0,CL > CLmax,1,Titan,237.81704970171077,146.23659883265626,0.0,52.254400000000004,185.56264970171077,2.0820713413487937,11.819410535486359,0.19021908572257462,0.8741980434187886,0.5599183387781098,23.774288267203428,0.011350447921174315,0.0,0.014594809175303324,0.0,0.27
6,7.0,0.4834939475903533,1.7419360855831363,0.0,6.275862068965517,1.734890650931219,0.35,0.0,200.50644223635126,506.3079485910795,LowAcc,75.0,111902.97196510962,111902.97196510962,0.12511248542204317,1.2266102476486733,2.814887685803759,0.7528632130290763,0.10682139590458678,0.08037121423264666,0.1074377218735228,2.814887685803759,3.0,0.0,0.33857671328835365,4.0,Power Unconverged,1,Titan,200.50644223635126,115.76125076407429,0.0,52.254400000000004,148.25204223635126,1.9163507972926137,8.972710557835786,0.11184939646466499,0.9515689554466534,0.46349909456148575,20.04488193630021,0.01533592520023723,0.0,0.014594809175303324,0.0,0.27
7,8.0,0.514355263393993,1.8501683598605256,0.0,6.655172413793103,1.784359948368062,0.35,0.0,181.12538127842862,432.0310756957655,LowAcc,75.0,111902.97196510962,111902.97196510962,0.09817540848766203,1.0415627125441456,2.6989565184521087,0.723330562183322,0.1107468438958884,0.08730322085879635,0.11135241651877231,2.6989565184521087,3.0,0.0,0.31178805255956094,4.0,1,1,Titan,181.12538127842862,99.30111295516987,0.0,52.254400000000004,128.87098127842862,1.8180857391918468,8.079396324915283,0.09883256278028583,1.0298611788802492,0.40902129078612703,18.103608222820487,0.016468194709164993,0.0,0.014594809175303324,0.0,0.27
8,9.0,0.5452165791976326,1.9583964425212526,0.0,7.0344827586206895,1.8338292458049048,0.35,0.0,171.39666712155656,394.9725781486335,LowAcc,75.0,111902.97196510962,111902.97196510962,0.08347730395225328,0.9298279971009041,2.6401788543547227,0.7083573649752599,0.11467226861984918,0.09432358497530514,0.11526054602152416,2.6401788543547227,3.0,0.0,0.2972852971206045,4.0,1,1,Titan,171.39666712155656,90.95574325666747,0.0,52.254400000000004,119.14226712155656,1.7947313566776748,7.645531403321189,0.0933674230975359,1.10901607606219,0.3805908065022534,17.131471630443624,0.017220359609312307,0.0,0.014594809175303324,0.0,0.27
9,10.0,0.576077895001272,2.066620992105091,0.0,7.413793103448276,1.883298543241748,0.35,0.0,163.1353562525515,368.03609393670905,LowAcc,75.0,111902.97196510962,111902.97196510962,0.07280310039595618,0.8375990658029815,1.934197763898824,0.7736791055595296,0.11860538868209233,0.10142020630471986,0.11917299821061966,1.9310673320447016,2.0,0.0,0.28631801700852894,4.0,1,1,Titan,163.1353562525515,84.90871294949731,0.0,52.254400000000004,110.88095625255148,1.7792101448784303,6.220717038932598,0.056773041010813825,1.188915508939036,0.35959434002359897,16.30606591497985,0.04637250511452422,0.0,0.014594809175303324,0.0,0.27
