,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold
0,1.0,1.3192606725542275,2.568326957918547,0.0,5.0,1.4380748663101606,0.35,0.0,259.13509204394984,708.0874707350562,LowAcc,45.0,119068.04349397456,119068.04349397456,0.057468330687597005,0.30535,5.3133612260274266,4.479019624315179,0.7203896197482692,0.03299958222462725,0.0376351364361565,0.12049403208287703,0.033404529599966516,4.479019624315179,5.0,0.0,3.0,0.43027519882762516,3.0,Fuselage greater than aeroshell diameter,1,Titan,259.13509204394984,162.76994541819457,0.0,52.254400000000004,206.8806920439498,2.729514304158501,14.417281377085821,0.23959336650299817,0.18375077527046496,0.6116033880028477,25.9050754061807,0.009344444113586212,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
1,2.0,2.694634322354132,3.953337712573259,0.0,5.8,1.53371550802139,0.35,0.0,261.9665643494631,720.2201228885972,LowAcc,45.0,119068.04349397456,119068.04349397456,0.027749839057459588,0.2147,7.736981809351622,4.498403477354806,0.7233523600204945,0.03119401196961274,0.045108312482097596,0.12051191739644966,0.031504151006369184,4.498403477354806,5.0,0.0,3.0,0.4340707498420849,3.0,Fuselage greater than aeroshell diameter,1,Titan,261.9665643494631,165.5221034408254,0.0,52.254400000000004,209.7121643494631,2.337103904702528,14.57433617709346,0.2586877098766192,0.18807958467508112,0.6199079943670434,26.18809600375388,0.009265969728749823,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
2,3.0,1.8780810307208045,3.520700896520082,0.0,6.6,1.6293561497326203,0.35,0.0,255.09162619256384,693.5864842965171,LowAcc,45.0,119068.04349397456,119068.04349397456,0.038612130686040684,0.27227,7.0514109209319775,4.455851978321783,0.7168485426643183,0.050152919054336643,0.0525800245670022,0.1687284154746194,0.05048635679804032,4.455851978321783,5.0,0.0,3.0,0.425694350436051,3.0,Fuselage greater than aeroshell diameter,1,Titan,255.09162619256384,159.48055694337222,0.0,52.254400000000004,202.83722619256383,2.4861632208165583,14.22418902088356,0.26304196322237827,0.256718088276803,0.6016378661761237,25.50089333156845,0.009442193807387046,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
3,4.0,2.9986258072020004,4.710608344290025,0.0,7.4,1.7249967914438509,0.35,0.0,349.12049255933397,928.3625838855256,LowAcc,45.0,119068.04349397456,119068.04349397456,0.03343691612246699,0.18482,5.527423621337358,5.497465761591157,0.7360107409742633,0.06609819367326157,0.0600507733566543,0.1853910055668108,0.06638693014350944,5.497465761591157,6.0,0.0,3.0,0.49467073627013686,3.0,Fuselage greater than aeroshell diameter,1,Titan,349.12049255933397,212.73691984151094,0.0,52.254400000000004,271.06836074303055,2.906648128233315,18.97928855748036,0.4888668884574694,0.272160471637786,0.7582647353536347,34.904315494085274,0.007313061831427803,0.0,0.014583564440330758,0.0,V-tail,yes,yes,2.0
4,5.0,2.8219540413817312,4.81040779345475,0.0,8.2,1.8206374331550803,0.35,0.0,311.49123555881846,812.7002605518386,LowAcc,45.0,119068.04349397456,119068.04349397456,0.03056085342043977,0.19769,6.468732966330731,4.646155294093861,0.7459356027252524,0.07774630488509877,0.0675208544167073,0.21318804785345488,0.07798770405567318,4.646155294093861,5.0,0.0,3.0,0.46197840327509937,3.0,Fuselage greater than aeroshell diameter,1,Titan,311.49123555881846,186.50020036331972,0.0,52.254400000000004,238.45318733811786,3.351003895186371,16.06515859569505,0.35900096620061506,0.3296655870250708,0.6822830231048772,31.14253876091748,0.008752582228327133,0.0,0.014583564440330758,0.0,V-tail,yes,yes,2.0
5,6.0,2.7561586410190744,4.980504770519919,0.0,9.0,1.91627807486631,0.35,0.0,293.08057361268175,752.8753078374447,LowAcc,45.0,119068.04349397456,119068.04349397456,0.028604016693535773,0.20693,7.23429867270229,4.550575360140182,0.7313266125021893,0.08473113854492981,0.0749904535441688,0.22297234273335792,0.08495863262780654,4.550575360140182,5.0,0.0,3.0,0.4441254078282824,3.0,Fuselage greater than aeroshell diameter,1,Titan,293.08057361268175,172.92957116512127,0.0,52.254400000000004,222.68941392439743,3.857192065621261,15.225150736599003,0.34359879511982816,0.3661353533286685,0.6421147625411112,29.30199890627629,0.009068575349678266,0.0,0.014583564440330758,0.0,V-tail,yes,yes,2.0
6,7.0,3.2072902624499036,5.606375350617283,0.0,9.8,2.01191871657754,0.35,0.0,326.4546882418721,862.3888369260443,LowAcc,45.0,119068.04349397456,119068.04349397456,0.028230734012322244,0.21109,7.477311780411474,5.392062145023873,0.7225853253717478,0.08987671756904134,0.08245969342167479,0.14973151080440522,0.09013226478145561,5.392062145023873,6.0,0.0,3.0,0.4762980538950327,3.0,Fuselage greater than aeroshell diameter,1,Titan,326.4546882418721,197.77150463964506,0.0,52.254400000000004,254.52627571710534,4.453260983998673,18.02045470402164,0.5026229161819672,0.40260336562087967,0.7151795259372313,32.638485735695376,0.007580281564206774,0.0,0.014583564440330758,0.0,V-tail,yes,yes,2.0
7,8.0,1.7106388372048507,4.258259230527354,0.0,10.6,2.107559358288769,0.35,0.0,190.8416148106236,455.0434414699255,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02570000134141091,0.28822,11.21478540686243,2.7389283203526964,0.7335130980463918,0.08449922867860245,0.0999286583306887,0.14963020622361922,0.08507134787971854,2.7389283203526964,3.0,0.0,3.0,0.3409469094700905,3.0,1,1,Titan,190.8416148106236,104.97638892093482,0.0,52.254400000000004,138.5872148106236,4.785633876121008,8.684294945567043,0.11915172590957511,0.4878942971589949,0.4287761472502718,19.074475261770328,0.016016071471227543,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
8,9.0,1.6160036864880805,4.292137232890407,0.0,11.4,2.2032,0.35,0.0,181.04708544688907,409.38818948312297,LowAcc,45.0,119068.04349397456,119068.04349397456,0.024015684858337338,0.28944,12.052123506255844,2.676381816926431,0.7175798154830606,0.0872770695404144,0.10739740809161799,0.22615108991996719,0.0879254181640454,2.676381816926431,3.0,0.0,3.0,0.325052233042465,3.0,1,1,Titan,181.04708544688907,96.09591191565616,0.0,52.254400000000004,128.79268544688907,5.329946238390985,8.203129822505051,0.11342264566081985,0.5243599164932027,0.3988409823178155,18.095767183528718,0.016723177895971657,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
9,10.0,1.5222230951237536,4.309422439319426,0.0,12.2,2.2988406417112297,0.35,0.0,170.8115223089003,370.42020089295454,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022650735732857256,0.2899,12.798701261587269,2.6102207537237136,0.7007257491971326,0.0939802694114716,0.1148659863404859,0.2044722739983971,0.0946137325303775,2.6102207537237136,3.0,0.0,3.0,0.30734566540011843,3.0,1,1,Titan,170.8115223089003,86.702232521425,0.0,52.254400000000004,118.5571223089003,6.00488664785286,7.710554244804152,0.10696023808922239,0.5608246984324327,0.3664448918579297,17.07298803016678,0.017647471831592113,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
