,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_x,S_Vtail,cgx,RTG_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb
0,1.0,0.2983260527685158,0.5461923221435063,0.0,1.0,1.4380748663101606,0.35,0.0,275.4060293890444,832.6172809335253,LowClb,75.0,111902.97196510962,111902.97196510962,0.3080549128335053,1.5,0.0,0.37442535234083085,0.03930252645850177,0.37443326486389683,2.1781057145944644,0.44570533412955826,4.0,Winglet too big,Tail span too big,Titan,275.4060293890444,195.13981655185415,0.0,52.254400000000004,223.1516293890444,0.332801585958122,0.0,0.003084002468260223,0.4614882643141708,0.7059232242860074,27.532526754585632,-1.0386058035972576,0.0,0.014594809175303324,0.0,0.27
1,2.0,0.357991263322219,0.7877297695012629,0.0,1.7333333333333334,1.5337155080213905,0.35,0.0,295.67492095991776,929.1156365525467,LowClb,75.0,111902.97196510962,111902.97196510962,0.28919772570231916,1.5,0.0,0.265964009814325,0.0527176887802239,0.26604788876076724,2.326030504053642,0.4662601630529233,4.0,Winglet too big,Tail span too big,Titan,295.67492095991776,212.84978283156607,0.0,52.254400000000004,243.42052095991775,0.6101803827383243,0.0,0.0037392650453181198,0.6293959940403286,0.7567962765603164,29.558646937403275,-1.0026155366111833,0.0,0.014594809175303324,0.0,0.27
2,3.0,0.4176564738759222,1.0149971932115254,0.0,2.466666666666667,1.6293561497326203,0.35,0.0,303.208017783203,956.6120634812245,LowClb,75.0,111902.97196510962,111902.97196510962,0.2556423746751487,1.5,0.0,0.2167495790167446,0.06489533906276414,0.21691777875961984,2.3784500921743184,0.4733299524922619,4.0,Winglet too big,Tail span too big,Titan,303.208017783203,219.12560138373476,0.0,52.254400000000004,250.95361778320301,0.9444980116052722,0.0,0.00419149548856816,0.7693257643628928,0.7746112102744872,30.311670768237885,-0.9908756596761561,0.0,0.014594809175303324,0.0,0.27
3,4.0,0.4773216844296253,1.235892143423042,0.0,3.2,1.7249967914438504,0.35,0.0,300.6719985561647,945.5542503898077,LowClb,75.0,111902.97196510962,111902.97196510962,0.220913833666765,1.5,0.0,0.1937097771197263,0.07815898114472129,0.19395376289753194,2.355112420680784,0.4701955468888064,4.0,Winglet too big,Tail span too big,Titan,300.6719985561647,216.33155059137894,0.0,52.254400000000004,248.4175985561647,1.318399004138056,0.0,0.004478962327834118,0.9197604646972624,0.7666929544189125,30.058164962150865,-0.9960431921224879,0.0,0.014594809175303324,0.0,0.27
4,5.0,0.5369868949833285,1.4533232447054207,0.0,3.933333333333333,1.8206374331550803,0.35,0.0,298.08489085578583,996.2558495401671,LowClb,75.0,111902.97196510962,111902.97196510962,0.20877445655564847,1.5,0.0,0.11971466067962824,0.08443160676138148,0.12041154624192714,2.3310528499048244,0.4669421595114836,4.0,Power Unconverged,1,Titan,298.08489085578583,213.45107201368813,0.0,52.254400000000004,245.83049085578583,1.8017133360773252,0.0,0.004723749091165591,1.0017966323274954,0.7585077617969748,29.799552258117117,-1.001469704487644,0.0,0.014594809175303324,0.0,0.27
5,6.0,0.5966521055370317,1.6686451068175485,0.0,4.666666666666666,1.9162780748663095,0.35,0.0,168.97004701651286,428.0788307271379,LowClb,75.0,111902.97196510962,111902.97196510962,0.0738169554043044,0.8376408464098599,0.0,0.12503531722379244,0.09931497733310185,0.12581556749956724,1.3693916157840866,0.3101153704558247,4.0,1,1,Titan,168.97004701651286,98.31832049143988,0.0,52.254400000000004,116.71564701651288,1.3167110899450263,0.0,0.003157013416188018,1.1678374177677442,0.4057038627224638,16.889660913054843,-1.4003385810085658,0.0,0.014594809175303324,0.0,0.27
6,7.0,0.656317316090735,1.8825816069668717,0.0,5.4,2.01191871657754,0.35,0.0,146.41760753975566,337.5703080764294,LowClb,75.0,111902.97196510962,111902.97196510962,0.05071193560392933,0.6598553513124988,0.0,0.13092083024351364,0.11431184424622194,0.13167279420209865,1.2008580844625738,0.2735227073976805,4.0,1,1,Titan,146.41760753975566,78.14101844749511,0.0,52.254400000000004,94.16320753975566,1.2686275345149163,0.0,0.0029441069172508423,1.334936436210881,0.3356526655115365,14.63597245955354,-1.5705389196228832,0.0,0.014594809175303324,0.0,0.27
7,8.0,0.7159825266444381,2.095557085061763,0.0,6.133333333333333,2.1075593582887704,0.35,0.0,139.37361698444988,308.45312840063673,LowClb,75.0,111902.97196510962,111902.97196510962,0.04163897147829167,0.5757678977202053,0.0,0.1371694113048747,0.12941216818389542,0.13788007667663263,1.1468635021999076,0.2607151340100746,4.0,1,1,Titan,139.37361698444988,71.67663722609858,0.0,52.254400000000004,87.11921698444989,1.3257943133301904,0.0,0.0029443456414159313,1.5030116275229557,0.3122935808958834,13.927720385228426,-1.643779303442858,0.0,0.014594809175303324,0.0,0.27
8,9.0,0.7756477371981413,2.3078376160583534,0.0,6.866666666666666,2.2032,0.35,0.0,137.06744206418625,297.2734317398588,LowClb,75.0,111902.97196510962,111902.97196510962,0.03669669295856532,0.522683845738097,0.0,0.14369555423729188,0.14461077182421359,0.14435552398095525,1.1276033971368524,0.2559916131928785,4.0,1,1,Titan,137.06744206418625,69.37076400189129,0.0,52.254400000000004,84.81304206418623,1.4244367741755257,0.0,0.003011217345317709,1.6720222377186622,0.30383320042294654,13.697392071795026,-1.6730122483378407,0.0,0.014594809175303324,0.0,0.27
9,10.0,0.8353129477518444,2.519598857539433,0.0,7.6,2.2988406417112297,0.35,0.0,136.2270729502478,293.7653219669062,LowClb,75.0,111902.97196510962,111902.97196510962,0.033574536008029225,0.4823735783133537,0.0,0.15045667170409188,0.15989824005853512,0.1510480425336381,1.1191939863711882,0.25390165498035844,4.0,1,1,Titan,136.2270729502478,68.36396600923123,0.0,52.254400000000004,83.97267295024778,1.5219181014998293,0.0,0.00309564695796837,1.84188268773925,0.30011662587385945,13.613460507918127,-1.6863614381477785,0.0,0.014594809175303324,0.0,0.27
