,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season
0,474.0,0.518248097,2.650768983203225,0.0,13.55832514,2.168972846,0.35,0.0,142.876664340515,255.41675673335783,LowAcc,4476793.530778892,14.186102652859827,0.03830001280720488,0.6936858254222662,18.111895390587758,2.1493257709956586,2.348790236276585,0.7046370708829754,0.13874959136123777,0.188526742,0.15452574222438584,0.1371047373533314,1.7503831639084315,2.0,0.0,4.0,0.24848153144116344,3.0,1,1,Titan,142.876664340515,58.87097168362464,0.0,52.254400000000004,90.62226434051499,4.641128662037826,6.832728020639083,0.07546483283511997,0.9204679000029885,0.2672026034142262,14.281588795766652,4.718128277754131,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0,winter
1,475.0,1.309319502,3.3228228742771004,0.0,8.4327407,2.182217106,0.35,0.0,175.71820962941558,387.12915011483824,LowAcc,5137694.218124677,16.28037055455636,0.01597155581036907,0.2563940792806332,16.053168665896454,0.07190272057491623,2.626497808121971,0.7048722145120465,0.10632795766597032,0.19455108200000001,0.15016245806825534,0.1102509019094727,2.626497808121971,3.0,0.0,6.0,0.3117951398007563,3.0,1,1,Titan,175.71820962941558,88.0924206999062,0.0,52.254400000000004,123.46380962941559,7.902916082869751,8.432141822153476,0.11496394835659167,0.9498812953116712,0.37626342927820783,17.563238535773085,0.01740025132627853,0.0,0.014583564440330758,0.0,V-tail,no,yes,0.0,fall
2,477.0,0.593557047,3.0562800097082654,0.0,15.73706781,2.81264385,0.35,0.0,138.39361278302005,230.84359203545253,LowAcc,4201272.884235454,13.313030408635173,0.033643239902763675,0.6661394644264513,19.800098514641878,2.1178598935468567,2.3121525398531872,0.6936457619559562,0.12526508055733784,0.1721835564383424,0.1533704805404775,0.12393984282881633,1.7216187232381799,2.0,0.0,5.0,0.2384842994625573,3.0,1,1,Titan,138.39361278302005,54.600029828186415,0.0,52.254400000000004,86.13921278302003,5.37638770428047,6.381782371912086,0.0757043529938185,0.8406735030187235,0.2512428134823682,13.833640742840231,4.765167901865595,0.0,0.014583564440330758,0.0,V-tail,yes,no,0.0,winter
3,478.0,0.630884092,3.0631865005236003,0.0,14.87295631,2.063018772,0.35,0.0,137.91275938665558,233.65265807481921,LowAcc,4361455.484270085,13.82061843825286,0.029473507547109094,0.5795158885415644,19.662264072753914,1.7337295031131377,2.30972222275896,0.6929166668276879,0.0730226321108812,0.094667322,0.15091174506872176,0.07401845683599037,1.7197106690019375,2.0,0.0,6.0,0.23780628173797735,3.0,1,1,Titan,137.91275938665558,54.33192310313656,0.0,52.254400000000004,85.65835938665558,5.498730312593645,6.470709739473286,0.07543518017228891,0.462206210937686,0.2501732188811278,13.785583401546688,4.769014655473971,0.0,0.014583564440330758,0.0,V-tail,no,no,0.0,winter
4,479.0,0.964862913,3.5961476352208313,0.0,13.40322821,2.537163256,0.35,0.0,143.66099928532827,234.29230313759143,LowAcc,4239602.482724973,13.434489576916409,0.02131006687439977,0.41773066590676683,19.602503754157404,0.882575105962232,2.3436386376772402,0.703091591303172,0.058492653500370716,0.089030729,0.14897177780991439,0.06173135713996795,1.746338617806096,2.0,0.0,5.0,0.24710026720297362,3.0,1,1,Titan,143.66099928532827,58.3004389011403,0.0,52.254400000000004,91.40659928532826,6.620630553075624,6.603137181288496,0.08459146085688025,0.4346859617314406,0.2649765485115563,14.359980705552056,4.723574408731561,0.0,0.014583564440330758,0.0,V-tail,no,yes,0.0,spring
5,480.0,1.3374785,3.6392772802124758,0.0,9.902468804,2.511557688,0.35,0.0,154.50025868124834,268.31205562486775,LowAcc,4364542.832800332,13.83040165538676,0.016958654752529,0.30580053860218676,18.03212242153721,0.28339939391054925,2.4225515142928584,0.7267654542878574,0.06931833554531701,0.12791012000000002,0.14737479214697927,0.0741001404466883,1.808293516151705,2.0,0.0,4.0,0.2674775789252414,3.0,1,1,Titan,154.50025868124834,66.77897863950945,0.0,52.254400000000004,102.24585868124835,7.055347098253559,7.260976440278283,0.09475510598028793,0.6245117180539315,0.2984911542880126,15.443071996812392,4.675142963632092,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0,fall
6,481.0,0.519557818,2.9316505007682676,0.0,16.54209476,2.027700747,0.35,0.0,135.1227429556144,224.16179056420285,LowAcc,4188195.281247182,13.271589985446237,0.03862455643850669,0.7476771127758844,19.357558551287052,2.480601622861663,2.2914334631046924,0.6874300389314077,0.1478397353604768,0.19911428278883261,0.15979219867633593,0.1455505064415899,1.7053520713453525,2.0,0.0,1.0,0.23264064676085272,3.0,1,1,Titan,135.1227429556144,52.314351211890155,0.0,52.254400000000004,82.86834295561438,4.737434086006006,6.212042234130041,0.07210873750258079,0.9721607862890771,0.2420780406287051,13.502402685240671,4.801181609486815,0.0,0.014583564440330758,0.0,V-tail,yes,no,0.0,summer
7,482.0,0.956349728,3.419813888469223,0.0,12.22892284,2.662542244,0.35,0.0,141.53679400536893,240.79545337199065,LowAcc,4353426.758068627,13.7951769401622,0.020612695490934068,0.39378892262642756,19.104193471427592,0.7400367555889182,2.324691709691486,0.6974075129074458,0.056981708708335715,0.078500951,0.14971292982992318,0.06100049178145386,1.7314632888653356,2.0,0.0,5.0,0.2419523288839474,3.0,1,1,Titan,141.53679400536893,55.98332082678695,0.0,52.254400000000004,89.28239400536893,7.098041297176264,6.570870066596924,0.0810283297340427,0.38327509799754295,0.2567392525237816,14.147716577902646,4.74681899221045,0.0,0.014583564440330758,0.0,V-tail,no,yes,0.0,summer
8,486.0,0.797218642,2.5939595222897998,0.0,8.44012627,1.91821487,0.35,0.0,212.43951448759515,517.6231220263385,LowAcc,5866312.865134991,18.589223721496538,0.025457422303902535,0.3904817818855098,15.33862215993684,0.6975929468568615,2.834222863128198,0.7577887136861285,0.1286385851016199,0.19689371500000002,0.1499021932558711,0.1289422243760137,2.834222863128198,3.0,0.0,2.0,0.3638312253514757,3.0,1,1,Titan,212.43951448759515,117.73883087257124,0.0,52.254400000000004,160.18511448759514,8.729166069619033,10.875399909339132,0.13722682806481915,0.9613190279914609,0.475819975274899,21.237601541418087,0.015166698876121695,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0,winter
9,487.0,0.837165129,3.3552664447164506,0.0,13.44754162,2.294351835,0.35,0.0,140.8886713382734,235.3631861944946,LowAcc,4304749.555749208,13.6409281939983,0.02263530674624768,0.4579757979927966,20.23280723017887,1.1187661622238725,2.323195005956404,0.6969585017869212,0.06876339365031675,0.113270748,0.15464028828100637,0.07123111610104357,1.730288219196894,2.0,0.0,5.0,0.24154099407732357,3.0,1,1,Titan,140.8886713382734,55.81820807761698,0.0,52.254400000000004,88.63427133827341,6.564031397837407,6.516407754698259,0.08008349777020231,0.5530360650020022,0.2560851055143744,14.08295542471688,4.748880450676957,0.0,0.014583564440330758,0.0,V-tail,no,yes,0.0,fall
10,490.0,1.168524508,3.0313919934961104,0.0,7.864051935,2.25903381,0.35,0.0,227.0332768754735,611.5435229896938,LowAcc,6275531.898530636,19.88596058803786,0.017324719385080293,0.24878487497011334,14.360109935423369,0.3341083420097187,3.6044337296412334,0.7244434779008508,0.1015674124223025,0.119079815,0.053948161583230056,0.10389538179638247,3.6044337296412334,4.0,0.0,1.0,0.38719807084396607,3.0,1,1,Titan,227.0332768754735,131.85025835023293,0.0,52.254400000000004,174.7788768754735,6.587074764372642,12.29226419206406,0.22181482948669973,0.5813984057805145,0.5233340461276641,22.69629486823508,0.011853854733582088,0.0,0.014583564440330758,0.0,V-tail,no,yes,0.0,summer
11,492.0,0.79328948,3.1080642824341638,0.0,12.17722386,2.050657463,0.35,0.0,140.81551146428797,242.43704409024323,LowAcc,4392305.61968857,13.918376618274422,0.025135312228482375,0.4639883372206915,18.459620990699992,1.0753523890935808,2.325262810836765,0.6975788432510294,0.06438530182915232,0.09443720080467315,0.1494049703503165,0.06690606562683059,1.7319116632614828,2.0,0.0,3.0,0.2421090987736004,3.0,1,1,Titan,140.81551146428797,56.04632332884579,0.0,52.254400000000004,88.56111146428798,6.275699602425434,6.606838022336907,0.07791570741165427,0.4610826611899867,0.2569887216895459,14.075638480072957,4.746041375875375,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0,winter
12,493.0,0.657078509,3.2769538769642654,0.0,16.34268442,2.8135268,0.35,0.0,147.08698618936228,243.33975096576452,LowAcc,4309364.222650851,13.655551190999477,0.030707177665485558,0.6078605340997624,19.795389231846897,1.876544239621147,2.378192891073807,0.7134578673221421,0.07250498170990793,0.101720361,0.1614237190116965,0.07328007889816672,1.7734673368239124,2.0,0.0,6.0,0.2562225801691314,3.0,1,1,Titan,147.08698618936228,62.127277106182255,0.0,52.254400000000004,94.83258618936229,5.587976889299176,6.845237738634149,0.08517246998857263,0.49664215317111826,0.27980169832825086,14.702313990742045,4.693580578576374,0.0,0.014583564440330758,0.0,V-tail,no,yes,0.0,fall
13,494.0,0.388585731,2.291582886749817,0.0,13.51401173,2.100985648,0.35,0.0,158.62137896891514,314.9644809581472,LowAcc,4766796.927387515,15.105067962669894,0.05456909830759921,0.9059306118014238,16.601531634164186,3.136490388431545,2.472033701419227,0.7416101104257681,0.10345567082217876,0.129911012,0.17270432646398637,0.102590634770593,1.8471422314034038,2.0,0.0,4.0,0.2794983078915548,3.0,1,1,Titan,158.62137896891514,72.52002366911694,0.0,52.254400000000004,106.36697896891513,4.270096152339952,7.993544064513159,0.0840827304563576,0.6342809255299339,0.318932307975039,15.854830622088071,4.6766049324553585,0.0,0.014583564440330758,0.0,V-tail,yes,no,0.0,fall
14,495.0,0.723874274,3.1045285334146375,0.0,13.31460139,2.666956997,0.35,0.0,147.1894135526883,260.8235150772907,LowAcc,4448215.18343195,14.095543334828854,0.02642741846227642,0.5182212536774062,19.609227228044862,1.4017805022310956,2.371611105042458,0.7114833315127373,0.07293181740321526,0.132841068,0.15000502310857233,0.07450008581728582,1.7682999433389297,2.0,0.0,5.0,0.25451020025345256,3.0,1,1,Titan,147.1894135526883,61.39835294297979,0.0,52.254400000000004,94.9350135526883,6.1016738113227635,7.000956192632645,0.08317310629142408,0.648586707641265,0.27699666975597365,14.71253764885562,4.698152908768496,0.0,0.014583564440330758,0.0,V-tail,no,yes,0.0,fall
15,497.0,0.632848674,3.0188073912155775,0.0,14.40027994,2.08862434,0.35,0.0,136.52713618561688,228.60165697410974,LowAcc,4353596.709236956,13.795715482916814,0.029121626565689663,0.573979098889959,19.709719771154752,1.6427636691207066,2.2983967455694994,0.6895190236708498,0.050994973601346784,0.141582937,0.14199897518311463,0.05290000243460343,1.710818979608756,2.0,0.0,5.0,0.2346208243434129,3.0,1,1,Titan,136.52713618561688,53.08252375269588,0.0,52.254400000000004,84.27273618561688,5.350395211756716,6.379555917024271,0.07386461442809578,0.6912682376733876,0.24516996357728005,13.647128220874329,4.788246703146594,0.0,0.014583564440330758,0.0,V-tail,no,no,0.0,winter
16,498.0,1.225497366,3.329494566822757,0.0,9.045742878,2.737593047,0.35,0.0,150.1045731306396,270.2172746128452,LowAcc,4491784.110040639,14.233604932062763,0.01789483267457718,0.30613794113796106,17.107616858183025,0.2860145121788914,2.380435655643597,0.714130696693079,0.13005050936847076,0.2692370807181047,0.15090358511952365,0.1322346624447783,1.7752281426251162,2.0,0.0,1.0,0.2568034707933559,3.0,1,1,Titan,150.1045731306396,62.37566033825747,0.0,52.254400000000004,97.8501731306396,6.9868996562693315,7.094564997231609,0.08720555892001403,1.3145301704281769,0.2807555647736911,15.003835233456082,4.692138046862889,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0,winter
17,499.0,0.413470428,2.5031118129823695,0.0,15.15360791,1.726614585,0.35,0.0,155.44042864765908,300.1813470604188,LowAcc,4661018.810320642,14.769877336428124,0.05087692844084959,0.8726321004174153,17.15182357032329,3.2011527511105857,2.449979116463826,0.7349937349391478,0.059952530134224934,0.113792486,0.16151801852329462,0.06033130098976992,1.8298270652661695,2.0,0.0,3.0,0.27420568030062725,3.0,1,1,Titan,155.44042864765908,69.80472561363632,0.0,52.254400000000004,103.18602864765906,4.494114548099691,7.7124834078814795,0.08431769678940529,0.555583412270178,0.30987151755727876,15.536987688259806,4.67336119872455,0.0,0.014583564440330758,0.0,V-tail,no,no,0.0,summer
18,500.0,1.345991686,3.722298900714816,0.0,10.29390393,1.532365448,0.35,0.0,151.85610337561832,257.8402245833093,LowAcc,4355522.527127313,13.801818031559158,0.016325764690670885,0.2999043121075854,18.37000090286498,0.0173664638636636,2.3906846193431512,0.7172053858029453,0.08071171311047311,0.16209938000000002,0.1533210771729212,0.08545985630046579,1.783274655835459,2.0,0.0,3.0,0.2594414674897943,3.0,1,1,Titan,151.85610337561832,63.92481471812746,0.0,52.254400000000004,99.60170337561831,7.593545869562416,7.0347381187562,0.09234392779459584,0.7914382560134967,0.28510209415139326,15.17886560085401,4.686271225918412,0.0,0.014583564440330758,0.0,V-tail,no,yes,0.0,fall
19,501.0,0.991712191,3.169771937280746,0.0,10.13142142,1.498813325,0.35,0.0,149.58177897421555,268.47026427515056,LowAcc,4555676.579710076,14.436067951016794,0.02036493362689775,0.3664887408803684,17.996068516340003,0.509305735538618,2.37512957229703,0.712538871689109,0.07521102166754001,0.131099414,0.15054048633828943,0.07882779550271958,1.771062309766797,2.0,0.0,3.0,0.255427026198763,3.0,1,1,Titan,149.58177897421555,62.19088152438609,0.0,52.254400000000004,97.32737897421555,7.361665701457915,7.109330938550493,0.08509866638360025,0.6400832105622575,0.27849724201491577,14.951592907883393,4.6956452185365345,0.0,0.014583564440330758,0.0,V-tail,yes,no,0.0,spring
20,505.0,1.031658678,3.8750717231421636,0.0,14.55537687,2.300532489,0.35,0.0,136.89209962569205,204.17143801719016,LowAcc,3883859.112650424,12.307206861898319,0.021261069831420912,0.4435971819183814,20.864292598428246,1.031538870557357,2.2913514586637267,0.687405437599118,0.0956265822176642,0.1753545478130754,0.16657273411153464,0.09721551567426431,1.705287689244207,2.0,0.0,4.0,0.2326172263914833,3.0,1,1,Titan,136.89209962569205,52.305304679584076,0.0,52.254400000000004,84.63769962569205,6.6040388324676895,6.049789910673459,0.08082564068501973,0.8561556343103577,0.24204155512223055,13.683620650654223,4.8013391577546845,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0,fall
21,507.0,0.767095062,2.9535666733210304,0.0,11.37219691,2.597203898,0.35,0.0,159.18699351448024,304.73612139210775,LowAcc,4746941.596352953,15.042150215329915,0.025973139944127473,0.464412585960067,17.880494501592622,1.1003807336202778,2.455894053113875,0.7367682159341624,0.061717429309192266,0.084112766,0.15010889128755545,0.06413188850225657,1.8344709119308849,2.0,0.0,6.0,0.2756351114450256,3.0,1,1,Titan,159.18699351448024,71.19376102377922,0.0,52.254400000000004,106.93259351448023,6.452178342788635,7.872168448427131,0.09171959906710309,0.41067437044800126,0.3123092633885173,15.911358984050622,4.673839918090659,0.0,0.014583564440330758,0.0,V-tail,no,yes,0.0,spring
22,508.0,0.615167442,2.6688985357288812,0.0,11.57899282,2.163675143,0.35,0.0,153.05905010279957,288.45973463013,LowAcc,4782579.5879622875,15.155080196093136,0.030833237296546016,0.548547984971864,17.79080087167211,1.5436328888522253,2.422133744480961,0.7266401233442883,0.07409418001121608,0.12887284,0.15380431727882968,0.07518927823368396,1.8079655229605047,2.0,0.0,3.0,0.267373789276443,3.0,1,1,Titan,153.05905010279957,66.73289128063828,0.0,52.254400000000004,100.80465010279956,5.463599399984009,7.607989762631538,0.0838039149017284,0.6292121273820196,0.29831681174395785,15.299029849807585,4.675223391270125,0.0,0.014583564440330758,0.0,V-tail,no,no,0.0,summer
23,510.0,1.067021141,3.2152149842258315,0.0,9.688287324,2.787921232,0.35,0.0,162.5913716250995,311.6531028910235,LowAcc,4676172.025072375,14.817894976399902,0.020126126050519784,0.35141223339140404,17.460500471342737,0.3972567102435532,2.4667961992476948,0.7400388597743084,0.07912568876987248,0.12445183632845455,0.1499095107438642,0.0829842059982803,1.8430302419722904,2.0,0.0,6.0,0.27825053473845723,3.0,1,1,Titan,162.5913716250995,72.4090317335624,0.0,52.254400000000004,110.33697162509951,8.0509158307176,7.914073653012582,0.09692662114230188,0.6076269033321977,0.3167875906701362,16.25154706843768,4.675478659784274,0.0,0.014583564440330758,0.0,V-tail,yes,no,0.0,spring
24,519.0,0.58176956,2.7135997476894502,0.0,12.6572858,1.925278474,0.35,0.0,146.7468117882339,266.7943271236528,LowAcc,4668474.737437251,14.793503743748737,0.03238383826860808,0.5836345845031737,18.022403016659442,1.6985011620970978,2.376437854181654,0.7129313562544961,0.0745229047089239,0.09786012799999999,0.1493969778080206,0.07536056250821535,1.7720894484879472,2.0,0.0,2.0,0.2557670940496863,3.0,1,1,Titan,146.7468117882339,61.932909074175605,0.0,52.254400000000004,94.4924117882339,5.167141791717476,7.17870275645114,0.07917862632342366,0.47779485052674203,0.27905457610480633,14.668296505768703,4.69475004272564,0.0,0.014583564440330758,0.0,V-tail,no,yes,0.0,spring
25,521.0,0.752033272,3.28659682180987,0.0,14.36335209,2.373817391,0.35,0.0,136.47497861940553,221.35087400227616,LowAcc,4135283.458151976,13.103922535782115,0.025856028090950854,0.5351539996708728,20.697455842344446,1.4752597671375844,2.2912113324389822,0.6873633997316946,0.11344532139223855,0.17283928416039945,0.15110226333391494,0.11327902099936815,1.705177675436804,2.0,0.0,6.0,0.23257720105268773,3.0,1,1,Titan,136.47497861940553,52.28984629215838,0.0,52.254400000000004,84.22057861940552,6.113730823635813,6.197183940336598,0.07584191878818326,0.8438750452131755,0.2419792060506955,13.641929173178804,4.801608655603516,0.0,0.014583564440330758,0.0,V-tail,yes,no,0.0,fall
26,522.0,0.776263108,3.1709162379789446,0.0,12.95270854,2.859440233,0.35,0.0,139.82212525783726,231.85167053489874,LowAcc,4293349.694704052,13.604804214211638,0.025334977588077255,0.49277400530982357,19.45034305227588,1.2532032314281643,2.3124543520525385,0.6937363056157615,0.08346776097259372,0.12926720714421658,0.15029562538424443,0.08489589206635359,1.7218556775215894,2.0,0.0,2.0,0.2385683654972607,3.0,1,1,Titan,139.82212525783726,55.204425971744165,0.0,52.254400000000004,87.56772525783725,6.15403361810712,6.493697864787094,0.07739401655954606,0.6311375958498681,0.2513755441714243,13.976380163357295,4.764696918820399,0.0,0.014583564440330758,0.0,V-tail,yes,no,0.0,summer
27,526.0,0.626954929,3.1477144090358573,0.0,15.80353793,1.748688351,0.35,0.0,139.69329057598674,236.3365750785032,LowAcc,4262527.129443504,13.50713339874865,0.030935972540057942,0.6184125274046887,19.990078753914307,1.910098313854479,2.32096922393643,0.696290767180929,0.12139989910312869,0.175933367,0.15334029923414136,0.12037099863052415,1.7285407464813993,2.0,0.0,5.0,0.24092799004811555,3.0,1,1,Titan,139.69329057598674,55.572665169052684,0.0,52.254400000000004,87.43889057598673,5.4542278576825955,6.4902419990856215,0.07756319769545292,0.858981676259727,0.2551113545118994,13.963506172987984,4.752009584270436,0.0,0.014583564440330758,0.0,V-tail,no,no,0.0,fall
