,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_D,Fuse_x,S_Vtail,cgx,RTG_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb
0,1,0.298326053,0.546192322,0,1,1.438074866,0.35,0,252.9433385,746.3106333,LowAcc,75,111902.972,111902.972,0.308054913,1.5,1.898959538,1.487030165,0.374424649,0.039302526,0.374433265,1.898959538,0.421092787,4,Winglet too big,Tail span too big,Titan,252.9433385,174.984019,0,52.2544,200.6889385,0.332801586,0,0.002881093,0.461488264,0.646827331,25.28710973,-1.04078332,0,0.014594809,0,0.27
1,2,0.357991263,0.802735494,0,1.8,1.533715508,0.35,0,269.8867814,826.8626358,LowAcc,75,111902.972,111902.972,0.28573913,1.5,2.002511841,1.566167831,0.259918102,0.052981106,0.26001142,2.002511841,0.439182436,4,Winglet too big,Tail span too big,Titan,269.8867814,189.686581,0,52.2544,217.6323814,0.626746347,0,0.003500443,0.632310094,0.690067451,26.98081119,-1.002229938,0,0.014594809,0,0.27
2,3,0.417656474,1.042068535,0,2.6,1.62935615,0.35,0,273.4167033,838.4964928,LowAcc,75,111902.972,111902.972,0.248509252,1.5,2.021294965,1.580522439,0.211555135,0.065483812,0.211738279,2.021294965,0.442384429,4,Winglet too big,Tail span too big,Titan,273.4167033,192.3534464,0,52.2544,221.1623033,0.97898164,0,0.003896552,0.775631263,0.69783339,27.33366939,-0.995750125,0,0.014594809,0,0.27
3,4,0.477321684,1.273928462,0,3.4,1.724996791,0.35,0,192.870219,562.1763471,LowAcc,75,111902.972,111902.972,0.142827724,1.195152457,1.512456023,1.191652996,0.189745418,0.078968845,0.190026826,1.512456023,0.345303493,4,Power Unconverged,Tail span too big,Titan,192.870219,120.1074809,0,52.2544,140.615819,1.058607392,0,0.003174984,0.928408477,0.477573626,19.27802975,-1.252050892,0,0.014594809,0,0.27
4,5,0.536986895,1.501780596,0,4.2,1.820637433,0.35,0,168.3203236,428.5956425,LowAcc,75,111902.972,111902.972,0.094101602,0.927133279,1.356644932,1.072577651,0.1185084,0.085522253,0.119289539,1.356644932,0.309546209,4,Power Unconverged,1,Titan,168.3203236,97.98511215,0,52.2544,116.0659236,1.215531053,0,0.00302665,1.013349366,0.404577319,16.82473343,-1.395001132,0,0.014594809,0,0.27
5,6,0.596652106,1.727211778,0,5,1.916278075,0.35,0,139.1481672,310.0350969,LowAcc,75,111902.972,111902.972,0.057831425,0.689803848,1.173630652,0.932712843,0.12409482,0.10044665,0.124855496,1.173630652,0.26137148,4,1,1,Titan,139.1481672,72.00038059,0,52.2544,86.8937672,1.142646278,0,0.002737031,1.179944183,0.313475797,13.90520378,-1.665215267,0,0.014594809,0,0.27
6,7,0.656317316,1.951061361,0,5.8,2.011918717,0.35,0,131.1257694,277.1632678,LowAcc,75,111902.972,111902.972,0.045799708,0.590940134,1.122171499,0.893386269,0.130193079,0.115442511,0.130916943,1.122171499,0.246133401,4,1,1,Titan,131.1257694,64.69410759,0,52.2544,78.87136939,1.200344347,0,0.002730835,1.347181109,0.286447222,13.10397007,-1.778006599,0,0.014594809,0,0.27
7,8,0.715982527,2.173817995,0,6.6,2.107559358,0.35,0,128.1167432,264.648143,LowAcc,75,111902.972,111902.972,0.039616206,0.529264501,1.10175271,0.87778164,0.136675616,0.130514808,0.137346205,1.10175271,0.239818825,4,1,1,Titan,128.1167432,61.79500737,0,52.2544,75.86234316,1.285699189,0,0.002790319,1.51514766,0.275505146,12.80344478,-1.829846108,0,0.014594809,0,0.27
8,9,0.775647737,2.395786563,0,7.4,2.2032,0.35,0,128.0916922,262.8185286,LowAcc,75,111902.972,111902.972,0.036227106,0.488456319,1.099607374,0.876142113,0.143444249,0.145661851,0.144052719,1.099607374,0.239145694,4,1,1,Titan,128.0916922,61.49040833,0,52.2544,75.83729216,1.405943532,0,0.002892354,1.683728754,0.274347739,12.80094277,-1.835566129,0,0.014594809,0,0.27
9,10,0.835312948,2.617167586,0,8.2,2.298840642,0.35,0,129.1665675,265.1915054,LowAcc,75,111902.972,111902.972,0.033998947,0.457372665,1.104190975,0.879645033,0.150455642,0.160876721,0.15098762,1.104190975,0.240581581,4,1,1,Titan,129.1665675,62.14119704,0,52.2544,76.91216754,1.538611638,0,0.0030088,1.853051802,0.27681876,12.90829546,-1.823410769,0,0.014594809,0,0.27
