,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_D,Fuse_x,S_Vtail,cgx,RTG_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb
0,1.0,1.3887847689303494,1.1784671267924063,0.0,1.0,1.4380748663101606,0.35,0.0,85.62574113363722,1012.5536284628845,LowAcc,75.0,18192.12508181002,18192.12508181002,0.40363484913252384,1.5,2.4971955300888777,1.778426432609406,0.3947655708453754,0.24439037901555774,0.39721308836804803,2.2802540086775873,0.48432947574889273,4.0,CL > CLmax,Tail span too big,Earth,85.62574113363722,1.271876862856338e-14,4.915625787441795,52.254400000000004,33.371341133637216,0.49225140743992507,0.32609766624081477,0.004660623756980967,1.7268888337107906,0.8027646916713872,8.55293238113973,-0.08645854557514857,0.0,0.0002943979998598659,16.636283889811068,0.27
1,2.0,1.4549173769746515,1.3160716152240328,0.0,1.1904761904761905,1.4608464476699772,0.35,0.0,87.18482380398821,1035.3851308708415,LowAcc,75.0,18192.12508181002,18192.12508181002,0.39427951801001854,1.5,2.534954463523629,1.806157643151757,0.32602606083185354,0.21855100000000005,0.32885640202520655,2.316540531313616,0.4899267932241657,4.0,CL > CLmax,Tail span too big,Earth,87.18482380398821,1.3004763893987793e-14,5.026158948541157,52.254400000000004,34.930423803988205,0.5652186199135544,0.32930656242013423,0.004979493283448671,2.5481025370029,0.817181662343286,8.712819576470542,-0.08400671588263131,0.0,0.0002943979998598659,17.01036872189594,0.27
2,3.0,1.521049985018954,1.4493093521948681,0.0,1.380952380952381,1.4836180290297942,0.35,0.0,87.52439205625822,1019.6100209074534,LowAcc,75.0,18192.12508181002,18192.12508181002,0.37115555986910387,1.5,2.5089891392713564,1.7870843837639445,0.30234049295160526,0.2719451694178216,0.3053417470704025,2.291583010708386,0.48608393248841025,4.0,CL > CLmax,Tail span too big,Earth,87.52439205625822,1.2808059106333627e-14,4.950135305455569,52.254400000000004,35.26999205625821,0.6323178409213779,0.3280684527855411,0.005140275890935996,3.1326796638935264,0.8072727908207836,8.746698685208157,-0.08569213585807962,0.0,0.0002943979998598659,16.753076779140525,0.27
3,4.0,1.5871825930632566,1.5792859382688396,0.0,1.5714285714285714,1.5063896103896104,0.35,0.0,87.52265773547532,1007.9548748676882,LowAcc,75.0,18192.12508181002,18192.12508181002,0.35146228366331755,1.5,2.4887909206574714,1.7722584543647641,0.2786686673396707,0.28934117256760633,0.2819238841779425,2.272183157177942,0.48307570322979965,4.0,CL > CLmax,Tail span too big,Earth,87.52265773547532,1.2655157536919392e-14,4.891040992200668,52.254400000000004,35.26825773547532,0.7068799601314246,0.3269070625157354,0.005276714185210406,3.325708887126722,0.7995491778868458,8.746525703779014,-0.08700506949021723,0.0,0.0002943979998598659,16.55307990914005,0.27
4,5.0,1.653315201107559,1.7067465909621549,0.0,1.761904761904762,1.5291611917494272,0.35,0.0,87.08496784596656,975.1547286223962,LowAcc,75.0,18192.12508181002,18192.12508181002,0.3259908669464542,1.5,2.440562190056012,1.7368979077760542,0.32445165874829246,0.32231079729572554,0.3272866658794872,2.22591358404647,0.4758241668338329,4.0,CL > CLmax,Tail span too big,Earth,87.08496784596656,1.229048002340999e-14,4.750098245158224,52.254400000000004,34.830567845966556,0.7531318837986034,0.32377223953631107,0.005334201217345365,3.5280981706908126,0.7810507821178029,8.702857224364084,-0.09014716327148628,0.0,0.0002943979998598659,16.076077864354986,0.27
5,6.0,1.7194478091518612,1.832216458609968,0.0,1.9523809523809523,1.5519327731092438,0.35,0.0,87.11175940782321,958.4411730641781,LowAcc,75.0,18192.12508181002,18192.12508181002,0.30785484044981865,1.5,2.4083617012144374,1.7133219600308123,0.3220843884769103,0.34989663836823903,0.3249553513514848,2.1950642577894333,0.4709273090559698,4.0,CL > CLmax,Tail span too big,Earth,87.11175940782321,1.2047338476352917e-14,4.656127445498569,52.254400000000004,34.85735940782321,0.8188502836695618,0.32182684251863747,0.005424920838982509,3.914854919528402,0.7686551357443925,8.705530390887313,-0.09225107801159176,0.0,0.0002943979998598659,15.758046149149067,0.27
6,7.0,1.7855804171961636,1.956078666908526,0.0,2.142857142857143,1.5747043544690604,0.35,0.0,87.05902360598617,941.7501209239,LowAcc,75.0,18192.12508181002,18192.12508181002,0.2910713353404928,1.5,2.379099547866413,1.6919212190403485,0.3195915944828945,0.3751234560133312,0.3225318999504661,2.1670612078976057,0.4664377429092633,4.0,CL > CLmax,Tail span too big,Earth,87.05902360598617,1.1826630094708363e-14,4.570826749810148,52.254400000000004,34.80462360598616,0.8924614590399477,0.31996293669832887,0.005505209533896721,4.182755499600607,0.7573586816880145,8.700269029896331,-0.09416760985441179,0.0,0.0002943979998598659,15.469357251573426,0.27
7,8.0,1.8517130252404657,2.0786206305050197,0.0,2.333333333333333,1.5974759358288773,0.35,0.0,87.02675200779774,924.5067697393448,LowAcc,75.0,18192.12508181002,18192.12508181002,0.27531444174365594,1.5,2.351295104554107,1.6716083782231033,0.3183520988109588,0.4002979659944471,0.3213568584293098,2.140481684548225,0.4621360583545582,4.0,CL > CLmax,1,Earth,87.02675200779774,1.1617141356660677e-14,4.489862289098659,52.254400000000004,34.772352007797735,0.9689041371791433,0.3181619046517655,0.005579184861536491,4.446553684530393,0.7465962820877644,8.697049399270506,-0.09599303837212085,0.0,0.0002943979998598659,15.195343766490222,0.27
8,9.0,1.917845633284768,2.2000629705716617,0.0,2.523809523809524,1.6202475171886936,0.35,0.0,86.97968175232037,907.0764141481873,LowAcc,75.0,18192.12508181002,18192.12508181002,0.26058840380797677,1.5,2.322231288934708,1.650398997025811,0.3181310520026605,0.42549915338561983,0.32119445886863585,2.1127290305580098,0.4576013593686542,4.0,CL > CLmax,1,Earth,86.97968175232037,1.1398406491273411e-14,4.405324329779581,52.254400000000004,34.72528175232036,1.0479905198804136,0.31622584941683834,0.005641181229187599,4.710805958514406,0.7353159931379961,8.692353309170782,-0.09790603586128666,0.0,0.0002943979998598659,14.909236249052572,0.27
9,10.0,1.9839782413290703,2.3205783326346023,0.0,2.7142857142857144,1.6430190985485102,0.35,0.0,86.96845600850266,891.1789474403594,LowAcc,75.0,18192.12508181002,18192.12508181002,0.24728825705315305,1.5,2.2953000685451084,1.630768060706306,0.3187013307172938,0.4507307500592691,0.32181655299481093,2.0870417849891125,0.4533637238062669,4.0,CL > CLmax,1,Earth,86.96845600850266,1.1195950315238389e-14,4.327077855705854,52.254400000000004,34.71405600850265,1.1301100319499429,0.3144102799304388,0.005700924856939457,4.975655920374567,0.7248351631887934,8.691233451340379,-0.09968344630794072,0.0,0.0002943979998598659,14.64442142946381,0.27
