,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb
0,1.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,260.19171467542816,718.7183333892241,LowAcc,45.0,119068.04349397456,119068.04349397456,0.2811427155962181,1.5,5.335368539849793,4.496041383596514,0.722991323941127,0.07465112441993416,0.03675743533919109,0.0749746409865135,4.496041383596514,5.0,0.0,0.4336100060506344,3.0,CL > CLmax,1,Titan,260.19171467542816,165.18672866916364,0.0,52.254400000000004,207.93731467542815,1.2345348367105304,14.541041766607998,0.24177905272576036,0.09243261591313347,0.6062513487900092,26.010687444365306,0.009275376711423283,0.0,0.014583564440330758,0.0,0.27
1,2.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,218.26950385186126,564.6995512635673,LowAcc,45.0,119068.04349397456,119068.04349397456,0.1078361485242483,1.0820346870949604,10.034062806422018,3.5766905118982844,0.7191429354648271,0.11143208109155092,0.09148724562270742,0.11186636928779845,3.5766905118982844,4.0,0.0,0.3810864405098967,3.0,1,1,Titan,218.26950385186126,129.28949722248888,0.0,52.254400000000004,166.01510385186126,2.7699129112355814,11.239189817037625,0.18749103485476468,0.18349903461400593,0.4985610367211847,21.82033635996558,0.012032870503308623,0.0,0.014583564440330758,0.0,0.27
2,3.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,209.36933360816425,525.2654818464889,LowAcc,45.0,119068.04349397456,119068.04349397456,0.06621680717704091,0.6919423843156933,10.449648870349154,3.517059187272543,0.7077499395397104,0.1481742675233431,0.15174373118384515,0.14814289841553768,3.517059187272543,4.0,0.0,0.36760633980477925,3.0,1,1,Titan,209.36933360816425,120.8229231036417,0.0,52.254400000000004,157.11493360816425,3.6072225278339194,10.776371099105608,0.20398220540446504,0.27451006221370505,0.47218655558210215,20.930692857250893,0.012461632691517288,0.0,0.014583564440330758,0.0,0.27
3,4.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,227.27804533164047,587.1490357921302,LowAcc,45.0,119068.04349397456,119068.04349397456,0.05620134871452437,0.5633465150286929,10.023718788141908,3.614660517149512,0.7263973796318641,0.18413630536317332,0.21454144446050302,0.18332851943794062,3.614660517149512,4.0,0.0,0.3894267640195002,3.0,1,1,Titan,227.27804533164047,134.6805541170017,0.0,52.254400000000004,175.02364533164047,4.894097238456474,11.569317929925377,0.25185578331818614,0.36550567103455694,0.5151405287844402,22.720799691992795,0.011790806686645278,0.0,0.014583564440330758,0.0,0.27
4,5.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,207.65635510391735,531.1145397344442,LowAcc,45.0,119068.04349397456,119068.04349397456,0.2016040320415458,1.5,7.440327382395237,3.525794092014742,0.7094188062764254,0.1802125073493096,0.04563092634248836,0.18002785947070726,3.525794092014742,4.0,0.0,0.36961166387042954,3.0,Winglet too big,Tail span too big,Titan,207.65635510391735,122.0631222587846,0.0,52.254400000000004,155.40195510391735,1.0289932041214667,10.815908897321568,0.13896635132628998,0.09243261591313347,0.47607687621185313,20.759476604960494,0.012394730837556633,0.0,0.014583564440330758,0.0,0.27
5,6.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,218.57468057063744,565.3005178118074,LowAcc,45.0,119068.04349397456,119068.04349397456,0.10795386794447759,1.083547549815507,10.037135032278721,3.57846652826452,0.7194822562387737,0.11143159559983982,0.09148724562270742,0.11186637452590367,3.57846652826452,4.0,0.0,0.38148061748137096,3.0,1,1,Titan,218.57468057063744,129.54165955990794,0.0,52.254400000000004,166.32028057063744,2.7770016547883696,11.253490623394049,0.18784387417296425,0.18349903461400593,0.4993401291841042,21.850841082710673,0.012021047425010424,0.0,0.014583564440330758,0.0,0.27
6,7.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,209.36933360816425,525.2654818464889,LowAcc,45.0,119068.04349397456,119068.04349397456,0.06621680717704091,0.6919423843156933,10.449648870349154,3.517059187272543,0.7077499395397104,0.14817427285327772,0.15174373118384515,0.1481429036536429,3.517059187272543,4.0,0.0,0.36760633980477925,3.0,1,1,Titan,209.36933360816425,120.8229231036417,0.0,52.254400000000004,157.11493360816425,3.6072225278339194,10.776371099105608,0.20398220540446504,0.27451006221370505,0.47218655558210215,20.930692857250893,0.012461632691517288,0.0,0.014583564440330758,0.0,0.27
7,8.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,227.27804533164047,587.1490357921302,LowAcc,45.0,119068.04349397456,119068.04349397456,0.05620134871452437,0.5633465150286929,10.023718788141908,3.614660517149512,0.7263973796318641,0.18413631071655573,0.21454144446050302,0.18332852467604585,3.614660517149512,4.0,0.0,0.3894267640195002,3.0,1,1,Titan,227.27804533164047,134.6805541170017,0.0,52.254400000000004,175.02364533164047,4.894097238456474,11.569317929925377,0.25185578331818614,0.36550567103455694,0.5151405287844402,22.720799691992795,0.011790806686645278,0.0,0.014583564440330758,0.0,0.27
8,9.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,207.65635510391735,531.1145397344442,LowAcc,45.0,119068.04349397456,119068.04349397456,0.2016040320415458,1.5,7.440327382395237,3.525794092014742,0.7094188062764254,0.1802125126169885,0.04563092634248836,0.1800278647122834,3.525794092014742,4.0,0.0,0.36961166387042954,3.0,Winglet too big,Tail span too big,Titan,207.65635510391735,122.0631222587846,0.0,52.254400000000004,155.40195510391735,1.0289932041214667,10.815908897321568,0.13896635132628998,0.09243261591313347,0.47607687621185313,20.759476604960494,0.012394730837556633,0.0,0.014583564440330758,0.0,0.27
9,10.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,218.57468057063744,565.3005178118074,LowAcc,45.0,119068.04349397456,119068.04349397456,0.10795386794447759,1.083547549815507,10.037135032278721,3.57846652826452,0.7194822562387737,0.11143160090930493,0.09148724562270742,0.11186637976791178,3.57846652826452,4.0,0.0,0.38148061748137096,3.0,1,1,Titan,218.57468057063744,129.54165955990794,0.0,52.254400000000004,166.32028057063744,2.7770016547883696,11.253490623394049,0.18784387417296425,0.18349903461400593,0.4993401291841042,21.850841082710673,0.012021047425010424,0.0,0.014583564440330758,0.0,0.27
