,Case,Planform,Span,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_x,S_Vtail,cgx,RTG_h,PropD,Check,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels
0,1.0,1.3887847689303494,1.1784671267924063,98.88937476004905,1272.0192850946232,LowClb,75.0,18192.12508181002,18192.12508181002,0.4293733412225095,1.5,4.278776648210501,0.32736628748874574,0.13204434108225258,0.33004358479990603,2.9602352514492587,0.623633700286455,CL > CLmax,98.88937476004905,1.603042893337784e-14,6.195536073492188,52.254400000000004,46.63497476004905,0.5381797258125631,5.908738920507132,0.5100670218906848,1.6760537927523147,0.9349797551154638,9.879576388357277,0.02357808890221375,0.0,0.0002943979998598659,20.96797059521933
1,2.0,1.68638150512971,1.7353373000297325,98.79957118600063,1225.8741458902678,LowClb,75.0,18192.12508181002,18192.12508181002,0.3359864030128874,1.5,4.180840867433195,0.29806024806434367,0.19785832345068252,0.30100947641816517,2.8712027234698905,0.6117048685555255,CL > CLmax,98.79957118600063,1.5438723287144077e-14,5.966850135557163,52.254400000000004,46.54517118600063,0.8201778876092833,5.7775143179057995,0.5678297518506517,2.4131644599730326,0.9077014250241022,9.8706015394935,0.027023918983612963,0.0,0.0002943979998598659,20.194013351603612
2,3.0,1.9839782413290703,2.2586850897914434,98.58829467107924,1163.880359365693,LowClb,75.0,18192.12508181002,18192.12508181002,0.265568426908388,1.5,4.052167276250031,0.33485290309160587,0.2897034264845512,0.3376237698983727,2.7542267314851947,0.5956690866136335,CL > CLmax,98.58829467107924,1.4661306802382693e-14,5.666389561764411,52.254400000000004,46.333894671079236,1.1339933378633387,5.604060669026967,0.5957878473780538,3.4033185789359415,0.8715182336197221,9.849533121021171,0.031854556499151844,0.0,0.0002943979998598659,19.17714436697061
3,4.0,2.2815749775284315,2.767593383943069,98.92641398556496,1115.0822268550842,LowClb,75.0,18192.12508181002,18192.12508181002,0.21676438384233254,1.5,3.9498675846203013,0.30517828022611115,0.39124331410276264,0.30867324476514296,2.661227011821804,0.5826052594576114,CL > CLmax,98.92641398556496,1.4043235402278935e-14,5.427513629545061,52.254400000000004,46.67201398556496,1.5369467700720794,5.471062707601101,0.6193868379681232,4.486417236936141,0.8424557607620308,9.883265682827293,0.035970523425158205,0.0,0.0002943979998598659,18.36870043842809
4,5.0,2.579171713727792,3.268813233709182,99.67180822947586,1067.0897151769655,LowClb,75.0,18192.12508181002,18192.12508181002,0.17909554076564205,1.5,3.849907267648497,0.3421984167550049,0.5261236267083452,0.34529418377217236,2.570353996392892,0.5695508016472681,CL > CLmax,99.67180822947586,1.3439297970197533e-14,5.194100277841057,52.254400000000004,47.41740822947585,1.9553320557112712,5.344751643687841,0.6372149175219739,5.895297007224078,0.8137882513201817,9.95762801857316,0.04025777004570514,0.0,0.0002943979998598659,17.578743889550715
5,6.0,2.8767684499271526,3.7654161508293718,101.01146558360415,1030.7644621465897,LowClb,75.0,18192.12508181002,18192.12508181002,0.1514163687001253,1.5,3.7741991981697924,0.3637342259257651,0.6794229550029589,0.36650104851276527,2.501528478684978,0.5594609159599822,CL > CLmax,101.01146558360415,1.2981887085018895e-14,5.01731738255423,52.254400000000004,48.75706558360415,2.4342367879053377,5.255886621967601,0.6583500106434675,7.483684341439658,0.7918884462218196,10.09126351763475,0.0436984634358315,0.0,0.0002943979998598659,16.980445613801585
6,7.0,3.174365186126513,4.2590174494839355,103.03036754118652,1009.118602867167,LowClb,75.0,18192.12508181002,18192.12508181002,0.13147609486823966,1.5,3.7290862373331186,0.3866717699720462,0.8516578890272941,0.388849426123915,2.4605166961061835,0.5533610800344,CL > CLmax,103.03036754118652,1.2709324866864116e-14,4.911975905924562,52.254400000000004,50.77596754118652,2.959573029300238,5.213989015959042,0.6875478628109258,9.256814536121947,0.7787582879262611,10.297248108355086,0.045835047164763484,0.0,0.0002943979998598659,16.62393134962382
7,8.0,3.4719619223258738,4.750552862048604,105.59828175984802,998.1939110894576,LowClb,75.0,18192.12508181002,18192.12508181002,0.11662447404695445,1.5,3.706390478711131,0.4108232947939614,1.0421784801199812,0.41213240644836135,2.4398841882680133,0.5502667646401518,CL > CLmax,105.59828175984802,1.2572202270652576e-14,4.858979944628068,52.254400000000004,53.34388175984801,3.529464134841357,5.206043309073046,0.723394146930266,11.208390379207366,0.7721292350772255,10.553676945665433,0.04693572296213082,0.0,0.0002943979998598659,16.444573543463243
8,9.0,3.7695586585252334,5.240603721829697,108.61596161081734,994.3259693873439,LowClb,75.0,18192.12508181002,18192.12508181002,0.10508151421986237,1.5,3.6982551967452166,0.43608932005859563,1.25124442643761,0.43623862259830204,2.4324884773899096,0.5491533640444454,CL > CLmax,108.61596161081734,1.252305075284438e-14,4.839983571984944,52.254400000000004,56.36156161081733,4.142193780691089,5.220990699173997,0.7647314597596043,13.34098391918773,0.769749171244009,10.855017181090796,0.04733459138008598,0.0,0.0002943979998598659,16.380282838305206
9,10.0,4.067155394724595,5.729550964728382,112.04352663121162,996.3637481330773,LowClb,75.0,18192.12508181002,18192.12508181002,0.09595805732243798,1.5,3.70249780385369,0.4623440458657583,1.4779696937457036,0.46103784882804755,2.436345392943067,0.5497342916890793,CL > CLmax,112.04352663121162,1.2548683617165373e-14,4.849890314731981,52.254400000000004,59.789126631211616,4.7964350367097115,5.255557483218248,0.8117678802265627,15.645967408174013,0.7709906485875314,11.197286275219799,0.04712629039360799,0.0,0.0002943979998598659,16.4138108959503
10,11.0,4.364752130923955,6.217654956622487,115.82309300877054,1002.0109816018053,LowClb,75.0,18192.12508181002,18192.12508181002,0.08844607821571451,1.5,3.714358777962785,0.4895409393784276,1.7229638161930612,0.4864822174474702,2.447128096678608,0.5513551322266992,CL > CLmax,115.82309300877054,1.26203449169935e-14,4.877586402591119,52.254400000000004,63.56869300877053,5.4909422452778,5.302793689524843,0.8634871491546449,18.13033406821341,0.7744584530734163,11.574704698016909,0.04654727084705085,0.0,0.0002943979998598659,16.507544634071472
11,12.0,4.662348867123316,6.705099855768888,119.94251236741721,1011.5881072986732,LowClb,75.0,18192.12508181002,18192.12508181002,0.08228695834090825,1.5,3.734240851492809,0.5175025048030908,1.9850104201318863,0.5124041388335878,2.4652027089786293,0.5540614464821294,CL > CLmax,119.94251236741721,1.2740467869740467e-14,4.924012239983944,52.254400000000004,67.6881123674172,6.224515236863439,5.363174024464983,0.9206850971164194,20.778856758437815,0.7802616595610222,11.986058718479484,0.04558750773137454,0.0,0.0002943979998598659,16.664666726778858
12,13.0,4.959945603322677,7.192019675034222,124.37304934018712,1023.7454867025709,LowClb,75.0,18192.12508181002,18192.12508181002,0.07707300194261604,1.5,3.759673101741161,0.546280393599223,2.264294000393348,0.5388575648494445,2.488322936477131,0.5575040914544022,CL > CLmax,124.37304934018712,1.2894123724106893e-14,4.983398073799549,52.254400000000004,72.11864934018712,6.996009843936231,5.433089289480101,0.9829410327807522,23.596740920744583,0.7876673041261006,12.42847912616096,0.04437914168426079,0.0,0.0002943979998598659,16.8656502094747
