,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_VTail,S_HorTail,S_VerTail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,mWingFold,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season,t_mission,Sensor_Swath_width,Aeroshell_Diameter
0,480.0,1.134246368,3.9980627297875184,0.0,14.09262224,2.425088382,0.35,0.0,142.3052043288854,214.5133391050589,LowAcc,400000.0,12.548420845589146,0.01880595568569594,0.4034601681054722,21.45385083579397,0.7955961917967012,2.275445672860413,0.6826337018581239,0.06407256011985416,0.103426868,0.051138126,0.052288742000000006,0.1484565451978903,0.06867044959819105,1.6927999764042438,2.0,0.0,4.0,0.22802907606088013,3.0,1,1,Titan,142.3052043288854,50.42558595282036,0.0,52.254400000000004,84.77029682711401,8.41709646567428,6.031240361163422,0.08344432145426472,0.5049740476173205,0.23493184502986889,14.224139381921944,4.834300886992204,0.0,0.014583564440330758,0.0,5.280507501771389,V-tail,yes,yes,2.0,spring,0.03367019983784656,30.0,3.512228079
1,484.0,1.383000435,3.6207365750984457,0.0,9.479196835,1.802372305,0.35,0.0,151.65126991673134,278.62040687527315,LowAcc,400000.0,14.154267136496452,0.015663001793986817,0.277149684912985,17.69454467019122,0.11449898741328692,2.3963097841572587,0.7188929352471776,0.06859074306021318,0.125573253,0.095854242,0.029719011,0.15022599292752867,0.07467329800328523,1.7876910011669427,2.0,0.0,6.0,0.2608779993942935,3.0,1,1,Titan,151.65126991673134,63.72348469356678,0.0,52.254400000000004,99.39686991673132,7.6320165877575965,7.192643793685211,0.09163252736980233,0.613102137443472,0.28747915606834873,15.158384318681136,4.683543137718643,0.0,0.014583564440330758,0.0,0.0,V-tail,no,yes,0.0,fall,0.02985020937120505,30.0,4.066363746
2,485.0,0.562556102,2.80231683632483,0.0,13.95946044,2.864933741,0.35,0.0,141.88594662163374,249.1762415968448,LowAcc,400000.0,14.141435583936662,0.03363988231416988,0.638633907648969,18.984427522208122,1.9839907639622023,2.3436756563385486,0.7031026969015646,0.061390706870127855,0.072969547,0.048359195,0.024610352000000002,0.15086521967236308,0.06253880239131449,1.7463676813442233,2.0,0.0,3.0,0.24711022031405822,3.0,1,1,Titan,141.88594662163374,57.9181671343168,0.0,52.254400000000004,89.63154662163373,5.32134914620673,6.773705209415332,0.07635397590840404,0.356268426318317,0.2649925650426282,14.182592615839617,4.723533984145569,0.0,0.014583564440330758,0.0,0.0,V-tail,yes,yes,0.0,spring,0.008963188390865672,100.0,3.068487067
3,486.0,0.98787384,3.7494461425194214,0.0,14.2309127,1.468902079,0.35,0.0,138.40414498532581,214.68337820092705,LowAcc,400000.0,12.678146484078843,0.021762654148551754,0.4413686794267942,20.28101335498943,0.9943525508620769,2.306121037663218,0.6918363112989654,0.037014108117746365,0.088421313,0.056638678,0.031782635000000004,0.07759217652714119,0.04138465076880482,1.7168833603788196,2.0,0.0,6.0,0.23679804190188963,3.0,1,1,Titan,138.40414498532581,53.801062934362704,0.0,52.254400000000004,86.14974498532581,6.760525497412736,6.202330976193264,0.08134676916957138,0.43171053310101204,0.2485857116314509,13.834704900366654,4.774894098648084,0.0,0.014583564440330758,0.0,0.0,V-tail,yes,yes,0.0,winter,0.03332567880099582,30.0,4.966576255
4,488.0,1.250651723,3.6734948629421904,0.0,10.79002592,1.90159282,0.35,0.0,146.17862588062437,236.18818033862377,LowAcc,400000.0,13.457537172202905,0.01720195752726897,0.32679977088029055,18.99782454190109,0.16948354012973263,2.35600125547103,0.706800376641309,0.05982352888918061,0.084418362,0.044627427,0.039790935,0.14671479785586447,0.06529455828361738,1.7560445715306152,2.0,0.0,2.0,0.2504021778911117,3.0,1,1,Titan,146.17862588062437,59.33076090060775,0.0,52.254400000000004,93.92422588062436,7.779595115882972,6.70700141545842,0.0871563160890896,0.4121664203576598,0.27030905340002626,14.611553487920654,4.7110996064674335,0.0,0.014583564440330758,0.0,0.0,V-tail,yes,no,0.0,summer,0.0941868854859476,10.0,4.454068339
5,491.0,1.057908352,3.560518191911785,0.0,11.98335354,1.865055442,0.35,0.0,137.9092064607812,222.03315377068873,LowAcc,400000.0,13.314815750628789,0.018947450841358168,0.3723405378579823,19.651220682691722,0.5997732785038722,2.292361195325045,0.6877083585975134,0.10147919997574281,0.19851117100000001,0.16586438,0.032646791,0.14911149275961227,0.10387429283174954,1.7060804386013562,2.0,0.0,1.0,0.23290544192937326,3.0,1,1,Titan,137.9092064607812,52.28597428441277,0.0,52.254400000000004,85.6548064607812,7.216825493383305,6.2622206923844885,0.07884486020593882,0.9692161375042706,0.2424906893385048,13.785242943996975,4.79940779511462,0.0,0.014583564440330758,0.0,0.0,V-tail,no,no,0.0,winter,0.031732158028580544,30.0,3.571074128
6,498.0,0.699787335,2.9099635551601235,0.0,12.10065897,2.179046074,0.35,0.0,144.18273274874335,257.62123193581476,LowAcc,400000.0,14.3489023688126,0.02720426832764968,0.5067283977189202,18.6267975163256,1.301577209113884,2.354022025611716,0.7062066076835147,0.1255571815493372,0.19869758799999998,0.169342219,0.029355369,0.15234800116134847,0.125083525532799,1.7544906681628074,2.0,0.0,5.0,0.2498764822753256,3.0,1,1,Titan,144.18273274874335,59.108548203142,0.0,52.254400000000004,91.92833274874334,5.451008041057137,6.9105913702209545,0.07896244848063869,0.9701263047447084,0.26945750954829084,14.412094388835818,4.712960918273461,0.0,0.014583564440330758,0.0,0.0,V-tail,no,yes,0.0,fall,0.08833592145111571,10.0,4.914734315
7,503.0,0.663001831,3.280545436499594,0.0,16.23220006,1.848087489,0.35,0.0,134.79949373444728,219.3017017572393,LowAcc,400000.0,13.261385193355942,0.029168862480745655,0.5854114113861882,20.069737439113982,1.7048206058548068,2.2826287152133022,0.6847886145639906,0.07547343902693507,0.14968452399999999,0.135555778,0.014128746,0.15852713844744404,0.07643248340333389,1.698439419266695,2.0,0.0,3.0,0.2301124100808854,3.0,1,1,Titan,134.79949373444728,51.202415617901465,0.0,52.254400000000004,82.54509373444728,5.828842385773806,6.166746499206027,0.07459428161078249,0.7308236381087354,0.23815076767271562,13.470124142679788,4.818812837053616,0.0,0.014583564440330758,0.0,0.0,V-tail,no,yes,0.0,fall,0.0095580023812007,100.0,4.368049621
8,505.0,0.570983631,2.739971570153045,0.0,13.1482652,1.536817993,0.35,0.0,145.84303327875537,265.32995940865214,LowAcc,400000.0,14.427100348226991,0.03407746708240737,0.6213972907013842,18.234843839734292,1.8565160556613016,2.37180709981559,0.7115421299446769,0.13651541026204256,0.19279101399999998,0.167832923,0.024958091,0.15458323398515966,0.13515323759318387,1.7684538198260942,2.0,0.0,5.0,0.2545613585122152,3.0,1,1,Titan,145.84303327875537,61.06655801890269,0.0,52.254400000000004,93.58863327875537,4.879046597653243,7.0552388232931325,0.07883509246671443,0.9412878932370599,0.2770803235530976,14.577993617588232,4.6980093476208715,0.0,0.014583564440330758,0.0,0.0,V-tail,no,no,0.0,winter,0.08785712180319932,10.0,3.330387143
9,510.0,1.343245521,3.6805150571329204,0.0,10.08467244,2.73987427,0.35,0.0,145.58365150745857,251.8947900478722,LowAcc,400000.0,13.761246196617273,0.01594218096425115,0.2898058232854536,18.178555615151783,0.22243984857184473,2.3515589280334157,0.7054676784100247,0.06599707543329307,0.120530565,0.094677859,0.025852706,0.14932545053779991,0.0719176542996081,1.7525568778028107,2.0,0.0,1.0,0.2492207197705496,3.0,1,1,Titan,145.58365150745857,58.78550891439058,0.0,52.254400000000004,93.32925150745855,7.501431206381824,6.816728309152594,0.08668235278589498,0.5884815855552403,0.2683966348177633,14.552090287393952,4.715348652540358,0.0,0.014583564440330758,0.0,0.0,V-tail,no,no,0.0,fall,0.009210819241594085,100.0,3.868890072
