,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb
0,1.0,0.2983260527685158,1.2213231611013438,0.0,5.0,1.4380748663101606,0.35,0.0,223.56678107809037,587.3229572216379,LowAcc,75.0,111902.97196510962,111902.97196510962,0.23903962945878562,1.5,6.275110128794041,3.6195632407415355,0.7273340804389732,0.13694930662116903,0.02639580382039549,0.1370444289915535,3.6195632407415355,4.0,0.0,0.3904906892180399,3.0,CL > CLmax,1,Titan,223.56678107809037,135.3766525675495,0.0,52.254400000000004,171.31238107809037,1.3194621773511117,11.196860444340755,0.15738584303251635,0.36255328315786295,0.523231982029986,22.34986694452469,0.011773026928635275,0.0,0.014594809175303324,0.0,0.27
1,2.0,0.5966521055370317,2.317297768918204,0.0,9.0,1.91627807486631,0.35,0.0,131.76906659488236,219.21326710186258,LowAcc,75.0,111902.97196510962,111902.97196510962,0.036209661558454696,0.6532231861330303,18.04002462377358,2.287189205982309,0.6861567617946926,0.16889165584866384,0.0747759137191315,0.16873487967474965,1.7020198836233063,2.0,0.0,0.2314253789068238,3.0,1,1,Titan,131.76906659488236,52.38810048677424,0.0,52.254400000000004,79.51466659488234,1.7637251070706452,6.125463775878667,0.06458539020828546,0.938222150973872,0.23815496389870386,13.167487200741682,4.81433271016094,0.0,0.014594809175303324,0.0,0.27
2,3.0,0.8949781583055476,3.4109699585267705,0.0,13.0,2.39448128342246,0.35,0.0,153.77827506248246,190.78162445191958,LowAcc,75.0,111902.97196510962,111902.97196510962,0.01849435115871731,0.5082201126064977,27.47974818067344,2.628496584746758,0.7885489754240274,0.18960029087205688,0.13168121236461988,0.18906179684678984,0.9849910160218704,1.0,0.0,0.2121542885299005,3.0,1,1,Titan,153.77827506248246,45.21694974198208,0.0,52.254400000000004,101.52387506248245,2.660901571938975,8.455748239973532,0.1044628015028156,1.5970784291619802,0.2092634783885457,15.37082275525591,27.894053235103318,0.0,0.014594809175303324,0.0,0.27
3,4.0,1.1933042110740637,4.50401727219813,0.0,17.0,2.872684491978609,0.35,0.0,150.91349720892185,176.88210165015875,LowAcc,75.0,111902.97196510962,111902.97196510962,0.012276887023059421,0.3740642550818476,30.468982436610396,2.5744338851140727,0.7723301655342217,0.21021740825830817,0.1935586238731584,0.2091549610154451,0.9637685666341281,1.0,0.0,0.2035131325463518,3.0,1,1,Titan,150.91349720892185,42.20374415158942,0.0,52.254400000000004,98.65909720892185,3.183993187169568,8.064242726835534,0.11049817042497197,2.304459203368615,0.1967368221201022,15.084582119010287,27.49624601922805,0.0,0.014594809175303324,0.0,0.27
