,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb
0,1.0,0.2983260527685158,1.2213231611013438,0.0,5.0,1.4380748663101606,0.35,0.0,223.56678107809037,587.3229572216379,LowAcc,75.0,111902.97196510962,111902.97196510962,0.23903962945878562,1.5,6.275110128794041,3.6195632407415355,0.7273340804389732,0.13694930662116903,0.02639580382039549,0.1370444289915535,3.6195632407415355,4.0,0.0,0.3904906892180399,3.0,CL > CLmax,1,Titan,223.56678107809037,135.3766525675495,0.0,52.254400000000004,171.31238107809037,1.3194621773511117,11.196860444340755,0.15738584303251635,0.36255328315786295,0.523231982029986,22.34986694452469,0.011773026928635275,0.0,0.014594809175303324,0.0,0.27
1,2.0,0.3073662361857436,1.2546265159025525,0.0,5.121212121212121,1.4525658726300437,0.35,0.0,221.31105502393203,579.446954847691,LowAcc,75.0,111902.97196510962,111902.97196510962,0.22858849098680378,1.5,6.562010158624275,3.6055339593018614,0.7246536847362499,0.13831441941194283,0.02765415222564408,0.1384079645252327,3.6055339593018614,4.0,0.0,0.3874384560310667,3.0,CL > CLmax,1,Titan,221.31105502393203,133.38474727467437,0.0,52.254400000000004,169.05665502393202,1.3817529178449972,11.08755711516601,0.15674254008800909,0.3779882720886431,0.5170234544268716,22.12438964426056,0.01185899620727221,0.0,0.014594809175303324,0.0,0.27
2,3.0,0.3164064196029714,1.2879195178990317,0.0,5.242424242424242,1.467056878949927,0.35,0.0,219.43049699086768,572.4333902534408,LowAcc,75.0,111902.97196510962,111902.97196510962,0.21908152817182147,1.5,6.846766190272229,3.593737728705478,0.7223999295503671,0.1396415852375967,0.028932212122789708,0.13973294601119407,3.593737728705478,4.0,0.0,0.384853315413566,3.0,CL > CLmax,1,Titan,219.43049699086768,131.70989498363247,0.0,52.254400000000004,167.17609699086768,1.44526197442492,10.996205777371658,0.1564069819579715,0.39359894641733173,0.5117867278764282,21.93641325505049,0.011933534961073024,0.0,0.014594809175303324,0.0,0.27
3,4.0,0.3254466030201991,1.3212029497322006,0.0,5.363636363636363,1.4815478852698103,0.35,0.0,217.66744469289634,565.8400788710329,LowAcc,75.0,111902.97196510962,111902.97196510962,0.21027547283411296,1.5,7.13349959357055,3.582632448703684,0.7202781854737126,0.14093244390714751,0.03022485648671688,0.14102110067444906,3.582632448703684,4.0,0.0,0.38240362607535455,3.0,CL > CLmax,1,Titan,217.66744469289634,130.13314523279493,0.0,52.254400000000004,165.41304469289634,1.5101781949724973,10.910613038757317,0.15613492995552197,0.40934758548390804,0.5068427753824954,21.760182461880216,0.012005664494138339,0.0,0.014594809175303324,0.0,0.27
4,5.0,0.3344867864374269,1.3544775169020562,0.0,5.484848484848484,1.4960388915896936,0.35,0.0,216.65892005686317,560.2218024372828,LowAcc,75.0,111902.97196510962,111902.97196510962,0.2022753005466099,1.5,7.4156359968149355,3.576033360589443,0.7190173819536348,0.14218868252382594,0.031531949117215824,0.14227387204348274,3.576033360589443,4.0,0.0,0.38094048604507336,3.0,CL > CLmax,1,Titan,216.65892005686317,129.19619357212525,0.0,52.254400000000004,164.40452005686316,1.5763561107217934,10.860255582041253,0.15655412626600573,0.42524546729724505,0.503898420865067,21.659372514345,0.012049454026254474,0.0,0.014594809175303324,0.0,0.27
5,6.0,0.3435269698546546,1.3877438570649658,0.0,5.606060606060606,1.5105298979095776,0.35,0.0,215.21850741090677,554.4891308390875,LowAcc,75.0,111902.97196510962,111902.97196510962,0.1947001808964068,1.5,7.704153088579295,3.5668380804230013,0.7172605571618986,0.143409856864048,0.03285949513858174,0.14349130791638343,3.5668380804230013,4.0,0.0,0.3788923006646617,3.0,CL > CLmax,1,Titan,215.21850741090677,127.8906293982391,0.0,52.254400000000004,162.96410741090676,1.6437741895095475,10.789970218081821,0.1565089385668436,0.44133865759839996,0.4997875013356616,21.515392039292625,0.012111659107434121,0.0,0.014594809175303324,0.0,0.27
6,7.0,0.3525671532718824,1.4210025480153918,0.0,5.727272727272728,1.5250209042294605,0.35,0.0,213.64454622056667,549.3765355057969,LowAcc,75.0,111902.97196510962,111902.97196510962,0.18778509952010392,1.5,7.987854221838367,3.556831121689215,0.7153486553084284,0.14459970559679322,0.034200146172811044,0.14467694275654597,3.556831121689215,4.0,0.0,0.37665066375814,3.0,CL > CLmax,1,Titan,213.64454622056667,126.46982148636397,0.0,52.254400000000004,161.39014622056666,1.7126527650664392,10.713681584643146,0.15628993203955557,0.4575596121228935,0.49530270086981815,21.358062357872043,0.012180972413472737,0.0,0.014594809175303324,0.0,0.27
7,8.0,0.3616073366891101,1.4542541145643082,0.0,5.848484848484849,1.5395119105493436,0.35,0.0,212.27705424326737,545.0402206115618,LowAcc,75.0,111902.97196510962,111902.97196510962,0.1815041700264766,1.5,8.264272935333608,3.548050030121903,0.7136709642446737,0.14575808932960627,0.03555522484136479,0.14583054343034468,3.548050030121903,4.0,0.0,0.374672583063175,3.0,CL > CLmax,1,Titan,212.27705424326737,125.22306463389356,0.0,52.254400000000004,160.02265424326737,1.7827862453018142,10.647080535902012,0.1562349592506775,0.47392125968800447,0.49135770609837265,21.221370866647863,0.012243227309769475,0.0,0.014594809175303324,0.0,0.27
8,9.0,0.3706475201063379,1.4874990344885948,0.0,5.96969696969697,1.5540029168692269,0.35,0.0,210.99457273153385,541.1223290204057,LowAcc,75.0,111902.97196510962,111902.97196510962,0.17568424148871004,1.5,8.538045229835792,3.539787781931855,0.7120924019613047,0.14688647801360952,0.03692472819773989,0.14695354035751257,3.539787781931855,4.0,0.0,0.3728017964632461,3.0,CL > CLmax,1,Titan,210.99457273153385,124.04997419647006,0.0,52.254400000000004,158.74017273153385,1.8511940715054267,10.584640371852164,0.15622830899670537,0.49042358395032537,0.48763750374287124,21.093176821491937,0.012303064349057397,0.0,0.014594809175303324,0.0,0.27
9,10.0,0.3796877035235656,1.5207377436948428,0.0,6.090909090909091,1.5684939231891104,0.35,0.0,210.47799415799906,537.5093694314729,LowAcc,75.0,111902.97196510962,111902.97196510962,0.1701741430419961,1.5,8.814500094939953,3.5360636792459434,0.7113808852041037,0.14799161285697052,0.03830703790525821,0.14805269671400437,3.5360636792459434,4.0,0.0,0.37195548696804054,3.0,CL > CLmax,1,Titan,210.47799415799906,123.52121868727485,0.0,52.254400000000004,158.22359415799906,1.9268470257664618,10.557101726418432,0.1569519473128878,0.5070507934610928,0.4859580084916555,21.041540715847443,0.012330444250947356,0.0,0.014594809175303324,0.0,0.27
