,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_D,Fuse_x,S_Vtail,cgx,RTG_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb
0,1,112.2500029,10.59481019,0,1,1.438074866,0.35,0,3856.294086,2029.299852,LowAcc,75,64525.63702,64525.63702,0.418897954,1.5,2.916868615,2.146047394,0.937128671,0.888877,0.93723323,2.761289134,0.55399639,4,Winglet sizing exceeded iter. lim,1,Mars,3856.294086,178.4515745,4.253944855,52.2544,3804.039686,0.061818807,0.135584704,0.060834977,3220.359282,0.989216636,385.6221646,-0.215126218,0,0.004601589,14.31578968,0.27
1,2,117.5952412,11.83192016,0,1.19047619,1.460846448,0.35,0,293.4872267,1018.424822,LowAcc,75,64525.63702,64525.63702,0.390035871,1.5,2.663648658,1.956453118,1.038496339,8.768448045,1.051378704,2.513203426,0.519258232,4,Winglet sizing exceeded iter. lim,1,Mars,293.4872267,157.317353,3.750145363,52.2544,241.2328267,0.650762728,0.083208116,0.007666546,36.80259897,0.894259665,29.33995428,-0.238078081,0,0.004601589,12.62035454,0.27
2,3,122.9404794,13.02977159,0,1.380952381,1.483618029,0.35,0,1402.105742,1295.15686,LowAcc,75,64525.63702,64525.63702,0.369365166,1.5,1.297175327,0.958405192,1.080384782,0.87328,1.081287377,1.207249306,0.27086406,4,Winglet sizing exceeded iter. lim,1,Mars,1402.105742,46.06417438,1.098081976,52.2544,1349.851342,0.234734233,0.066861655,0.012597622,1158.613883,0.330753592,140.2021189,-0.471837322,0,0.004601589,3.695372449,0.27
3,4,128.2857176,14.19830419,0,1.571428571,1.50638961,0.35,0,409.8457627,380.0428574,LowAcc,75,64525.63702,64525.63702,0.094495599,1.5,3.759162569,2.780513737,10.38459413,124.3752161,10.37645759,3.591493689,0.657021339,4,Winglet too big,Tail span too big,Mars,409.8457627,249.1760312,5.939880884,52.2544,357.5913627,0.782761336,0.097989125,0.012657532,39.46484472,1.293015463,40.97732429,-0.147209316,0,0.004601589,19.98946585,0.27
4,5,133.6309559,15.34421772,0,1.761904762,1.529161192,0.35,0,1644.966891,594.7290253,LowAcc,75,64525.63702,64525.63702,0.03564369,1.5,1.442061361,1.060409984,13.79479936,294.5388869,13.79320746,1.340723437,0.305656893,4,Winglet too big,Tail span too big,Mars,1644.966891,57.43472796,1.369134266,52.2544,1592.712491,0.331019053,0.077165564,0.018273905,1364.407093,0.396910144,164.4867008,-0.420679684,0,0.004601589,4.607544023,0.27
5,6,138.9761941,16.47223343,0,1.952380952,1.551932773,0.35,0,3534.772355,1859.313582,LowAcc,75,64525.63702,64525.63702,0.308789321,1.5,1.81874628,1.331595499,1.165748201,0.887287,1.165997349,1.695571967,0.383084306,4,Winglet sizing exceeded iter. lim,1,Mars,3534.772355,87.6639882,2.08974212,52.2544,3482.517955,0.195147243,0.106620173,0.046688744,3031.68737,0.559517434,353.4706057,-0.33893037,0,0.004601589,7.032603778,0.27
6,7,144.3214323,17.58579575,0,2.142857143,1.574704354,0.35,0,2926.336971,1669.993052,LowAcc,75,64525.63702,64525.63702,0.291909667,1.5,2.962275183,2.180115682,1.175451501,0.888289,1.175582047,2.805867775,0.56001016,4,Winglet sizing exceeded iter. lim,1,Mars,2926.336971,182.249193,4.34447283,52.2544,2874.082571,0.087824247,0.12978262,0.059355018,2379.168283,1.006041696,292.6237541,-0.211180401,0,0.004601589,14.62044324,0.27
7,8,149.6666706,18.68748863,0,2.333333333,1.597475936,0.35,0,3955.42735,1949.330721,LowAcc,75,64525.63702,64525.63702,0.275946401,1.5,2.888609322,2.124854658,1.188017501,0.88801,1.188141714,2.73355826,0.550222265,4,Winglet sizing exceeded iter. lim,1,Mars,3955.42735,176.0892037,4.197630446,52.2544,3903.17295,0.118000247,0.13574971,0.076232161,3312.128845,0.978715615,395.5353014,-0.217605205,0,0.004601589,14.12627494,0.27
8,9,155.0119088,19.77929553,0,2.523809524,1.620247517,0.35,0,4396.828168,2061.189093,LowAcc,75,64525.63702,64525.63702,0.261428397,1.5,2.933008308,2.158154666,1.196196035,0.888211,1.196326046,2.777131602,0.556141027,4,Winglet sizing exceeded iter. lim,1,Mars,4396.828168,179.8011816,4.286116911,52.2544,4344.573768,0.142573431,0.139024871,0.085425326,3705.23476,0.995203773,439.6745404,-0.213718515,0,0.004601589,14.42405821,0.27
9,10,160.357147,20.86276859,0,2.714285714,1.643019099,0.35,0,4890.251171,2187.185497,LowAcc,75,64525.63702,64525.63702,0.247622589,1.5,3.007379172,2.213975888,1.202099295,0.888502,1.202235228,2.850174141,0.565923883,4,Winglet sizing exceeded iter. lim,1,Mars,4890.251171,186.0236166,4.434447883,52.2544,4837.996771,0.171652106,0.142829295,0.09611546,4142.36898,1.022697537,489.0158986,-0.207304033,0,0.004601589,14.92323605,0.27
