,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb,Tail_type,Winglet,Wing Folding
0,1.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,1766.756998117537,342966.8581188148,LowAcc,45.0,1148814.4066571572,1148814.4066571572,0.15849181133522464,0.18916,1.1935001461994106,33.43160159157446,0.7263145910819339,-0.0002534841108641863,0.02,4.4621529802252065,0.0,33.43160159157446,37.0,0.0,1.2146861608507475,3.0,Tail sizing failure,1,Titan,1766.756998117537,1766.756998117537,1766.756998117537,1766.756998117537,1766.756998117537,1766.756998117537,1766.756998117537,1766.756998117537,1766.756998117537,1766.756998117537,1766.756998117537,1766.756998117537,1766.756998117537,1766.756998117537,1766.756998117537,0.27,V-tail,yes,no
1,2.0,0.280618258146348,1.2204242582648814,0.0,5.307692307692308,1.4748597285067877,0.35,0.0,1427.5259873315476,189638.71041297106,LowAcc,45.0,985497.0213449056,985497.0213449056,0.12884817277374042,0.19284,1.4966452053505666,27.12626981017935,0.7268130165317017,-0.0003220827156765803,0.02,3.379632197329052,1.1102230246251565e-16,27.12626981017935,30.0,0.0,1.0945091836236118,3.0,Tail sizing failure,1,Titan,1427.5259873315476,1427.5259873315476,1427.5259873315476,1427.5259873315476,1427.5259873315476,1427.5259873315476,1427.5259873315476,1427.5259873315476,1427.5259873315476,1427.5259873315476,1427.5259873315476,1427.5259873315476,1427.5259873315476,1427.5259873315476,1427.5259873315476,0.27,V-tail,yes,no
2,3.0,0.3006624194425156,1.2993595055110108,0.0,5.615384615384615,1.5116445907034142,0.35,0.0,145044.4498517997,1863213155.3988485,LowAcc,45.0,9138874.474664154,9138874.474664154,1.484393355050568,0.21279,0.1433514905439273,685.0263456746793,0.7282730844618954,-1.0800998670409546e-05,0.02,70.28280542589151,0.0,685.0263456746793,756.0,0.0,1.4527225348081148,3.0,Required airspeed too high,1,Titan,145044.4498517997,145044.4498517997,145044.4498517997,145044.4498517997,145044.4498517997,145044.4498517997,145044.4498517997,145044.4498517997,145044.4498517997,145044.4498517997,145044.4498517997,145044.4498517997,145044.4498517997,145044.4498517997,145044.4498517997,0.27,V-tail,yes,no
3,4.0,0.3207065807386833,1.378248797370127,0.0,5.923076923076923,1.5484294529000409,0.35,0.0,67026.10709860227,416382089.0961718,LowAcc,45.0,6005206.628270919,6005206.628270919,1.0960096989053485,0.21349,0.1947884222313228,511.8826239393456,0.7281717784001672,-2.2652230201090984e-05,0.02,49.14624809040521,3.552713678800501e-15,511.8826239393456,565.0,0.0,1.5149652250357137,3.0,Required airspeed too high,1,Titan,67026.10709860227,67026.10709860227,67026.10709860227,67026.10709860227,67026.10709860227,67026.10709860227,67026.10709860227,67026.10709860227,67026.10709860227,67026.10709860227,67026.10709860227,67026.10709860227,67026.10709860227,67026.10709860227,67026.10709860227,0.27,V-tail,yes,no
4,5.0,0.3407507420348511,1.4570995981169352,0.0,6.230769230769231,1.5852143150966675,0.35,0.0,29936.338177870628,81267031.870277,LowAcc,45.0,3894203.7800701857,3894203.7800701857,0.7382193066489577,0.2134,0.2890739893659774,338.8033991980716,0.7280987920001745,-4.9804457987506094e-05,0.02,30.7859715574831,3.552713678800501e-15,338.8033991980716,374.0,0.0,1.5816294246036051,3.0,Required airspeed too high,1,Titan,29936.338177870628,29936.338177870628,29936.338177870628,29936.338177870628,29936.338177870628,29936.338177870628,29936.338177870628,29936.338177870628,29936.338177870628,29936.338177870628,29936.338177870628,29936.338177870628,29936.338177870628,29936.338177870628,29936.338177870628,0.27,V-tail,yes,no
5,6.0,0.3607949033310187,1.5359178359218355,0.0,6.538461538461538,1.6219991772932951,0.35,0.0,16745.58868028797,22984982.824134503,LowAcc,45.0,2826530.2321623117,2826530.2321623117,0.5156161007527351,0.21398,0.4149986776743704,231.94923838221692,0.7282212755252118,-8.775928634634442e-05,0.02,20.08404061919182,4.440892098500626e-15,231.94923838221692,256.0,0.0,1.6290495675273229,3.0,Required airspeed too high,1,Titan,16745.58868028797,16745.58868028797,16745.58868028797,16745.58868028797,16745.58868028797,16745.58868028797,16745.58868028797,16745.58868028797,16745.58868028797,16745.58868028797,16745.58868028797,16745.58868028797,16745.58868028797,16745.58868028797,16745.58868028797,0.27,V-tail,yes,no
6,7.0,0.3808390646271865,1.6147082792452159,0.0,6.846153846153847,1.6587840394899218,0.35,0.0,10772.522136570567,8393251.121849688,LowAcc,45.0,2201169.414566452,2201169.414566452,0.377625216027811,0.21502,0.5694005349053924,166.73985583241003,0.7283306796536905,-0.00013491303499393834,0.02,13.75883425852185,4.440892098500626e-15,166.73985583241003,184.0,0.0,1.6633295886463377,3.0,Required airspeed too high,1,Titan,10772.522136570567,10772.522136570567,10772.522136570567,10772.522136570567,10772.522136570567,10772.522136570567,10772.522136570567,10772.522136570567,10772.522136570567,10772.522136570567,10772.522136570567,10772.522136570567,10772.522136570567,10772.522136570567,10772.522136570567,0.27,V-tail,yes,no
7,8.0,0.4008832259233542,1.6934748075815083,0.0,7.153846153846154,1.6955689016865492,0.35,0.0,7425.832845751284,3505895.990024475,LowAcc,45.0,1775921.6612377441,1775921.6612377441,0.28526882016736377,0.2163,0.7582321820979222,123.25138592850814,0.7283806006134137,-0.00019416959124804705,0.02,9.730187603999237,4.440892098500626e-15,123.25138592850814,136.0,0.0,1.6891948762815174,3.0,Required airspeed too high,1,Titan,7425.832845751284,7425.832845751284,7425.832845751284,7425.832845751284,7425.832845751284,7425.832845751284,7425.832845751284,7425.832845751284,7425.832845751284,7425.832845751284,7425.832845751284,7425.832845751284,7425.832845751284,7425.832845751284,7425.832845751284,0.27,V-tail,yes,no
8,9.0,0.4209273872195219,1.772220609645807,0.0,7.461538461538462,1.7323537638831756,0.35,0.0,5438.603556146614,1663004.5018478518,LowAcc,45.0,1478434.3936022795,1478434.3936022795,0.22331535784259116,0.21768,0.9747650233417293,94.30443582449752,0.7287728263940927,-0.00026286809160482467,0.02,7.155978287947544,4.440892098500626e-15,94.30443582449752,104.0,0.0,1.7092786876003958,3.0,Required airspeed too high,1,Titan,5438.603556146614,5438.603556146614,5438.603556146614,5438.603556146614,5438.603556146614,5438.603556146614,5438.603556146614,5438.603556146614,5438.603556146614,5438.603556146614,5438.603556146614,5438.603556146614,5438.603556146614,5438.603556146614,5438.603556146614,0.27,V-tail,yes,no
9,10.0,0.4409715485156896,1.8509483307438472,0.0,7.769230769230769,1.769138626079802,0.35,0.0,4340.6034261209115,940186.573860609,LowAcc,45.0,1281196.658765668,1281196.658765668,0.18513231239690503,0.22081,1.1927145355728372,77.12314112904625,0.7291989992075664,-0.00033135010551758843,0.0108296891628189,3.0442846024096952,4.440892098500626e-15,77.12314112904625,85.0,0.0,1.7224248667305264,3.0,Tail sizing failure,1,Titan,4340.6034261209115,4340.6034261209115,4340.6034261209115,4340.6034261209115,4340.6034261209115,4340.6034261209115,4340.6034261209115,4340.6034261209115,4340.6034261209115,4340.6034261209115,4340.6034261209115,4340.6034261209115,4340.6034261209115,4340.6034261209115,4340.6034261209115,0.27,V-tail,yes,no
