Alt,rho,p,T,Fc,N2,CH4,AR,gamma,mu
170000,0.00187,83.8,147.45,0.00E+00,3.91E+22,2.06E+21,0,1.395996113,9.36509E-06
172000,0.00177,79.5,147.66,0.00E+00,3.70E+22,1.95E+21,0,1.395994865,9.37776E-06
174000,0.00168,75.4,147.87,0.00E+00,3.51E+22,1.85E+21,0,1.395994587,9.39043E-06
176000,0.00159,71.5,148.06,0.00E+00,3.32E+22,1.75E+21,0,1.395994278,9.40189E-06
178000,0.00151,67.8,148.26,0.00E+00,3.15E+22,1.66E+21,0,1.395995175,9.41394E-06
180000,0.00143,64.3,148.46,0.00E+00,2.98E+22,1.57E+21,0,1.395996175,9.42599E-06
182000,0.00135,61,148.66,0.00E+00,2.83E+22,1.49E+21,0,1.395998657,9.43804E-06
184000,0.00128,57.9,148.85,0.00E+00,2.68E+22,1.41E+21,0,1.396001418,9.44947E-06
186000,0.00122,55,149.03,0.00E+00,2.56E+22,1.34E+21,0,1.396020787,9.4603E-06
188000,0.00115,52.2,149.21,0.00E+00,2.41E+22,1.27E+21,0,1.39599527,9.47113E-06
190000,0.00109,49.6,149.39,0.00E+00,2.28E+22,1.20E+21,0,1.396,9.48195E-06
192000,0.00104,47.1,149.57,0.00E+00,2.17E+22,1.14E+21,0,1.396007005,9.49277E-06
194000,0.000984,44.7,149.74,0.00E+00,2.06E+22,1.08E+21,0,1.39601476,9.50299E-06
196000,0.000933,42.5,149.91,0.00E+00,1.95E+22,1.03E+21,0,1.395986361,9.5132E-06
198000,0.000886,40.3,150.08,0.00E+00,1.85E+22,9.74E+20,0,1.395998768,9.52341E-06
200000,0.000841,38.3,150.23,0.00E+00,1.76E+22,9.24E+20,0,1.396009501,9.53241E-06
205000,0.000738,33.7,150.62,0.00E+00,1.56E+22,8.11E+20,0,1.396046554,9.55581E-06
210000,0.000649,29.7,150.98,0.00E+00,1.35E+22,7.13E+20,0,1.395986773,9.57738E-06
215000,0.000571,26.2,151.3,0.00E+00,1.15E+22,6.27E+20,0,1.395863775,9.59655E-06
220000,0.000502,23.1,151.6,0.00E+00,1.05E+22,5.52E+20,0,1.396004343,9.61451E-06
225000,0.000443,20.4,151.87,0.00E+00,9.25E+21,4.87E+20,0,1.395998768,9.63066E-06
230000,0.000391,18,152.1,0.00E+00,8.16E+21,4.29E+20,0,1.396004191,9.64442E-06
235000,0.000345,15.9,152.3,0.00E+00,7.20E+21,3.79E+20,0,1.395999472,9.65637E-06
240000,0.000305,14.1,152.46,0.00E+00,6.36E+21,3.35E+20,0,1.395997013,9.66593E-06
245000,0.000269,12.5,152.59,0.00E+00,6.20E+21,2.96E+20,0,1.39635468,9.67369E-06
250000,0.000238,11,152.69,0.00E+00,4.98E+21,2.62E+20,0,1.396001526,9.67967E-06
255000,0.000211,9.78,152.74,0.00E+00,4.41E+21,2.32E+20,0,1.396001723,9.68265E-06
260000,0.000187,8.67,152.75,0.00E+00,3.91E+21,2.06E+20,0,1.395996113,9.68325E-06
265000,0.000166,7.69,152.72,0.00E+00,3.47E+21,1.82E+20,0,1.396013143,9.68146E-06
270000,0.000147,6.82,152.66,0.00E+00,3.01E+21,1.62E+20,0,1.39591425,9.67787E-06
275000,0.000131,6.05,152.54,0.00E+00,2.73E+21,1.44E+20,0,1.395991649,9.67071E-06
280000,0.000115,5.37,152.39,0.00E+00,2.43E+21,1.28E+20,0,1.395996873,9.66175E-06
285000,0.000103,4.77,152.19,0.00E+00,2.16E+21,1.13E+20,0,1.396022877,9.6498E-06
290000,0.0000908,4.23,151.95,0.00E+00,1.92E+21,1.01E+20,0,1.396001979,9.63545E-06
295000,0.0000817,3.76,151.67,0.00E+00,1.71E+21,8.98E+19,0,1.396008445,9.6187E-06
300000,0.0000728,3.34,151.33,0.00E+00,1.52E+21,8.00E+19,0,1.396,9.59835E-06
305000,0.0000648,2.97,150.94,0.00E+00,1.35E+21,7.12E+19,0,1.395992119,9.57499E-06
310000,0.0000578,2.64,150.5,0.00E+00,1.21E+21,6.35E+19,0,1.396010993,9.54861E-06
315000,0.0000515,2.34,150.02,0.00E+00,1.08E+21,5.66E+19,0,1.396016189,9.5198E-06
320000,0.0000459,2.08,149.48,0.00E+00,9.59E+20,5.05E+19,0,1.395998019,9.48736E-06
325000,0.000041,1.85,148.88,0.00E+00,8.56E+20,4.50E+19,0,1.39600444,9.45128E-06
330000,0.0000366,1.64,148.24,0.00E+00,7.62E+20,4.02E+19,0,1.395991025,9.41274E-06
335000,0.0000326,1.46,147.53,0.00E+00,6.82E+20,3.59E+19,0,1.395999443,9.36992E-06
340000,0.0000291,1.3,146.77,0.00E+00,6.09E+20,3.20E+19,0,1.39600624,9.32402E-06
345000,0.000026,1.15,145.95,0.00E+00,5.43E+20,2.86E+19,0,1.395997201,9.27441E-06
350000,0.0000232,1.02,145.06,0.00E+00,4.85E+20,2.55E+19,0,1.396003918,9.22047E-06
355000,0.0000207,0.908,144.41,0.00E+00,4.33E+20,2.28E+19,0,1.395998245,9.18102E-06
360000,0.0000185,0.806,143.72,0.00E+00,3.86E+20,2.03E+19,0,1.396002953,9.13907E-06
365000,0.0000165,0.715,142.98,0.00E+00,3.44E+20,1.81E+19,0,1.396001105,9.09402E-06
370000,0.0000147,0.634,142.19,0.00E+00,3.07E+20,1.62E+19,0,1.395990099,9.04585E-06
375000,1.31E-05,0.562,141.34,0.00E+00,2.74E+20,1.44E+19,0,1.396005548,8.99394E-06
380000,0.0000117,0.498,140.44,0.00E+00,2.44E+20,1.29E+19,0,1.395982873,8.93887E-06
385000,0.0000104,0.442,139.5,0.00E+00,2.18E+20,1.15E+19,0,1.395991285,8.88124E-06
390000,0.00000931,0.391,138.52,0.00E+00,1.40E+20,1.02E+19,0,1.394567244,8.82104E-06
395000,0.0000083,0.346,137.49,0.00E+00,1.72E+20,9.13E+18,0,1.395967537,8.75763E-06
400000,0.00000741,0.307,136.43,0.00E+00,1.55E+20,8.14E+18,0,1.396008336,8.69224E-06
405000,0.0000066,0.271,135.34,0.00E+00,1.38E+20,7.26E+18,0,1.396001652,8.62484E-06
410000,0.00000589,0.24,134.21,0.00E+00,1.23E+20,6.47E+18,0,1.396002163,8.55481E-06
415000,0.00000524,0.212,133.06,0.00E+00,1.00E+20,5.76E+18,0,1.395642965,8.48338E-06
420000,0.00000467,0.187,131.88,0.00E+00,9.75E+19,5.13E+18,0,1.396001169,8.4099E-06
425000,0.00000416,0.165,130.68,0.00E+00,8.68E+19,4.57E+18,0,1.395998687,8.33499E-06
430000,0.0000037,0.145,129.46,0.00E+00,7.73E+19,4.07E+18,0,1.395998525,8.25864E-06
435000,0.00000329,0.128,128.23,0.00E+00,6.87E+19,3.62E+18,0,1.395995575,8.18147E-06
440000,0.00000292,0.113,126.98,0.00E+00,6.11E+19,3.21E+18,0,1.396006842,8.10284E-06
445000,0.0000026,0.099,125.73,0.00E+00,5.42E+19,2.85E+18,0,1.396003506,8.02401E-06
450000,0.0000023,0.087,124.47,0.00E+00,4.80E+19,2.53E+18,0,1.395994459,7.94434E-06
455000,0.00000204,0.0764,123.21,0.00E+00,4.27E+19,2.25E+18,0,1.395995551,7.86446E-06
460000,0.00000181,0.067,121.96,0.00E+00,3.78E+19,1.99E+18,0,1.395998995,7.78502E-06
465000,0.0000016,0.0587,120.71,0.00E+00,3.35E+19,1.76E+18,0,1.396006807,7.70537E-06
470000,0.00000142,0.0514,119.48,0.00E+00,2.96E+19,1.56E+18,0,1.395994865,7.62679E-06
475000,0.00000125,0.0449,118.26,0.00E+00,2.62E+19,1.38E+18,0,1.395997099,7.54866E-06
480000,0.00000111,0.0393,117.06,0.00E+00,2.30E+19,1.22E+18,0,1.395970273,7.47162E-06
485000,0.000000975,0.0343,115.89,0.00E+00,2.04E+19,1.07E+18,0,1.396013041,7.39633E-06
