Alt,rho,p,T,Fc,N2,CH4,AR,gamma,mu
172000,0.00288,143,165.92,1.00E-05,5.93E+22,1.88E+21,1.25E+21,1.402796732,1.04589E-05
174000,0.00274,136,166.27,1.00E-05,5.64E+22,1.79E+21,1.18E+21,1.4027556,1.04792E-05
176000,0.00261,130,166.62,1.00E-05,5.37E+22,1.70E+21,1.13E+21,1.402791438,1.04996E-05
178000,0.00248,124,166.96,1.00E-05,5.11E+22,1.62E+21,1.07E+21,1.402762595,1.05193E-05
180000,0.00236,118,167.3,1.00E-05,4.86E+22,1.54E+21,1.02E+21,1.402775606,1.0539E-05
182000,0.00225,113,167.64,0.00E+00,4.63E+22,1.47E+21,9.72E+20,1.402772147,1.05587E-05
184000,0.00214,107,167.97,0.00E+00,4.41E+22,1.40E+21,9.25E+20,1.402767905,1.05778E-05
186000,0.00204,103,168.3,0.00E+00,4.20E+22,1.33E+21,8.84E+20,1.402791876,1.05969E-05
188000,0.00194,97.9,168.62,0.00E+00,4.00E+22,1.27E+21,8.39E+20,1.402767579,1.06154E-05
190000,0.00185,93.4,168.94,0.00E+00,3.81E+22,1.21E+21,7.99E+20,1.402765963,1.06338E-05
192000,0.00176,89.2,169.26,0.00E+00,3.63E+22,1.15E+21,7.62E+20,1.402777138,1.06523E-05
194000,0.00168,85.2,169.57,0.00E+00,3.46E+22,1.10E+21,7.26E+20,1.402766156,1.06702E-05
196000,0.0016,81.3,169.88,0.00E+00,3.30E+22,1.04E+21,6.92E+20,1.402784752,1.06881E-05
198000,0.00153,77.7,170.18,0.00E+00,3.14E+22,9.96E+20,6.60E+20,1.402780736,1.07054E-05
200000,0.00146,74.2,170.48,0.00E+00,3.00E+22,9.49E+20,6.29E+20,1.402774717,1.07226E-05
205000,0.00129,66.2,171.21,0.00E+00,2.66E+22,8.44E+20,5.59E+20,1.402778988,1.07646E-05
210000,0.00115,59.1,171.91,0.00E+00,2.37E+22,7.51E+20,4.97E+20,1.402771364,1.08048E-05
215000,0.00102,52.9,172.58,0.00E+00,2.11E+22,6.68E+20,4.42E+20,1.402768122,1.08433E-05
