,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season
275,1761.0,0.482885634,2.460682694357065,0.0,12.53911671,1.625958214,0.35,0.0,157.14410869396522,303.6987019145987,LowAcc,4590289.782743726,14.545750572742305,0.04593984325032342,0.7788377202029884,16.9534257215278,2.2319158481343826,2.44722071706924,0.7341662151207721,0.21736818490335294,0.4219213669305888,0.15536346933951967,0.2138901608186301,1.827661431957419,2.0,0.0,6.0,0.27353651864538864,3.0,1,1,Titan,157.14410869396522,70.2269375083199,0.0,52.254400000000004,104.88970869396523,4.144059584717667,7.670547209219723,0.08437214613067087,2.0599999260847004,0.3087327247687223,15.707236835160415,4.673239195123098,0.0,0.014583564440330758,0.0,Conventional,yes,no,0.0,summer
276,1763.0,1.023145492,3.7194565050603794,0.0,13.5213973,2.246672501,0.35,0.0,144.07688071514175,222.82621677481106,LowAcc,3997691.1149751153,12.667918710469475,0.022251310412760565,0.4443363025524361,19.96899482817068,1.117780868716255,2.329128693101445,0.6987386079304334,0.1573700001360944,0.5575885652196759,0.04936694367771498,0.1563236290881883,1.7349467869700128,2.0,0.0,6.0,0.24316764357783885,3.0,1,1,Titan,144.07688071514175,57.063127738620096,0.0,52.254400000000004,91.82248071514175,6.173511521724693,6.362693803501073,0.08503942991490102,2.722385006225984,0.25867546628420474,14.401557576091449,4.740906608339034,0.0,0.014583564440330758,0.0,Conventional,no,yes,0.0,spring
277,1766.0,0.798528363,3.065859001156477,0.0,11.7710176,1.651563782,0.35,0.0,140.13964678823652,234.32231332832498,LowAcc,4250491.9387576,13.468996180817301,0.02647408684514714,0.4898528540701706,18.503106714706707,1.3667118505700044,2.3090664110062247,0.6927199233018674,0.1603076507743928,0.4900866704655016,0.15442882895765486,0.15879648927252443,1.7191957878796527,2.0,0.0,3.0,0.23762298979408836,3.0,1,1,Titan,140.13964678823652,54.259575531005886,0.0,52.254400000000004,87.88524678823651,5.716877799900179,6.396927877723522,0.07639918106110764,2.3928119883535506,0.24988435062123412,14.008117181936388,4.770069313194318,0.0,0.014583564440330758,0.0,Conventional,yes,no,0.0,spring
278,1771.0,0.696370135,2.9436382649941013,0.0,12.44310432,1.901438808,0.35,0.0,147.78150806870622,243.8954651734231,LowAcc,4356157.181747335,13.803829130692243,0.029719190757271967,0.5639573191336681,18.976200386468253,1.5374915483382638,2.378518628813752,0.7135555886441255,0.17258947190771973,0.39164799398693306,0.05698877925100108,0.1703542669486236,1.7737230751701891,2.0,0.0,2.0,0.2563070300841456,3.0,1,1,Titan,147.78150806870622,61.92137682765616,0.0,52.254400000000004,95.5271080687062,4.939346040348091,6.912413806742569,0.08217568804496586,1.9121924175910034,0.2799402986343316,14.771711963835845,4.693367461412913,0.0,0.014583564440330758,0.0,Conventional,yes,no,0.0,winter
279,1772.0,1.015942027,3.5332567321930597,0.0,12.28800739,2.728763541,0.35,0.0,145.9123698083981,229.18192878098574,LowAcc,4151814.6092964406,13.15630659269539,0.021507436735940022,0.42016574589359795,19.535835490404097,0.8576125429562158,2.3505724726196147,0.7051717417858844,0.11051017740805542,0.5017437047931034,0.12191524834969747,0.11165013614254868,1.7517824066707772,2.0,0.0,3.0,0.24895760651374746,3.0,1,1,Titan,145.9123698083981,58.83842422334893,0.0,52.254400000000004,93.6579698083981,6.0948222812322665,6.6056806200258285,0.08547822421737776,2.4497265978883105,0.2679714010402912,14.584955569004553,4.7163273272002195,0.0,0.014583564440330758,0.0,Conventional,no,no,0.0,winter
280,1781.0,1.410168008,3.3519312267232046,0.0,7.967449896,2.403837712,0.35,0.0,170.57714741616599,331.9893467359912,LowAcc,4652019.363540367,14.741359810443024,0.017927350782371725,0.28186446448584546,15.722594370329814,0.1408500450029733,2.5101132178513956,0.7530339653554187,0.13275138224836394,0.8061568976690998,0.15166296262586548,0.1357689850854743,1.8770386522511269,2.0,0.0,1.0,0.2884080431164616,3.0,1,1,Titan,170.57714741616599,76.73728012781447,0.0,52.254400000000004,118.322747416166,7.193029815109721,8.261895325803064,0.10505550139583511,3.9360015390835126,0.3343996934905343,17.049519116987877,4.690982732040631,0.0,0.014583564440330758,0.0,Conventional,no,yes,0.0,winter
281,1782.0,1.198648088,3.1117453373467674,0.0,8.078233421,2.455931798,0.35,0.0,179.46509231603815,365.2241744795293,LowAcc,4795757.927343253,15.196839833647848,0.020922247219070857,0.32828205805274596,15.690573513227264,0.22177936693225028,2.572859264910134,0.7718577794730401,0.1693752019119618,0.6887991002056111,0.1514112725648209,0.16982846252070669,1.9263008909862376,2.0,0.0,3.0,0.3025172908971293,3.0,1,1,Titan,179.46509231603815,83.68632247417854,0.0,52.254400000000004,127.21069231603815,8.08816177833134,8.915293345039432,0.11054802777239361,3.3630107567986656,0.35943832326295205,17.937616525195256,4.7357175210192315,0.0,0.014583564440330758,0.0,Conventional,yes,yes,0.0,summer
282,1784.0,0.518902958,2.3717365581406082,0.0,10.84043599,2.607799305,0.35,0.0,187.66841388134262,437.019567091493,LowAcc,5579017.664787402,17.678840167780194,0.03680744756861648,0.5859531974475245,15.919419469529638,1.6962162019038047,2.710154114116352,0.7261830710523213,0.17791051091510215,0.18613015173029043,0.15422271466581203,0.17534527245769962,2.710154114116352,3.0,0.0,4.0,0.33372868007128237,3.0,1,1,Titan,187.66841388134262,99.84723238392634,0.0,52.254400000000004,135.4140138813426,5.869571513760719,9.470862093516306,0.11220198634270273,0.9087667249371871,0.4171616715136459,18.757309866101547,0.01632407680386849,0.0,0.014583564440330758,0.0,Conventional,no,yes,0.0,fall
283,1785.0,0.584389001,2.4945569524965956,0.0,10.64841121,2.646649133,0.35,0.0,163.34253079246008,328.6689623246529,LowAcc,4887653.538160838,15.488039452178993,0.03573863938244035,0.5900241455373845,16.50941825802367,1.544137141261423,2.4971345492250703,0.7491403647675211,0.21665639704603795,0.3153223358836201,0.15439046081003852,0.21334457355886055,1.8668490339037684,2.0,0.0,3.0,0.28540257821773424,3.0,1,1,Titan,163.34253079246008,75.00679931667439,0.0,52.254400000000004,111.08813079246006,4.788814564763265,8.30754043774684,0.09022090845784182,1.5395380265725527,0.3291522463043863,16.326577581870556,4.684904145629899,0.0,0.014583564440330758,0.0,Conventional,no,no,0.0,spring
284,1792.0,1.35254029,4.038608353844388,0.0,12.05905477,2.534514404,0.35,0.0,140.97452887451152,219.2783938838671,LowAcc,3870409.6340850405,12.264588036115041,0.017510929382783237,0.35087299285118106,20.037371242908428,0.4473533081182221,2.2865311060616884,0.6859593318185064,0.09797970331348997,0.6899501886666666,0.14751482389434184,0.101964763482003,1.7015032060488477,2.0,0.0,4.0,0.23123637171025413,3.0,1,1,Titan,140.97452887451152,52.314741576718916,0.0,52.254400000000004,88.72012887451153,7.780392814133462,6.015740478830243,0.08375510074706587,3.368630861231731,0.2398938592088738,14.091572099514162,4.810818519686734,0.0,0.014583564440330758,0.0,Conventional,no,yes,0.0,fall
