,Unnamed: 0,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold
0,0,8.0,1.6131548574656105,4.135147094014368,0.0,10.6,2.107559358288769,0.35,0.0,178.3426913066146,410.4614310218037,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0242002247923433,0.28562,11.802369707341184,2.665086778829582,0.7147024838385694,0.0720792666284216,0.0899286583306887,0.1495578314867275,0.073042112464606,2.665086778829582,3.0,0.0,4.0,0.32209827222265,3.0,1,1,Titan,178.3426913066146,94.49221993292107,0.0,52.2544,126.0882913066146,4.688187314154676,8.110237954519672,0.1082283351735093,0.4390700353997274,0.3933663343216957,17.825531116065147,0.016866719618777,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
1,1,9.0,1.5231820723555791,4.167046391012897,0.0,11.4,2.2032,0.35,0.0,169.48055668604903,371.0931970004867,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022722038366086,0.28746,12.651153711149886,2.607786687533038,0.7001056879264078,0.0756191840576645,0.097397408091618,0.1499536414474644,0.0767565433251515,2.607786687533038,3.0,0.0,4.0,0.3066747436014081,3.0,1,1,Titan,169.48055668604903,86.35663896060983,0.0,52.2544,117.22615668604902,5.268011121118633,7.685091402721585,0.1033829091983313,0.4755356547339352,0.3652372768837383,16.93999011800083,0.0176856783418228,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
2,2,10.0,1.607580861291327,4.428598707012658,0.0,12.2,2.2988406417112297,0.35,0.0,172.62982578909026,377.98426512496303,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0219747386061291,0.28819,13.114604235593465,2.6217473350386853,0.7036620648506074,0.0921939063714562,0.1148659863404859,0.1840912556007506,0.0929556962791915,2.6217473350386853,3.0,0.0,4.0,0.3105031455457437,3.0,1,1,Titan,172.62982578909026,88.33879947097083,0.0,52.2544,120.37542578909029,5.912795867135047,7.795520663080375,0.1086024324256782,0.5608246984324327,0.3721477499587806,17.254680393940124,0.0174709487066688,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
3,3,11.0,1.6022399776182012,4.563893043119724,0.0,13.0,2.394481283422459,0.35,0.0,169.61374715352912,362.2858838952754,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0209338385165234,0.29045,13.87466516333081,2.599216193629412,0.6979224147841326,0.0822028094210733,0.1123344256570543,0.1506222994239734,0.0835455924530224,2.599216193629412,3.0,0.0,4.0,0.3043006136799907,3.0,1,1,Titan,169.61374715352912,85.1397831834558,0.0,52.2544,117.35934715352911,6.581942454483319,7.634170913679163,0.10830158002852,0.5484645402856992,0.3609757446878406,16.953302288168636,0.0178228842998296,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
4,4,15.0,1.5744183436174484,5.050304660770741,0.0,16.200000000000003,2.77704385026738,0.35,0.0,184.5603309217258,353.33842227979545,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0202675374315592,0.30285,14.942614563939218,2.5489268191278875,0.7646780457383662,0.0756098342644092,0.1422072147105958,0.1505826959310625,0.0780203211748411,1.9075114068210208,2.0,0.0,4.0,0.2972148004559283,3.0,1,1,Titan,184.5603309217258,81.56419581699973,0.0,52.2544,124.11876355288211,9.759825651723292,8.45313210220815,0.1223757350937633,0.6943162275086482,0.3483660419720576,18.44614927117986,4.715819141756303,0.0,0.0145835644403307,0.0,V-tail,yes,yes,2.0
5,5,16.0,1.5387287355118382,5.114527202362037,0.0,17.0,2.872684491978609,0.35,0.0,180.47788763051636,335.0438651408304,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0193992175466253,0.30302,15.620217633608275,2.5135326711913053,0.7540598013573916,0.0766089074522263,0.1496752397541722,0.1499634908218174,0.0793213963019146,1.879723282354064,2.0,0.0,4.0,0.2891946858664582,3.0,1,1,Titan,180.47788763051636,77.61878261513233,0.0,52.2544,120.33145566047745,10.608456077905153,8.17369213858325,0.1198433393779819,0.7307783084638819,0.3342922065341279,18.03825007177065,4.692777338269728,0.0,0.0145835644403307,0.0,V-tail,yes,yes,2.0
6,6,24.0,1.6131548574656105,4.135147094014368,0.0,10.6,2.107559358288769,0.35,0.0,178.3426913066146,410.4614310218037,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0242002247923433,0.28562,11.802369707341184,2.665086778829582,0.7147024838385694,0.0720792744445452,0.0899286583306887,0.1495578314867275,0.0730421200752631,2.665086778829582,3.0,0.0,4.0,0.32209827222265,3.0,1,1,Titan,178.3426913066146,94.49221993292107,0.0,52.2544,126.0882913066146,4.688187314154676,8.110237954519672,0.1082283351735093,0.4390700353997274,0.3933663343216957,17.825531116065147,0.016866719618777,0.0,0.0145835644403307,0.0,V-tail,yes,no,0.0
7,7,25.0,1.5231820723555791,4.167046391012897,0.0,11.4,2.2032,0.35,0.0,169.48055668604903,371.0931970004867,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022722038366086,0.28746,12.651153711149886,2.607786687533038,0.7001056879264078,0.0756191871508892,0.097397408091618,0.1499536414474644,0.0767565463222287,2.607786687533038,3.0,0.0,4.0,0.3066747436014081,3.0,1,1,Titan,169.48055668604903,86.35663896060983,0.0,52.2544,117.22615668604902,5.268011121118633,7.685091402721585,0.1033829091983313,0.4755356547339352,0.3652372768837383,16.93999011800083,0.0176856783418228,0.0,0.0145835644403307,0.0,V-tail,yes,no,0.0
8,8,26.0,1.607580861291327,4.428598707012658,0.0,12.2,2.2988406417112297,0.35,0.0,172.62982578909026,377.98426512496303,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0219747386061291,0.28819,13.114604235593465,2.6217473350386853,0.7036620648506074,0.0921939094748278,0.1148659863404859,0.1840912556007506,0.0929556992762686,2.6217473350386853,3.0,0.0,4.0,0.3105031455457437,3.0,1,1,Titan,172.62982578909026,88.33879947097083,0.0,52.2544,120.37542578909029,5.912795867135047,7.795520663080375,0.1086024324256782,0.5608246984324327,0.3721477499587806,17.254680393940124,0.0174709487066688,0.0,0.0145835644403307,0.0,V-tail,yes,no,0.0
9,9,40.0,1.6517224028815984,4.184286972776239,0.0,10.6,2.107559358288769,0.35,0.0,180.4455863826344,419.9976929112993,LowAcc,45.0,119068.04349397456,119068.04349397456,0.024285648125956,0.28224,11.621678718895176,2.679193077919936,0.7182959644812472,0.072651314578593,0.0899286583306887,0.1496055926309299,0.0735689786693615,2.679193077919936,3.0,0.0,4.0,0.3257832917289959,3.0,1,1,Titan,180.4455863826344,96.49506034508182,0.0,52.2544,128.19118638263438,4.463708385586136,8.216078115416275,0.110137231069309,0.4390700353997274,0.4002001796132295,18.035660255049645,0.0166882709778964,0.0,0.0145835644403307,0.0,V-tail,no,yes,0.0
