,Unnamed: 0,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold
0,0,8.0,1.7106388372048509,4.258259230527354,0.0,10.6,2.107559358288769,0.35,0.0,190.8416148106236,455.0434414699255,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0257000013414109,0.28822,11.21478540686243,2.7389283203526964,0.7335130980463918,0.0844992286786024,0.0999286583306887,0.1496302062236192,0.0850713478797185,2.7389283203526964,3.0,0.0,3.0,0.3409469094700905,3.0,1,1,Titan,190.8416148106236,104.97638892093482,0.0,52.2544,138.5872148106236,4.785633876121008,8.684294945567043,0.1191517259095751,0.4878942971589949,0.4287761472502718,19.074475261770328,0.0160160714712275,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
1,1,9.0,1.6160036864880805,4.292137232890407,0.0,11.4,2.2032,0.35,0.0,181.04708544688907,409.38818948312297,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0240156848583373,0.28944,12.052123506255844,2.676381816926431,0.7175798154830606,0.0872770695404144,0.1073974080916179,0.2261510899199671,0.0879254181640454,2.676381816926431,3.0,0.0,3.0,0.325052233042465,3.0,1,1,Titan,181.04708544688907,96.09591191565616,0.0,52.2544,128.79268544688907,5.329946238390985,8.203129822505051,0.1134226456608198,0.5243599164932027,0.3988409823178155,18.09576718352872,0.0167231778959716,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
2,2,10.0,1.5222230951237536,4.309422439319426,0.0,12.2,2.2988406417112297,0.35,0.0,170.8115223089003,370.42020089295454,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0226507357328572,0.2899,12.798701261587269,2.6102207537237136,0.7007257491971326,0.0939802694114716,0.1148659863404859,0.2044722739983971,0.0946137325303775,2.6102207537237136,3.0,0.0,3.0,0.3073456654001184,3.0,1,1,Titan,170.8115223089003,86.702232521425,0.0,52.2544,118.5571223089003,6.00488664785286,7.710554244804152,0.1069602380892223,0.5608246984324327,0.3664448918579297,17.07298803016678,0.0176474718315921,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
3,3,11.0,1.5918555850693217,4.549079314092158,0.0,13.0,2.394481283422459,0.35,0.0,173.30227029674774,376.2095923656438,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0220415893537098,0.29267,13.2780806004237,2.6203339596329323,0.703302017390329,0.0923988842336065,0.1223344256570543,0.1575582889200465,0.0933073209961755,2.6203339596329323,3.0,0.0,3.0,0.3101177084675786,3.0,1,1,Titan,173.30227029674774,88.1381256186681,0.0,52.2544,121.04787029674776,6.683279040705276,7.792216035303032,0.1115591414321244,0.5972888020449666,0.3714498649662162,17.321876018787325,0.0174922104003689,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
4,4,12.0,1.5853278207640888,4.677341544782081,0.0,13.8,2.49012192513369,0.35,0.0,179.69057139361348,363.385837530077,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0210067913918244,0.29283,13.939777595638182,2.599300984763476,0.6979440147301552,0.0938639294556596,0.1288504957049127,0.1438976981340156,0.0948575334088402,2.599300984763476,3.0,0.0,3.0,0.3043241925571466,3.0,1,1,Titan,179.69057139361348,85.15182199737919,0.0,52.2544,119.3379358661543,7.374912791960958,7.713004861835135,0.1160649114995921,0.6291030330108027,0.3610179783393079,17.959605221625335,0.0178215060636508,0.0,0.0145835644403307,0.0,V-tail,yes,yes,2.0
5,5,13.0,1.722314499961637,5.014557976476083,0.0,14.6,2.58576256684492,0.35,0.0,187.27987215828995,386.7179761805171,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0208100236034057,0.2884,13.858706049367497,2.6357344237551943,0.7072251774876109,0.1225587591533658,0.173046503438565,0.1486522208278204,0.1224286319583723,2.6357344237551943,3.0,0.0,3.0,0.3142920354289884,3.0,1,1,Titan,187.27987215828995,90.32471415706004,0.0,52.2544,126.53916507233748,8.11478385150437,7.996242969685478,0.1252741600845255,0.8448867780410481,0.3790336066473558,18.72237990101706,0.0172660838572758,0.0,0.0145835644403307,0.0,V-tail,yes,yes,2.0
6,6,14.0,1.687097497732841,5.097185641614964,0.0,15.4,2.68140320855615,0.35,0.0,181.747304132836,364.2533484828863,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0197568108899232,0.28911,14.633434596848732,2.6002425412480576,0.6981838696332493,0.1116621952158898,0.1656990457505931,0.1496851365893612,0.1121469146390627,2.6002425412480576,3.0,0.0,3.0,0.3045858996732382,3.0,1,1,Titan,181.747304132836,85.28550606047563,0.0,52.2544,121.4247809353861,8.91468366849834,7.73432761384967,0.122242508931173,0.8090133582987796,0.361486860362203,18.16513107068716,0.0178062298428089,0.0,0.0145835644403307,0.0,V-tail,yes,yes,2.0
7,7,24.0,1.6371255911827105,4.165756986015475,0.0,10.6,2.107559358288769,0.35,0.0,182.5326328173128,426.4730940897516,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0249329933047641,0.28805,11.552965040301052,2.6895327930694832,0.720929934312931,0.0717256004366116,0.0899286583306887,0.1496030042803033,0.0726764097723766,2.6895327930694832,3.0,0.0,3.0,0.3284581013811709,3.0,1,1,Titan,182.5326328173128,97.96311367495234,0.0,52.2544,130.27823281731276,4.785184278335279,8.298508543364585,0.1118144665128117,0.4390700353997274,0.4051877770953355,18.244207881489537,0.0165625957228089,0.0,0.0145835644403307,0.0,V-tail,yes,no,0.0
8,8,25.0,1.5425996114347722,4.193523049937415,0.0,11.4,2.2032,0.35,0.0,172.9547066660577,387.49709543789805,LowAcc,45.0,119068.04349397456,119068.04349397456,0.023637554945107,0.28966,12.254228522056142,2.627956523445436,0.7052438119979975,0.0754509513320847,0.097397408091618,0.1500100277417558,0.0765725033335112,2.627956523445436,3.0,0.0,3.0,0.3121907960860256,3.0,1,1,Titan,172.9547066660577,89.22039239538735,0.0,52.2544,120.70030666605768,5.367491607409874,7.836247765661873,0.1063252530848013,0.4755356547339352,0.3752091247612269,17.28714252435874,0.0173787762195428,0.0,0.0145835644403307,0.0,V-tail,yes,no,0.0
9,9,26.0,1.5060404140104249,4.286454601524106,0.0,12.2,2.2988406417112297,0.35,0.0,169.75346111444767,365.06353528535567,LowAcc,45.0,119068.04349397456,119068.04349397456,0.0224903701749708,0.2912,12.947763764425344,2.6040113862755256,0.6991439564401937,0.0784897484516888,0.1048659863404859,0.1857228229657332,0.0796814547515736,2.6040113862755256,3.0,0.0,3.0,0.3056312123636858,3.0,1,1,Titan,169.75346111444767,85.82061417634893,0.0,52.2544,117.49906111444768,6.033099818941131,7.664352349514139,0.1060413790001733,0.5120004366731651,0.3633618949374896,16.967261896456257,0.0177455981360855,0.0,0.0145835644403307,0.0,V-tail,yes,no,0.0
