,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season
0,1010.0,1.02052605,3.9219565030328285,0.0,15.07236666,2.720816985,0.35,0.0,139.770145874302,200.0486324224716,LowAcc,3883582.9292578995,12.30633168953881,0.02148135282126979,0.45792939362723184,21.317530485035952,1.0245181912277306,2.2938826660198997,0.6881647998059699,0.1123930755856486,0.46704486793394145,0.1213205349799274,0.11310265893930105,1.7072749529351154,2.0,0.0,2.0,0.23333905261291069,3.0,Power Unconverged,1,Titan,139.770145874302,53.13422568367966,0.0,52.254400000000004,87.51574587430198,6.919346945957265,6.073672421745875,0.0826894200884901,2.280312088532926,0.2431669568846238,13.971216151085812,4.796532641887016,0.0,0.014583564440330758,0.0,Conventional,no,no,0.0,fall
1,1011.0,1.089941256,3.628747828606089,0.0,12.08121147,1.589757239,0.35,0.0,148.19193091388158,221.4586123299848,LowAcc,4137904.5093961693,13.112228145981218,0.01972029345317202,0.40043672536855074,20.30581980534069,0.6550627304921778,2.3616965897463156,0.7085089769238947,0.10282430729853842,0.5090372492105262,0.16005071042159344,0.10470301823381326,1.7605160072607855,2.0,0.0,1.0,0.2519087734099878,3.0,Power Unconverged,1,Titan,148.19193091388158,60.06561001692064,0.0,52.254400000000004,95.93753091388157,6.797820853215582,6.694619471193357,0.08804120937401802,2.48533679006722,0.2727548569867084,14.812740171487082,4.706023980196646,0.0,0.014583564440330758,0.0,Conventional,no,yes,0.0,spring
2,1012.0,1.329620175,3.22904662545679,0.0,7.841895231,2.007392882,0.35,0.0,192.58961046508608,433.74648978732466,LowAcc,5149080.59398758,16.316451802379078,0.01779814941006903,0.2754985033565796,15.47905329981782,0.1666560113667921,2.7008328588677855,0.7238085467290645,0.18253178365370054,0.6251403708262152,0.15250988709515095,0.18317791156406718,2.7008328588677855,3.0,0.0,6.0,0.3313566545672882,3.0,1,1,Titan,192.58961046508608,99.56751950074337,0.0,52.254400000000004,140.33521046508608,8.818976460868603,9.075961604679081,0.12776481031793221,3.0522017101504666,0.4126632028496479,19.249109657590147,0.016429953446500053,0.0,0.014583564440330758,0.0,Conventional,yes,yes,0.0,fall
3,1013.0,1.353195151,4.448169561238863,0.0,14.62184699,2.223715785,0.35,0.0,168.71774596359637,249.97016976304434,LowAcc,3715159.987347839,11.772631592224501,0.022198901896533396,0.45553175281398745,20.520463351618478,1.145348124099016,2.7144948570560086,0.8143484571168025,0.19405984621662892,0.8459156246650543,0.2614947090222164,0.19231944966892842,1.0187498551830012,1.0,0.0,6.0,0.22521776595064205,3.0,Power Unconverged,1,Titan,168.71774596359637,50.01009689606309,0.0,52.254400000000004,116.46334596359635,7.790023021010936,8.631968418039536,0.13044245703192126,4.130120588490087,0.2306129363160917,16.863669741180512,28.66182834102385,0.0,0.014583564440330758,0.0,Conventional,no,no,0.0,fall
4,1014.0,0.433116241,1.533114948355258,0.0,5.42681438,1.985319117,0.35,0.0,278.3208976697934,754.262545527354,LowAcc,7376881.928866495,23.375928235564476,0.036875877652749904,0.4111708899206627,11.150131633273842,0.9539137387252308,4.5527916943078415,0.7316653698422192,0.31413826560376207,0.2584965025826956,0.4301631628935543,0.3088129645227521,4.5527916943078415,5.0,0.0,2.0,0.44454750809108096,3.0,Fuselage greater than aeroshell diameter,1,Titan,278.3208976697934,172.12200112795733,0.0,52.254400000000004,226.0664976697934,4.613393341771801,19.334300964454396,0.29021251887916194,1.2132658288360014,0.6471280397321016,27.822551674651095,0.009060609071162472,0.0,0.014583564440330758,0.0,Conventional,yes,no,0.0,spring
5,1015.0,0.580459839,1.8985448474208544,0.0,6.209684625,2.385295749,0.35,0.0,259.17085235429283,680.8400144437695,LowAcc,6840728.128262743,21.676959364028768,0.029257117361278603,0.35412121579294004,12.103763040634162,0.43858913797095117,4.435487453296842,0.7137359108107448,0.14894644465215218,0.16350818223316954,0.1836119995761856,0.14813693721387047,4.435487453296842,5.0,0.0,6.0,0.42162665302965424,3.0,Fuselage greater than aeroshell diameter,1,Titan,259.17085235429283,156.58916116102282,0.0,52.254400000000004,206.91645235429283,5.270354367806889,17.444540749300703,0.28509175280992194,0.7983166289134277,0.5964399497287003,25.9084323028295,0.009531877440495794,0.0,0.014583564440330758,0.0,Conventional,yes,yes,0.0,spring
6,1016.0,0.987128168,3.194549349003711,0.0,10.33821734,2.18839776,0.35,0.0,145.35249108899052,249.56988883671102,LowAcc,4309426.122481377,13.655747339726016,0.021917997756567185,0.39983740395923484,18.242423801664707,0.7707704073317583,2.3392384367436154,0.7017715310230846,0.12967231065045026,0.5618535902585555,0.1515282874823566,0.1304770291010814,1.742883997809529,2.0,0.0,4.0,0.24591432688897563,3.0,1,1,Titan,145.35249108899052,57.58808069923473,0.0,52.254400000000004,93.0980910889905,6.483653742037147,6.666493253804658,0.08148145058068496,2.7432086761167924,0.2630706286246087,14.529004457925978,4.728514616225574,0.0,0.014583564440330758,0.0,Conventional,yes,yes,0.0,winter
7,1017.0,1.093215558,3.215756810883268,0.0,9.459334704,2.641351429,0.35,0.0,153.82225781548107,275.0686975838561,LowAcc,4422228.113336552,14.01319527890762,0.02121408369994495,0.3628310620505109,17.103310573411775,0.43379754661076714,2.3906806185144642,0.7172041855543392,0.13967178088248183,0.6331160725136907,0.15057263215604813,0.14069936528749868,1.783271514764632,2.0,0.0,2.0,0.2594404429436479,3.0,1,1,Titan,153.82225781548107,63.924368742641654,0.0,52.254400000000004,101.56785781548106,6.964378234793567,7.138307838133146,0.08837033309722184,3.0911424848407805,0.28510040136102427,15.375332927804678,4.686273288368675,0.0,0.014583564440330758,0.0,Conventional,yes,yes,0.0,winter
8,1018.0,1.172453671,4.095252251078519,0.0,14.30426755,1.652446732,0.35,0.0,64.25280638608375,135.23030285468457,LowAcc,3067755.1740549947,9.721129534739633,0.012722652569833313,0.2936489013564336,23.08079229112211,-0.06790516571528338,1.8172176,0.54516528,0.13645159560874562,0.16208953299999998,0.1302795632357447,0.13461720213915165,0.6665213999999999,1.0,0.0,6.0,0.0,3.0,Tail sizing failure,1,Titan,64.25280638608375,0.0,0.0,52.254400000000004,11.99840638608374,3.8750834858636525,0.8840476427446122,0.03152621097513038,0.7913901787629423,0.0,6.416358867737404,0.0,0.0,0.0,0.0,Conventional,yes,yes,0.0,fall
9,1019.0,1.402964544,4.0663304987782825,0.0,11.78578874,2.078911883,0.35,0.0,139.39674711917348,213.76571049918388,LowAcc,3841251.2087335233,12.172190561809273,0.01709781409099255,0.3395735761986261,19.860642675809643,0.3611393350320475,2.277822666796151,0.6833468000388453,0.14530610389556065,0.6972592566820026,0.14308137435237347,0.1469626577470903,1.6946661663591998,2.0,0.0,3.0,0.2287205884027721,3.0,1,1,Titan,139.39674711917348,51.01140652127415,0.0,52.254400000000004,87.14234711917348,7.6748322749325375,5.955505384780182,0.0827292163513191,3.404316846231436,0.23599855694203076,13.93391200137736,4.82906275284412,0.0,0.014583564440330758,0.0,Conventional,no,no,0.0,summer
