Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_VTail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season
1152,1.268063294,3.783866597,0,11.29095566,1.954415845,0.35,0,148.0293069,234.1845685,LowAcc,4022765.449,12.74737448,0.019228937,0.363773213,18.91800946,0.549779273,2.352495656,0.705748697,0.144254265,0.763149326,0.105202646,0.145103353,1.753292307,2,0,4,0.249470312,3,1,1,Titan,148.0293069,59.05058515,0,52.2544,95.77490688,6.55311718,6.562062928,0.088806622,3.726020246,0.268800241,14.79649974,4.714431203,0,0.014583564,0,Conventional,no,no,0,summer
1153,0.669520858,3.010439687,0,13.53616844,2.653712738,0.35,0,135.2813561,220.270842,LowAcc,4256822.277,13.48905581,0.028950231,0.562310462,19.42335,1.517352105,2.283893287,0.685167986,0.222502272,0.366542609,0.151067295,0.218301779,1.699432241,2,0,1,0.230477231,3,1,1,Titan,135.2813561,51.48253715,0,52.2544,83.0269561,4.875681566,6.218865872,0.072521973,1.789617228,0.238716051,13.51824226,4.816190435,0,0.014583564,0,Conventional,no,yes,0,spring
1154,0.561468886,2.868152577,0,14.65138926,2.636053725,0.35,0,139.9697645,241.6127668,LowAcc,4344468.807,13.76679091,0.035105321,0.66605261,18.97298154,1.956184488,2.324595868,0.69737876,0.236657112,0.282557359,0.154500646,0.231993083,1.731388043,2,0,6,0.24192601,3,1,1,Titan,139.9697645,56.19147713,0,52.2544,87.71536445,4.497578544,6.562152262,0.075231207,1.379565444,0.256697379,13.99112895,4.746949976,0,0.014583564,0,Conventional,no,yes,0,fall
1155,1.205851553,3.812154774,0,12.0516692,2.324372156,0.35,0,140.2332919,220.7038752,LowAcc,3957263.531,12.53981143,0.019215864,0.37449041,19.48860594,0.637303826,2.287423218,0.686226965,0.14753789,0.636586094,0.14869467,0.148130766,1.702203607,2,0,2,0.23149255,3,1,1,Titan,140.2332919,52.41418596,0,52.2544,87.97889189,7.221001515,6.072529966,0.081685056,3.108084608,0.240291787,14.01749793,4.809031509,0,0.014583564,0,Conventional,no,no,0,winter
1157,0.636777836,2.950285654,0,13.66910867,2.496547527,0.35,0,138.3476819,228.9343821,LowAcc,4302124.662,13.63261041,0.030109097,0.591958595,19.66045632,1.657436974,2.308957687,0.692687306,0.094382331,0.220633696,0.148572699,0.094626747,1.719110428,2,0,2,0.237592589,3,1,1,Titan,138.3476819,54.24758133,0,52.2544,86.09328192,5.395358159,6.434861363,0.074541135,1.077227731,0.24983645,13.82904733,4.770244847,0,0.014583564,0,Conventional,yes,no,0,fall
1158,0.592247327,2.930083682,0,14.49629233,2.391476403,0.35,0,137.4940225,228.6537056,LowAcc,4175619.134,13.23173858,0.034872498,0.671447892,19.25436751,2.095277717,2.300483193,0.690144958,0.177616558,0.408973888,0.148588708,0.17471595,1.71245706,2,0,2,0.23521091,3,1,1,Titan,137.4940225,53.31269563,0,52.2544,85.23962247,4.778686792,6.288917416,0.073567595,1.996784816,0.246094055,13.74375412,4.784538488,0,0.014583564,0,Conventional,yes,no,0,summer
1159,1.380044428,3.848038083,0,10.72965246,2.266980365,0.35,0,150.6543573,237.4834009,LowAcc,3939942.589,12.48492467,0.018380016,0.354635499,19.29462435,0.482284541,2.362754755,0.708826426,0.08498336,0.909913519,0.070596779,0.089089035,1.761346778,2,0,6,0.2521877,3,1,1,Titan,150.6543573,60.18234424,0,52.2544,98.3999573,7.040328413,6.591732004,0.091235348,4.442585584,0.273208536,15.05881348,4.705126141,0,0.014583564,0,Conventional,yes,no,0,fall
1160,0.757272156,3.472328527,0,15.92170702,2.420613774,0.35,0,139.4885233,213.0404339,LowAcc,3789576.428,12.00844306,0.030958102,0.64681266,20.89316276,2.059751766,2.308470971,0.692541291,0.181369265,0.490636671,0.045477465,0.178417033,1.718728305,2,0,5,0.237456448,3,1,1,Titan,139.4885233,54.40566595,0,52.2544,87.23412333,5.22822936,6.146740751,0.07968178,2.395497327,0.249621985,13.94306956,4.771033046,0,0.014583564,0,Conventional,yes,no,0,summer
1161,0.421983614,2.65676639,0,16.72673397,2.268746267,0.35,0,135.1891475,225.9360762,LowAcc,4294636.603,13.60888218,0.046337278,0.875924682,18.90323994,2.557191306,2.295038708,0.688511612,0.297742829,0.314425147,0.153659841,0.291849941,1.708182568,2,0,3,0.23366798,3,1,1,Titan,135.1891475,52.91806052,0,52.2544,82.93474748,3.538769392,6.311378639,0.069717759,1.535157567,0.243680407,13.50902364,4.794375994,0,0.014583564,0,Conventional,no,no,0,fall
1162,1.41213259,4.322876256,0,13.23336014,1.942054537,0.35,0,141.8660814,220.5916861,LowAcc,3627251.038,11.49406494,0.018534017,0.385053641,20.7755091,0.689229688,2.283808297,0.685142489,0.106059259,1.152684268,0.150197247,0.10925845,1.699365515,2,0,6,0.23045273,3,1,1,Titan,141.8660814,51.47316129,0,52.2544,89.6116814,7.369639804,5.804506281,0.086172011,5.627895842,0.238678073,14.18067881,4.81636572,0,0.014583564,0,Conventional,no,yes,0,spring
