,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold
0,1.0,2.2605427709908064,3.361950900140279,0.0,5.0,1.438074866310161,0.35,0.0,158.75143392936738,527.5302889213674,LowAcc,15256063.602615898,16.114516104536783,0.010422266186081173,0.13694173338428475,13.139343300132653,-1.1818027175993864,2.3674175164605935,0.710225254938178,0.09006860526909351,0.3014964416882201,0.13812316482831172,0.11241470181438167,1.7650075357441812,2.0,0.0,4.0,0.25341312159787854,3.0,Tail sizing failure,1,Titan,158.75143392936738,61.331212661467404,0.0,52.254400000000004,106.49703392936738,14.749204271847352,7.994873356181828,0.09076139601615847,1.472034118847338,0.2752049257324574,15.867824236468785,4.701335398365722,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
1,2.0,2.3754856237530504,3.515761331085445,0.0,5.203389830508475,1.4623902836943714,0.35,0.0,152.647118801432,350.46704408095144,LowAcc,14676638.284961184,15.502486759619641,0.009963340925517867,0.13539383728856985,13.589200480112293,-1.1924653724517205,2.3894890696402067,0.7168467208920619,0.1028461797422358,0.3167193385827789,0.15346476735693068,0.11402879193303016,1.7823360237200203,2.0,0.0,4.0,0.2591351267028449,3.0,Tail sizing failure,1,Titan,152.647118801432,63.791545862780566,0.0,52.254400000000004,100.39271880143198,7.375099051404038,7.345039173023882,0.09071537774200251,1.5463587891187658,0.28459610937160246,15.257885529225064,4.6868953443257375,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
2,3.0,2.490428476515295,3.6694956103039997,0.0,5.406779661016949,1.4867057010785825,0.35,0.0,289.53251761370404,732.2989395130967,LowAcc,18502920.585709002,19.54407241119836,0.010456567909075959,0.14114493936033623,13.498209028779609,-0.9210282375595091,4.517701319523104,0.7263019538934041,0.18126359123192423,0.39067880181067416,0.15218249304275108,0.19218675267193439,4.517701319523104,5.0,0.0,4.0,0.4378167743288675,3.0,Fuselage greater than aeroshell diameter,1,Titan,289.53251761370404,168.26204946880912,0.0,52.254400000000004,237.27811761370404,19.52297706574985,17.577251799291204,0.4091637493698908,1.9074604083401334,0.6320775452016608,28.943363328933017,0.009190683568833114,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
3,4.0,2.60537132927754,3.8231629242824448,0.0,5.610169491525424,1.5110211184627935,0.35,0.0,279.6086868010292,695.1305847770327,LowAcc,17875423.504284173,18.88126632389047,0.01048373441483484,0.1425506168639923,13.597312868044268,-0.9231381611217561,4.458318925895483,0.7172256052076181,0.1743413572706385,0.39142981604633226,0.15113830583240528,0.18663245635075804,4.458318925895483,5.0,0.0,4.0,0.42618447269123116,3.0,Fuselage greater than aeroshell diameter,1,Titan,279.6086868010292,159.8308190683734,0.0,52.254400000000004,227.35428680102916,19.91640329610315,16.718217144569877,0.39588100119610825,1.9111271799028042,0.6063916538741553,27.95143231965025,0.009431572919103745,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
4,5.0,2.720314182039784,3.9767710358855717,0.0,5.813559322033898,1.5353365358470046,0.35,0.0,174.9229567137719,323.9284388836564,LowAcc,14032615.818217827,14.82222541027394,0.00877661594266379,0.14820619144551742,16.886484769724966,-1.085792063206904,2.512006217880364,0.7536018653641091,0.11727938465363966,0.4367897913133705,0.14593187433682034,0.13319444569570782,1.8785248561432273,2.0,0.0,4.0,0.2888437911119328,3.0,1,1,Titan,174.9229567137719,77.44862767720834,0.0,52.254400000000004,122.66855671377189,12.173575118730643,8.273921438461361,0.11434092526039177,2.1325939104859812,0.3351630173772863,17.483784623004706,4.691966438802856,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
5,6.0,2.8352570348020283,4.1303265503821684,0.0,6.016949152542373,1.5596519532312156,0.35,0.0,177.2327059656966,334.964133228937,LowAcc,13748284.449061414,14.521894830470226,-0.22320126068534074,0.15009640394773271,-0.6724711298084108,-3.5724502227159785,2.5181281205996666,0.7554384361798999,0.11552447975696954,0.4451571481074948,-2.171746604725415,0.13417436729411394,1.883331192915153,2.0,0.0,4.0,0.2902485077730766,3.0,Negative aerodynamic coefficient,1,Titan,177.2327059656966,78.13104093525767,0.0,52.254400000000004,124.97830596569658,13.56148549286262,8.232589547301785,0.11762142916292924,2.1734469123209323,0.3376280781148409,17.71459703888831,4.695312967347158,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
6,7.0,2.9501998875642728,4.283835123859026,0.0,6.220338983050848,1.5839673706154267,0.35,0.0,184.4801525525242,362.55699474407874,LowAcc,13530689.720613014,14.292056135038802,0.010477001452959246,0.15501517344711685,14.795757559366622,-1.021044376792826,2.5662730730212693,0.7698819219063807,0.1293008910470461,0.4975192142497349,0.1498858104021998,0.14602704004052908,1.9211300384402472,2.0,0.0,4.0,0.3010673633902407,3.0,1,1,Titan,184.4801525525242,83.49779623129747,0.0,52.254400000000004,132.2257525525242,13.985005628719055,8.646994154083174,0.12674202387668346,2.429100834679413,0.3568346601380403,18.438782822583164,4.72991263270686,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
7,8.0,3.065142740326517,4.437301628096475,0.0,6.423728813559322,1.6082827879996378,0.35,0.0,168.30203769102286,305.0711623173286,LowAcc,12697435.263080599,13.411914787648193,0.009996257036116712,0.15456904707648841,15.462692337544624,-0.967799836589957,2.451529260905758,0.7354587782717275,0.1438035113869294,0.6218897136758976,0.1496862013235152,0.16005169275915643,1.8310440915037094,2.0,0.0,4.0,0.2745810149793509,3.0,1,1,Titan,168.30203769102286,70.70721424118207,0.0,52.254400000000004,116.04763769102287,12.883573983529807,7.488505276849864,0.11122416782743415,3.036330616590793,0.3105109378785101,16.82223671534548,4.673458187378598,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
8,9.0,3.1800855930887613,4.590730282176239,0.0,6.627118644067797,1.6325982053838484,0.35,0.0,162.0032221707243,280.6255646220791,LowAcc,12192641.495952835,12.878716480290892,0.009870699783167541,0.1555267542001542,15.756406092440704,-0.9621950338084894,2.4076281765012864,0.7222884529503859,0.14832288253722864,0.685747392347039,0.150522058103763,0.16440784773530026,1.79657712821216,2.0,0.0,4.0,0.26374473563050566,3.0,1,1,Titan,162.0032221707243,65.8135262141092,0.0,52.254400000000004,109.74882217072431,12.295411609179792,7.006768314848238,0.10626096890145129,3.348111018468692,0.29224412825070134,16.192848481848227,4.679067870677676,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
9,10.0,3.2950284458510053,4.744124758409624,0.0,6.830508474576272,1.6569136227680594,0.35,0.0,174.75258950451519,295.67347694156047,LowAcc,12235938.54201867,12.924449833551632,0.00995196111927001,0.16077027388274162,16.154632434349217,-0.9060629001288932,2.4368302048089805,0.7310490614426941,0.16353063629192813,0.7939498085682799,0.1492290778137598,0.1784799299716892,1.81950378825652,2.0,0.0,4.0,0.27100104433465094,3.0,1,1,Titan,174.75258950451519,69.06869902439743,0.0,52.254400000000004,116.00762035352875,13.177393163870125,7.30998597855568,0.11641653530619064,3.8764013277257994,0.30443166986009274,17.466336461351442,4.673372628021662,0.0,0.014583564440330758,0.0,V-tail,yes,yes,2.0
