,Unnamed: 0,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_VTail,S_HorTail,S_VerTail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,mWingFold,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season,t_mission,Sensor_Swath_width,Aeroshell_Diameter
0,0,4.0,1.418681194,3.519917010450735,0.0,8.733333333,2.590316883,0.35,0.0,152.85063905307177,279.93696497964896,LowAcc,400000.0,14.421288778603484,0.0155044891340026,0.2623250294980568,16.91929525899409,0.0084333087055555,2.402978393476624,0.720893518042987,0.0918907979969967,0.201383207,0.169444843,0.031938364,0.1503683951993854,0.0971560288406437,1.792926560054249,2.0,0.0,1.0,0.2625708208256272,3.0,1,1,Titan,152.85063905307177,64.45691831481386,0.0,52.2544,100.59623905307171,7.492103382745703,7.30849373365706,0.0916408996310853,0.9832386412488746,0.2902894647231503,15.278225614676618,4.680745437135058,0.0,0.0145835644403307,0.0,0.0,V-tail,no,yes,0.0,winter,0.0292975089818082,30.0,4.85
1,1,8.0,0.738052002,3.151518876513832,0.0,13.45714286,2.872684492,0.35,0.0,135.1423780980275,221.2100707698744,LowAcc,400000.0,13.52060651319701,0.0251813847580611,0.5071981688459207,20.141790204113143,1.3253160685427867,2.2853895082240845,0.6856168524672253,0.0665512331379336,0.086316775,0.044378411,0.041938364,0.1488447228318098,0.0685680194506234,1.7006069318156218,2.0,0.0,1.0,0.2309081362933581,3.0,1,1,Titan,135.1423780980275,51.50603392173873,0.0,52.2544,82.8879780980275,6.067991652902558,6.247285379285203,0.0737783013127345,0.4214352816815794,0.2393843478286286,13.504358480994188,4.813127167843558,0.0,0.0145835644403307,0.0,0.0,V-tail,yes,no,0.0,spring,0.0093747533538822,100.0,5.0
2,2,12.0,1.052188552,2.92708405523928,0.0,8.142857143,1.460846448,0.35,0.0,173.23608026330464,345.89463700310256,LowAcc,400000.0,16.266667556777644,0.0180792189966672,0.3150743321968601,17.427430479985937,0.161049136256686,2.5528167840890474,0.7658450352267142,0.0985918799269356,0.177748254,0.144431557,0.033316697,0.1561327720754019,0.1018392813049928,1.9105654379762975,2.0,0.0,2.0,0.2980830837582833,3.0,1,1,Titan,173.23608026330464,80.9916168923189,0.0,52.2544,120.98168026330464,7.77906380426865,8.8392766287326,0.1038022441253,0.8678427280548762,0.3514977158907142,17.315170763621264,4.718825921851976,0.0,0.0145835644403307,0.0,0.0,V-tail,no,no,0.0,fall,0.0779215231476857,10.0,5.0
3,3,16.0,0.37155936,2.5132666233410257,0.0,17.0,1.460846448,0.35,0.0,168.01901952363875,366.37030620526775,LowAcc,400000.0,15.809934831759469,0.0541415057796155,0.9160844484621964,16.920187853495307,3.090658643514454,2.603043168168416,0.6988973096759712,0.2113395904465789,0.165599481,0.1569382,0.008661281,0.3195496366064309,0.2070115189720436,2.603043168168416,3.0,0.0,6.0,0.3053630125818899,3.0,1,1,Titan,168.01901952363875,84.56305709076682,0.0,52.2544,115.76461952363871,4.996537177855213,8.107045470767702,0.0986336132426722,0.808527240754284,0.3645687064230081,16.793905563215098,0.017761096173596,0.0,0.0145835644403307,0.0,0.0,V-tail,no,yes,0.0,spring,0.0080172595652634,100.0,5.0
4,4,24.0,0.790408094,3.33216923317958,0.0,14.04761905,1.884397861,0.35,0.0,137.5656133218419,215.47104832515635,LowAcc,400000.0,13.017435436870407,0.0252293854492555,0.5200834996018177,20.61419611856478,1.3729195624245456,2.2986686365614326,0.6896005909684297,0.1418340373313024,0.230433832,0.169444843,0.060988989,0.2116544434450719,0.1405337893269286,1.7110324426009662,2.0,0.0,2.0,0.23469780420487,3.0,1,1,Titan,137.5656133218419,52.980688638720224,0.0,52.2544,85.3112133218419,6.133602185963663,6.196198231137907,0.0771010646465593,1.1250761731759065,0.2452904457755889,13.750913859948763,4.787759158032952,0.0,0.0145835644403307,0.0,0.0,V-tail,yes,yes,0.0,summer,0.0324570718686785,30.0,5.0
5,5,26.0,0.476271544,2.3591467075282035,0.0,11.68571429,2.872684492,0.35,0.0,186.84079919051692,438.1681591285107,LowAcc,400000.0,17.424803620246045,0.0410210276987342,0.6542545139901627,15.949247268867191,2.200642716726624,2.708339007349732,0.7257206853487103,0.1118104964005527,0.168876564,0.1569382,0.0119383639999999,0.1567244124414393,0.1110718894784864,2.708339007349732,3.0,0.0,6.0,0.333268104647232,3.0,1,1,Titan,186.84079919051692,99.33567704401274,0.0,52.2544,134.58639919051694,5.808751434948471,9.38414179931225,0.1114707599461375,0.8245273565741684,0.4162867810690318,18.674616000422787,0.0163444497910019,0.0,0.0145835644403307,0.0,0.0,V-tail,no,yes,0.0,spring,0.0242474949347188,30.0,5.0
6,6,34.0,0.528627635,2.4218277140550053,0.0,11.0952381,2.519724981,0.35,0.0,163.99893027244673,333.2626162996992,LowAcc,400000.0,15.977856015932772,0.037398665784551,0.615346275278994,16.45369593728092,1.812234127916705,2.5091627947918984,0.7527488384375695,0.0627873017992187,0.070497504,0.044378411,0.026119093,0.1513429024994953,0.0638066878056457,1.8762924703026047,2.0,0.0,1.0,0.2881890176371222,3.0,1,1,Titan,163.99893027244673,76.18371966990027,0.0,52.2544,111.74453027244672,5.167403520277185,8.52777335298288,0.0901857433009897,0.3441988588671005,0.3340162553817227,16.392151272903845,4.690498034392378,0.0,0.0145835644403307,0.0,0.0,V-tail,no,no,0.0,spring,0.0793300121929507,10.0,4.55
7,7,37.0,0.423915452,2.4402874378041126,0.0,14.04761905,1.460846448,0.35,0.0,151.49936687785333,289.902242328995,LowAcc,400000.0,14.796311120207722,0.0481824300467516,0.8265898950326163,17.15542147273543,2.875879564612282,2.4219412635480317,0.7265823790644094,0.0684574213804302,0.0788234189999999,0.056885055,0.0219383639999999,0.155413799413947,0.0686682788962814,1.8078144052070453,2.0,0.0,4.0,0.2673259562525906,3.0,1,1,Titan,151.49936687785333,66.58526066067203,0.0,52.2544,99.24496687785332,4.546469658239826,7.516729296012624,0.0803943100836437,0.3848495242016416,0.2982364758051347,15.14318238213293,4.67526100626514,0.0,0.0145835644403307,0.0,0.0,V-tail,yes,yes,0.0,spring,0.0856648324209719,10.0,3.8
8,8,48.0,1.418681194,3.860428493700888,0.0,10.5047619,2.590316883,0.35,0.0,146.28007396159495,221.7662530282923,LowAcc,400000.0,13.226320118290015,0.0139693526166497,0.2984610964820638,21.36542076590822,-0.0450867187675755,2.3012168038878507,0.6903650411663551,0.0714050752265388,0.145062676,0.11941827,0.025644406,0.1522220775354074,0.0779735141948995,1.713033021650249,2.0,0.0,5.0,0.2354180374360773,3.0,1,1,Titan,146.28007396159495,53.298687265272086,0.0,52.2544,88.63735250668554,8.540173645279772,6.339002254780266,0.0856708672511542,0.7082578064523807,0.2464187170831432,14.621305721170591,4.783252664955823,0.0,0.0145835644403307,0.0,5.388321454909416,V-tail,yes,yes,2.0,winter,0.0958334216339103,10.0,3.65
9,9,53.0,1.261612919,3.53666381487406,0.0,9.914285714,2.872684492,0.35,0.0,147.00485409128387,250.28058075009,LowAcc,400000.0,14.101672768254922,0.0150052652795657,0.2967083120433398,19.773613229444155,-0.0608657981136449,2.359925249653482,0.7079775748960445,0.0437571581733815,0.114270755,0.088151662,0.026119093,0.0972495805951288,0.0507999041941729,1.7591253191995504,2.0,0.0,6.0,0.2514411653035407,3.0,1,1,Titan,147.00485409128387,59.75983366995575,0.0,52.2544,94.75045409128388,7.75819880429989,6.899717708848401,0.0865466220909323,0.5579185253549123,0.2719948936275688,14.694101876502168,4.707558426163924,0.0,0.0145835644403307,0.0,0.0,V-tail,no,yes,0.0,summer,0.0898846210227308,10.0,5.0
