,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold
0,5.0,0.895120277,3.1514397664326306,0.0,11.0952381,2.16676547,0.35,0.0,148.10654573473485,265.6661897712297,LowAcc,4472602.6955670025,14.172822697438976,0.022984576668433163,0.41710517663402263,18.14717680690946,0.8289744265267545,2.3718174715569496,0.7115452414670849,0.08152101899154772,0.138849991,0.15038354353261396,0.08397929724538948,1.7684619627326665,2.0,0.0,5.0,0.2545640654420105,3.0,1,1,Titan,148.10654573473485,61.42120776356687,0.0,52.254400000000004,95.85214573473485,6.860317767666827,7.014776811632777,0.084064942156763,0.6779248305855932,0.2770847501687227,14.804183541139043,4.698001763377932,0.0,0.014583564440330758,0.0,V-tail,yes,no,0.0
1,8.0,0.37155936,2.5132666233410257,0.0,17.0,2.872684492,0.35,0.0,138.8355079063665,243.0880261206778,LowAcc,4436023.565426092,14.05691042863238,0.05385647137676139,0.9575424195679826,17.77952389174078,3.323396058424154,2.327463245368144,0.6982389736104432,0.17907220064551885,0.189744665,0.16649772585775097,0.1760089409497409,1.7336392355355472,2.0,0.0,1.0,0.24271218148200374,3.0,1,1,Titan,138.8355079063665,56.28906996355284,0.0,52.254400000000004,86.58110790636651,3.7640397633978497,6.636875508650387,0.0713037276773358,0.9264143191384517,0.2579492221101383,13.877780572639319,4.743091264759869,0.0,0.014583564440330758,0.0,V-tail,no,yes,0.0
2,12.0,1.418681194,3.9674432113670246,0.0,11.0952381,2.872684492,0.35,0.0,138.27585755557908,216.915027406093,LowAcc,3960172.689944284,12.549029995767372,0.015844557162092553,0.31340553646631236,19.780012357563525,0.0899690051835955,2.281642006996018,0.6844926020988054,0.1016234262129136,0.2312953716806044,0.14937207782675402,0.10638356154826967,1.6976647496573682,2.0,0.0,1.0,0.22982734902431895,3.0,1,1,Titan,138.27585755557908,51.43439343484334,0.0,52.254400000000004,86.02145755557909,8.447297659129692,6.033753264623573,0.08165926643446118,1.129282577064089,0.23770940305664562,13.821897954583804,4.82088043140316,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
3,15.0,0.895120277,3.1514397664326306,0.0,11.0952381,1.460846448,0.35,0.0,140.04198477628643,234.40594417141162,LowAcc,4388330.989447042,13.905781775062245,0.02190937481240364,0.40968632984661063,18.69913374318072,0.7925531918914515,2.314764167711046,0.6944292503133138,0.10065014852133772,0.16561832049684636,0.15130097117680413,0.10225087770541856,1.7236691254714969,2.0,0.0,1.0,0.239210757685298,3.0,1,1,Titan,140.04198477628643,54.88813831974184,0.0,52.254400000000004,87.78758477628641,6.4481150814082735,6.538816874542459,0.07743303785744862,0.808619223206828,0.2523906369468576,13.998346840891799,4.761141197250567,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
4,17.0,0.895120277,3.1514397664326306,0.0,11.0952381,2.872684492,0.35,0.0,146.53915044100586,260.03799845606613,LowAcc,4588065.074550827,14.538700897884588,0.02177865059360008,0.39218095563807015,18.00758747437352,0.7248228327537503,2.362149355762658,0.7086448067287974,0.055041802185869175,0.069450035,0.14968376781875345,0.05884827124863275,1.7608714761490056,2.0,0.0,1.0,0.25202815785204297,3.0,1,1,Titan,146.53915044100586,60.350476630477424,0.0,52.254400000000004,94.28475044100585,6.845816885485514,7.025814003587948,0.08283135454107593,0.3390846688030288,0.2729490047324478,14.647556230488556,4.705638098449526,0.0,0.014583564440330758,0.0,V-tail,no,no,0.0
5,20.0,0.37155936,2.5132666233410257,0.0,17.0,1.460846448,0.35,0.0,143.13425342929762,260.3142798443391,LowAcc,4485930.534953333,14.215056071923508,0.053727523055137325,0.965347435000476,17.9674658370124,3.5576724441858563,2.359531545001344,0.7078594635004032,0.05786715881545674,0.06303969200000001,0.15873799240609648,0.058082892522365245,1.7588162196869301,2.0,0.0,5.0,0.2513371148116926,3.0,1,1,Titan,143.13425342929762,60.06055752500603,0.0,52.254400000000004,90.87985342929761,4.230851724797802,6.90440346157445,0.07461589099494813,0.30778664234316,0.27182589324731715,14.30732386566536,4.707904861228223,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
6,21.0,1.418681194,3.9674432113670246,0.0,11.0952381,2.872684492,0.35,0.0,142.01298599579752,230.06494930479374,LowAcc,4153605.1475091423,13.161980465907236,0.015027064570807486,0.29259452387816315,19.471169668530976,-0.05573359574740666,2.3087882147647063,0.6926364644294118,0.0581620977167386,0.08838892195987956,0.14856677306291788,0.06584034609122563,1.7189773746041193,2.0,0.0,2.0,0.23754519437883487,3.0,1,1,Titan,142.01298599579752,54.795758796560634,0.0,52.254400000000004,89.7585859957975,8.856287759460649,6.3598575624110865,0.08494879040811704,0.43155238623886244,0.2497617811006821,14.195316506813192,4.770518848363949,0.0,0.014583564440330758,0.0,V-tail,no,no,0.0
7,22.0,0.37155936,2.5132666233410257,0.0,17.0,2.872684492,0.35,0.0,142.481792841738,257.14435420133486,LowAcc,4380352.548702765,13.880499621969877,0.05627906287806275,1.0078279490900353,17.907688890869586,3.472681104679551,2.3550475642225233,0.706514269266757,0.1793650352482202,0.19810612400000002,0.16388748658507446,0.1763030960076628,1.7552958237103808,2.0,0.0,6.0,0.25014900954742775,3.0,1,1,Titan,142.481792841738,59.33210554452447,0.0,52.254400000000004,90.22739284173801,3.822887909317187,6.792427794464657,0.07412688509486817,0.96723852542899,0.26989883988138236,14.24213364313032,4.711990135455804,0.0,0.014583564440330758,0.0,V-tail,yes,yes,0.0
8,24.0,1.418681194,4.910965312237503,0.0,17.0,2.16676547,0.35,0.0,139.97110263816677,196.85592739478628,LowAcc,3624306.3037309404,11.484733641756474,0.016038500474514647,0.37877137248917664,23.61638315820413,0.6633781113298594,2.277649142341034,0.6832947427023102,0.09377840395881545,0.2043610049140413,-0.06886476686529107,0.09575840159947924,1.6945299314322988,2.0,0.0,4.0,0.22867017762528902,3.0,1,1,Titan,139.97110263816677,51.32466217193237,0.0,52.254400000000004,82.44049282843723,5.100864263447426,5.85732478823618,0.08900924273875994,0.9977775197310099,0.2359207361880922,13.990909212296936,4.829441329426133,0.0,0.014583564440330758,0.0,V-tail,no,yes,2.0
9,25.0,0.895120277,3.1514397664326306,0.0,11.0952381,1.460846448,0.35,0.0,143.64259299778206,250.037400883369,LowAcc,4489915.1842499,14.22768266360528,0.022195657650690176,0.4014199303032076,18.085516393370998,0.8140592547607227,2.3393951508245,0.70181854524735,0.12117895492213333,0.188106124,0.15050247226522884,0.12187757524351099,1.7430070348266407,2.0,0.0,1.0,0.24595666260507462,3.0,1,1,Titan,143.64259299778206,57.830478302533564,0.0,52.254400000000004,91.38819299778206,6.407921892357369,6.786877523646504,0.0803163390165434,0.9184142636697226,0.26313858102349474,14.358128499147945,4.72833403194659,0.0,0.014583564440330758,0.0,V-tail,no,no,0.0
