,Unnamed: 0,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season
117,6,417.0,0.740900645,2.760668050984824,0.0,10.28651836,1.731912289,0.35,0.0,163.27276141437017,321.37880601282734,LowAcc,4857400.338875451,15.392172848617928,0.0282686396467191,0.4709982917251312,16.661512460851505,1.0666050150830717,2.4871366535534425,0.7461409960660327,0.0719982158741614,0.1210186478804508,0.1557625338431432,0.0739698196343811,1.8589996354713316,2.0,0.0,2.0,0.2830656114751309,3.0,1,1,Titan,163.27276141437017,74.19265579265969,0.0,52.2544,111.01836141437018,6.594482418514809,8.206960310258271,0.0930710256639775,0.5908646141867753,0.3250930103572353,16.319613308267503,4.681037370021577,0.0,0.0145835644403307,0.0,V-tail,yes,no,0.0,fall
118,7,418.0,1.416716613,4.078522178576532,0.0,11.74147533,2.162792192,0.35,0.0,140.38091734661543,215.6370079477828,LowAcc,4019506.875230627,12.737048683140122,0.0157673725834357,0.3092807587583024,19.61523754967357,0.3828352264602164,2.31272571802841,0.693817715408523,0.0777460091726871,0.161225225,0.1547371564156931,0.0824674221509746,1.722068728321036,2.0,0.0,2.0,0.2386439258318439,3.0,1,1,Titan,140.38091734661543,54.876873628759526,0.0,52.2544,88.12651734661542,7.037375289553225,6.277255252317803,0.0852566631698968,0.7871702587596795,0.2514948667531504,14.032233112605637,4.764274710256166,0.0,0.0145835644403307,0.0,V-tail,no,yes,0.0,summer
119,8,419.0,0.701609019,3.305642073891381,0.0,15.57458531,2.254619057,0.35,0.0,145.25105422698232,235.26316259416112,LowAcc,4305433.990115885,13.64309703562972,0.0279452776349704,0.5632012683801897,20.153718840689024,1.6471806542585965,2.359627492836271,0.7078882478508813,0.072529114008017,0.101493591,0.1624651549137408,0.0735759534331169,1.75889154881716,2.0,0.0,5.0,0.2513624764173849,3.0,1,1,Titan,145.25105422698232,60.46285266858586,0.0,52.2544,92.99665422698232,5.720215532682875,6.721335041726627,0.0835820886500702,0.4955349653872034,0.2718670824614796,14.518863030861205,4.707820252186657,0.0,0.0145835644403307,0.0,V-tail,no,no,0.0,summer
120,9,422.0,1.000225377,3.0336304105269414,0.0,9.20083981,1.754869005,0.35,0.0,163.11240931876642,321.433345495446,LowAcc,4880744.302556893,15.46614540572443,0.0209239424020454,0.3452155787650356,16.498591524094863,0.676141732461739,2.4844803955647285,0.7453441186694185,0.0775750567484677,0.1406273509999999,0.1502410954858264,0.0807379770987367,1.856914193896668,2.0,0.0,1.0,0.2824414710621991,3.0,1,1,Titan,163.11240931876642,73.89847870722257,0.0,52.2544,110.85800931876643,6.647138714420995,8.207321500798713,0.0961506535579277,0.6866026595736383,0.3240120183403057,16.303588436623027,4.680133063788923,0.0,0.0145835644403307,0.0,V-tail,no,yes,0.0,spring
121,10,433.0,0.93015531,2.9927669627224804,0.0,9.629202776,1.618011658,0.35,0.0,176.09168026877063,385.4130306497764,LowAcc,5202583.091662227,16.48599098683749,0.0214491873062966,0.3527107382582986,16.444014088811482,0.481921951998182,2.623101124230644,0.70400693314132,0.0812828430500256,0.1216535645983067,0.1487601600657895,0.0844883133564396,2.623101124230644,3.0,0.0,6.0,0.3108718849674917,3.0,1,1,Titan,176.09168026877063,87.95752288683686,0.0,52.2544,123.8372802687706,8.717555848841899,8.450512035672968,0.1105553569773365,0.5939645481895681,0.3745764067671807,17.600558939265472,0.0174506817789912,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0,spring
122,11,434.0,0.775608248,2.814431630168639,0.0,10.21266267,2.30229839,0.35,0.0,174.2687535320322,360.25799472203727,LowAcc,4926389.826024418,15.610787341320057,0.0280746927026108,0.46686672458406,16.62945092683574,1.0408201510674544,2.5618122133986607,0.7685436640195982,0.0663987349148659,0.098109624,0.1513063783494373,0.06870790638064,1.917627795000321,2.0,0.0,6.0,0.3000813410832659,3.0,1,1,Titan,174.2687535320322,83.00054073928078,0.0,52.2544,122.0143535320322,7.012650902438127,8.904671866420786,0.1033460908333482,0.479012996327931,0.3550680287234548,17.418358363667306,4.726120979900146,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0,winter
123,12,438.0,0.989092749,3.756557234314521,0.0,14.26733971,1.482920213,0.35,0.0,140.29581411538683,216.4436150302144,LowAcc,4080698.46423344,12.930953127720231,0.0210601126997772,0.4295483456692328,20.396298528534288,0.9614972002330004,2.315393699791364,0.6946181099374092,0.0906729408269882,0.163165391,0.1596702964488801,0.092418295370649,1.7241633742901206,2.0,0.0,5.0,0.2393855404601867,3.0,1,1,Titan,140.29581411538683,55.17234910680421,0.0,52.2544,88.04141411538683,6.622071883761537,6.316384478807178,0.0828013269688011,0.7966429760237225,0.2526670780443731,14.023726727323618,4.76018697321306,0.0,0.0145835644403307,0.0,V-tail,no,yes,0.0,winter
124,13,441.0,0.983853866,3.9560207736755015,0.0,15.90693588,1.481154312,0.35,0.0,136.21451804018022,199.51872457532448,LowAcc,3940221.687629362,12.485809084434056,0.0211069315265556,0.4497020339104288,21.305893438117074,1.0736947494612288,2.283017180761637,0.6849051542284911,0.0920781705509111,0.167529056,0.1613343622226936,0.0935642771229475,1.6987444055324357,2.0,0.0,4.0,0.2302245413584704,3.0,1,1,Titan,136.21451804018022,51.58669212422456,0.0,52.2544,83.96011804018022,6.776830983807834,6.015625883988087,0.0806514932255102,0.817948248242698,0.2383244623411331,13.611457293610634,4.818003986299398,0.0,0.0145835644403307,0.0,V-tail,no,yes,0.0,summer
125,14,442.0,1.319797268,3.660691830296365,0.0,10.15357813,2.304064292,0.35,0.0,147.45866037639857,259.7300999828815,LowAcc,4350387.946747742,13.785547528163551,0.0166091800321103,0.2977011069845157,17.923889464077927,0.2845327243753588,2.365203055901936,0.7095609167705809,0.0810179549686348,0.158984051,0.1502531777203606,0.0858696853973086,1.763268951565198,2.0,0.0,3.0,0.2528318791797139,3.0,1,1,Titan,147.45866037639857,60.452434913027616,0.0,52.2544,95.20426037639857,7.28553264137317,6.870491206878979,0.088178883218869,0.776227892157273,0.2742573441064845,14.73945167118082,4.703102260015008,0.0,0.0145835644403307,0.0,V-tail,no,yes,0.0,spring
126,15,443.0,0.963553192,2.913473872671963,0.0,8.809404688,1.987085018,0.35,0.0,204.462091262702,486.92033707531255,LowAcc,5640232.019428607,17.872816752315156,0.0210402247732957,0.3363694375669281,15.986969777711106,0.737891390756564,2.7923173862746045,0.7471135877065196,0.1105218483197721,0.164641287,0.1698398964131919,0.1122797327681765,2.7923173862746045,3.0,0.0,6.0,0.3539502257664224,3.0,1,1,Titan,204.462091262702,111.82754992640815,0.0,52.2544,152.20769126270196,8.252672015413127,10.261262202161063,0.135807074845054,0.8038489292870681,0.4562465526952882,20.44020974500356,0.0155112524483445,0.0,0.0145835644403307,0.0,V-tail,no,yes,0.0,winter
