,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_VTail,S_HorTail,S_VerTail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,mWingFold,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season,t_mission,Sensor_Swath_width,Aeroshell_Diameter
10,32,0.68569591,2.60733296,0,9.914285714,2.872684492,0.35,0,167.7719381,340.6151873,LowAcc,400000,15.92628257,0.029039889,0.488454775,16.82013252,1.133334003,2.52696526,0.758089578,0.059912341,0.081799657,0.063138376,0.018661281,0.150169763,0.062050959,1.890269276,2,0,3,0.292264349,3,1,1,Titan,167.7719381,78.14403742,0,52.2544,115.5175381,6.376952208,8.676238681,0.0954215,0.399380787,0.341177131,16.76916615,4.70058069,0,0.014583564,0,0.0,V-tail,yes,yes,0,fall,0.079586903,10,5.0
11,34,1.313969011,4.72625361,0,17.0,1.460846448,0.35,0,167.1906756,215.3305362,LowAcc,400000,11.98764369,0.019703858,0.448357778,22.75482213,1.043092672,2.727965496,0.818389649,0.063485557,0.105510791,0.069391698,0.036119093,0.150341293,0.067797194,1.024037789,1,0,1,0.227195977,3,1,1,Titan,167.1906756,50.15176272,0,52.2544,114.9362756,9.478743069,8.895265575,0.133454418,0.515148648,0.233649012,16.71104792,28.80262069,0,0.014583564,0,0.0,V-tail,no,yes,0,spring,0.105735835,10,5.0
12,40,0.37155936,2.513266623,0,17.0,2.307949274,0.35,0,141.6208562,254.294526,LowAcc,400000,14.4182938,0.051924863,0.928403349,17.87974587,3.417167157,2.350833948,0.705250185,0.061491652,0.065152921,0.044378411,0.02077451,0.154875196,0.061619948,1.751987693,2,0,2,0.249027376,3,1,1,Titan,141.6208562,58.75718455,0,52.2544,89.36645624,4.175503075,6.887269321,0.073565787,0.318104327,0.268084136,14.15609482,4.716066659,0,0.014583564,0,0.0,V-tail,no,yes,0,winter,0.087910784,10,3.2
13,43,0.37155936,2.513266623,0,17.0,1.672622154,0.35,0,148.352534,281.2738933,LowAcc,400000,14.56497847,0.054139885,0.953043006,17.60334385,3.504580146,2.401727825,0.720518347,0.04945891,0.056316775,0.044378411,0.011938364,0.157021059,0.049917098,1.791944732,2,0,6,0.262254197,3,1,1,Titan,148.352534,64.36055484,0,52.2544,96.09813401,4.267772562,7.30161666,0.078902763,0.274962496,0.289763075,14.82874344,4.681234615,0,0.014583564,0,0.0,V-tail,no,no,0,summer,0.08702543,10,5.0
14,44,0.37155936,2.513266623,0,17.0,2.872684492,0.35,0,138.7319656,244.7230024,LowAcc,400000,13.95905568,0.053324753,0.970290289,18.19587045,3.498087612,2.3284495,0.69853485,0.102657556,0.126736762,0.106911627,0.019825135,0.154767038,0.101586907,1.734413549,2,0,4,0.242982003,3,1,1,Titan,138.7319656,56.29421213,0,52.2544,86.47756557,3.990731106,6.620341329,0.071307588,0.618782884,0.25837937,13.86743505,4.741792555,0,0.014583564,0,0.0,V-tail,yes,no,0,winter,0.090802956,10,5.0
15,45,0.423915452,2.684504178,0,17.0,2.872684492,0.35,0,141.4470504,246.6762445,LowAcc,400000,13.96195246,0.047184403,0.866737863,18.36916037,3.110761637,2.345667484,0.703700245,0.130132581,0.168876564,0.1569382,0.011938364,-0.03022948,0.128399404,1.747931475,2,0,1,0.247645168,3,1,1,Titan,141.4470504,58.18938495,0,52.2544,89.19265039,4.171649911,6.791471619,0.075058855,0.824527357,0.265853914,14.13873365,4.721386565,0,0.014583564,0,0.0,V-tail,no,no,0,summer,0.090784116,10,5.0
16,46,0.37155936,2.469233113,0,16.40952381,1.672622154,0.35,0,144.2203698,264.7578397,LowAcc,400000,14.07408992,0.055926519,0.992254749,17.74211521,3.44484744,2.36956559,0.710869677,0.154403184,0.172148555,0.150684878,0.021463677,0.158459692,0.152027007,1.766693999,2,0,6,0.253975668,3,1,1,Titan,144.2203698,60.82123478,0,52.2544,91.9659698,3.879260365,6.943667141,0.075065382,0.840502611,0.27612315,14.41585411,4.699678697,0,0.014583564,0,0.0,V-tail,yes,yes,0,spring,0.09006078,10,5.0
17,48,0.580983727,2.538927487,0,11.0952381,2.025581665,0.35,0,150.6950926,282.3157986,LowAcc,400000,15.09960378,0.033120686,0.57606232,17.39282569,1.563515301,2.405976655,0.721792997,0.118863042,0.170116599,0.138178235,0.031938364,0.15276413,0.118256595,1.795280511,2,0,1,0.263328381,3,1,1,Titan,150.6950926,64.82618266,0,52.2544,98.44069261,5.177240567,7.477682106,0.0804173,0.830581736,0.29155032,15.06281598,4.679638376,0,0.014583564,0,0.0,V-tail,yes,yes,0,summer,0.083944157,10,5.0
18,52,0.37155936,2.513266623,0,17.0,2.237357372,0.35,0,138.5523979,243.4094349,LowAcc,400000,14.06424602,0.05314591,0.954593255,17.96174434,3.384741839,2.326020842,0.697806253,0.119127548,0.183236228,0.169444843,0.013791385,0.163965394,0.117668574,1.732506797,2,0,2,0.242317025,3,1,1,Titan,138.5523979,56.02638471,0,52.2544,86.29799791,3.812838779,6.62660644,0.07111967,0.894637356,0.257319731,13.84949081,4.745016856,0,0.014583564,0,0.0,V-tail,no,no,0,fall,0.090123815,10,2.6
19,57,1.366325102,3.569223305,0,9.323809524,2.660908785,0.35,0,147.6588013,257.8795349,LowAcc,400000,14.06496844,0.015454431,0.276626128,17.89946998,-0.155611025,2.35847071,0.707541213,0.090323203,0.198580811,0.169444843,0.029135968,0.150483319,0.095831236,1.757983352,2,0,2,0.251056537,3,1,1,Titan,147.6588013,59.59959514,0,52.2544,95.40440131,8.09375812,6.900172739,0.087067703,0.96955615,0.271370363,14.7594494,4.708848126,0,0.014583564,0,0.0,V-tail,no,yes,0,summer,0.090119186,10,5.0
