Case,Planform,Span,Wing_AR,Wing_dhl,Power,L/D,Fuse_L,Fuse_D,PropulsionN,Tail_type,Winglet,Wing_folding,Season,Mass,Sensor_Swath_width,t_mission,Aeroshell_Diameter
1,1.078059532,3.239424024,11.89796391,2.486882905,272.6676531,21.47506777,2.553072542,0.72685823,3,Conventional,no,yes,winter,163.2398466,30,0.00946757,3.861802691
2,1.218784693,3.578829717,15.47763588,2.198674286,318.645545,21.79833413,2.50055759,0.739637278,4,Conventional,no,no,spring,167.1351946,30,0.030483263,2.833184994
3,0.843631768,3.391173974,10.69385133,2.291965246,264.0598774,18.20961745,2.669672582,0.767779755,5,V-tail,no,yes,winter,171.7508941,30,0.080636431,2.896400741
4,1.268640845,3.949853115,16.88381005,2.067492534,344.8722549,19.70569183,2.470747375,0.70362584,3,Conventional,no,yes,spring,157.6861195,30,0.008571324,2.770602542
5,1.098539819,3.161864035,11.01243897,2.013383848,390.7329836,21.37605923,2.590371474,0.694674856,5,Conventional,yes,yes,summer,166.5657906,30,0.10486902,3.148661639
6,0.871323657,3.879518981,11.75388976,1.967731418,333.704813,21.07188685,2.509109823,0.783226799,2,V-tail,no,no,spring,175.8218629,30,0.009657087,3.236411898
7,0.854026593,3.687108757,13.00491232,2.263000092,489.7335054,21.16938209,2.434871558,0.726483663,5,Conventional,yes,yes,summer,108.9137906,30,0.031153268,3.138768622
8,0.888556704,3.779434728,11.81324359,2.263349015,357.1293871,17.75218255,2.464786929,0.72326382,3,V-tail,yes,no,fall,156.4641136,30,0.009026563,3.238980044
9,0.965437853,3.41427034,13.89754261,2.118455224,308.646757,21.11898376,2.417264671,0.75171885,4,Conventional,no,yes,spring,163.9687402,30,0.086919875,2.868431491
10,0.944975296,3.117557777,12.09888066,2.512248502,251.5952634,20.28837587,2.543510972,0.781970691,1,Conventional,yes,no,summer,168.4031373,30,0.007627512,3.431420024
11,0.716400507,3.664853197,14.08054676,1.766398317,375.9382878,17.52592147,2.507919235,0.762120507,4,V-tail,no,yes,summer,167.3728429,30,0.098001962,2.863559231
12,1.16746412,3.229748439,14.75079688,2.031720584,357.6112965,23.0763169,2.511577219,0.698253695,3,V-tail,no,no,fall,160.2349231,30,0.028642674,2.833443633
13,0.563196567,3.209051326,13.1436481,1.807437398,385.3346127,23.34945607,2.620814314,0.782095663,2,Conventional,no,no,summer,178.3004285,30,0.028642674,3.332451877
14,1.047311756,2.514160825,10.89430653,2.372414104,355.4340662,19.14376141,2.621787457,0.742720252,4,Conventional,yes,yes,spring,176.4080201,30,0.00743911,3.728438175
15,1.13580821,4.996719592,13.15719533,2.232545136,438.8857045,15.00436699,2.560156122,0.755206764,4,Conventional,no,no,winter,160.1127002,30,0.010003993,3.994987782
16,0.503865152,3.618168508,10.31891655,2.07277415,399.0250837,21.92205584,2.414911064,0.750675099,4,Conventional,yes,no,spring,147.349441,30,0.030832636,2.949016883
17,1.125374886,2.567423825,14.8746467,2.061760995,215.903183,16.71451263,2.6441718,0.80617239,4,V-tail,no,yes,summer,157.3607431,30,0.008728121,2.815252922
18,0.768908904,3.556699551,13.15359183,2.171841518,236.5420653,20.14176335,2.468256781,0.70763249,6,V-tail,no,yes,winter,151.6458834,30,0.029010263,2.875748506
19,0.944087556,3.966119051,12.26354194,1.686794096,292.3157139,18.30225314,2.475493187,0.707684673,3,V-tail,yes,yes,fall,156.8935511,30,0.008443399,3.022891419
20,0.804570656,2.062537753,10.89128654,2.412883085,416.4753202,24.81985846,2.451680848,0.753009398,3,V-tail,no,no,fall,136.3594553,30,0.009944401,2.818169619
21,0.989349007,2.173174551,13.46531656,1.73590063,376.8386718,21.08312676,2.47289006,0.782037589,4,V-tail,no,no,spring,156.9032243,30,0.09115056,2.966657708
22,0.829150348,4.070452305,13.79135539,2.097559239,229.3494359,19.59767482,2.71132131,0.778329157,3,Conventional,no,no,fall,156.6277919,30,0.095002117,2.908548311
23,0.928641773,2.919496089,11.50222357,1.970729655,355.1755783,26.72604812,2.427199833,0.750595391,6,Conventional,no,no,summer,149.1956485,30,0.009085159,3.770981372
24,0.902825472,2.027929176,10.15368439,2.227940237,389.8865354,21.41693974,2.509125833,0.739733216,2,V-tail,yes,yes,summer,155.3326371,30,0.083703106,2.665117231
25,0.956156015,2.718645974,13.31519667,2.069119465,258.5427518,19.96064272,2.321999072,0.741718312,3,Conventional,yes,no,spring,151.4834899,30,0.025719256,3.098038065
26,0.865122284,3.382477556,9.870861636,2.309251923,433.8341459,17.48447376,2.50822127,0.750889579,5,Conventional,yes,yes,winter,151.3040636,30,0.030352976,3.775041087
27,0.746581606,2.76567831,8.706904336,2.053836238,266.103557,20.50075255,2.623729274,0.78956095,3,Conventional,yes,no,fall,170.5892613,30,0.009374753,3.185428929
28,0.822631537,3.566602397,6.971829642,1.920422824,314.2362363,21.54480648,2.512484224,0.768571846,2,Conventional,yes,yes,winter,173.0673605,30,0.009051899,3.427294069
29,0.986077298,3.305062929,10.63699376,2.632802262,322.4016656,20.663545,2.594498407,0.736162916,3,V-tail,no,yes,spring,175.2092561,30,0.008551004,2.693780542
30,0.600270193,3.686363988,10.64274046,2.37948781,343.004025,18.17547079,2.597824736,0.746979702,4,V-tail,no,yes,fall,177.5297277,30,0.082679039,2.954033135
31,1.239409767,2.203826503,11.1370889,2.035696823,380.0511836,19.03173467,2.530214333,0.756932845,7,Conventional,yes,no,summer,164.679965,30,0.029877921,3.290409228
32,0.839884803,2.983249335,12.22726187,2.136413164,299.645855,19.26804694,2.637569089,0.712347573,3,V-tail,yes,no,winter,167.065851,30,0.027191656,2.659841714
33,0.825618004,4.467549318,8.739836531,2.410966311,362.9861348,19.98356038,2.517211082,0.779364459,3,Conventional,no,no,spring,174.1953585,30,0.008623793,3.059967841
34,1.043274673,4.231045237,13.17359413,2.056598567,431.2522576,16.32575657,2.544403523,0.745494474,3,Conventional,yes,no,spring,159.775756,30,0.084757126,2.378427119
35,1.082601853,2.524928384,11.24154657,2.331218832,271.0423983,18.97359939,2.542040264,0.717278131,4,V-tail,yes,yes,fall,157.806045,30,0.029276898,3.020414071
36,0.742922079,2.818007718,11.40306118,2.236487628,210.0121747,17.69363049,2.599783219,0.742364775,4,Conventional,no,yes,winter,143.1812439,30,0.078851783,2.781002193
37,0.918813674,2.138291495,14.19872498,2.207035359,253.8703717,19.97179339,2.490240689,0.714786841,3,Conventional,no,yes,summer,146.4329871,30,0.091812303,2.640926986
38,0.686437057,3.576828363,12.84273367,2.133837122,297.0044132,24.15115913,2.412007743,0.719324725,5,Conventional,no,no,summer,154.4337808,30,0.009437096,3.071878698
39,0.702375257,3.187256855,10.38420203,2.110377881,420.8537217,20.86400789,2.54439512,0.805806933,1,V-tail,yes,no,winter,169.351188,30,0.028642674,2.237876274
40,0.801758877,3.354027888,10.29796069,1.776465329,352.3745707,24.91635443,2.585592967,0.710524627,3,V-tail,yes,no,fall,172.574896,30,0.087666803,3.452682168
41,0.874262252,3.536422744,13.46630097,2.206529186,448.0092991,22.48725707,2.481861464,0.728945559,3,V-tail,yes,yes,winter,140.2678593,30,0.009374753,2.845407221
42,1.051993127,3.637964467,15.40335387,2.274351007,457.5760109,20.56121449,2.516063499,0.751876327,2,V-tail,no,no,summer,146.9185218,30,0.006571774,2.768990287
43,1.012782197,3.663328656,10.39004993,1.905691159,313.0850885,19.55269002,2.460557026,0.766672651,4,Conventional,yes,yes,summer,169.4846542,30,0.009095217,3.170328521
44,0.837042965,3.490672984,11.63532993,1.830825575,357.1136071,23.34918043,2.552880248,0.774195585,4,Conventional,no,yes,fall,178.6125341,30,0.03267012,3.231268352
45,0.883712212,3.153563451,13.40772353,2.254005384,504.5931012,23.15919,2.572653324,0.79018809,4,V-tail,no,yes,winter,143.3389154,30,0.031485715,3.130422945
46,0.699935517,3.499836019,11.67126707,2.255207477,377.3766042,15.70639854,2.363645131,0.770886735,2,Conventional,no,no,spring,144.9001413,30,0.091284954,3.415095002
47,0.735851929,3.551767047,6.994704596,2.346567512,508.3653067,23.07130824,2.501858615,0.752319326,2,V-tail,yes,no,spring,122.123864,30,0.008627375,3.835855336
48,0.544565886,4.871752476,12.63965049,2.427975025,357.5487876,19.85806747,2.491598704,0.741006676,5,V-tail,no,yes,fall,173.3372726,30,0.031821788,3.668004043
49,0.876950853,2.702340021,12.12747836,2.23407299,390.2105308,17.50127161,2.542703639,0.708021197,3,Conventional,no,yes,spring,158.7005086,30,0.095948287,3.207952254
