,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_VTail,S_HorTail,S_VerTail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,mWingFold,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season,t_mission,Sensor_Swath_width,Aeroshell_Diameter
0,570.0,0.549699072,2.805155776846461,0.0,14.31492126,2.115925063,0.35,0.0,142.01769068077328,252.55053505117573,LowAcc,400000.0,14.013825423355756,0.03595519398943301,0.6661460651035684,18.527116424384868,2.081917674508641,2.3457923509802234,0.703737705294067,0.0807639288628428,0.103960442,0.079441419,0.024519023,0.15578241708468368,0.08108666638045836,1.7480295090075642,2.0,0.0,6.0,0.24767866521328813,3.0,1,1,Titan,142.01769068077328,58.1510738399221,0.0,52.254400000000004,89.76329068077327,5.064676190189453,6.765912746321755,0.07654544834400903,0.5075791832817144,0.2659078833271052,14.195758077456032,4.721253747490759,0.0,0.014583564440330758,0.0,0.0,V-tail,yes,yes,0.0,fall,0.009044807354661882,100.0,4.83960631
1,572.0,0.827450833,3.628205417316318,0.0,15.90895075,2.487830795,0.35,0.0,137.46573608522925,225.9403321027012,LowAcc,400000.0,12.540972709420977,0.024445694221503906,0.5348786327485899,21.880279934045745,1.5001538289955731,2.2976367733250114,0.6892910319975034,0.1111042444278791,0.190497666,0.15937581,0.031121856000000003,0.15215792309968265,0.1111302940224467,1.7102223215578514,2.0,0.0,6.0,0.23440552109003587,3.0,1,1,Titan,137.46573608522925,52.853887628948776,0.0,52.254400000000004,85.21133608522926,6.465370398560893,6.092540363105882,0.0794735696588265,0.9300907909313508,0.2448331019736106,13.74094031052726,4.7896163570823305,0.0,0.014583564440330758,0.0,0.0,V-tail,yes,yes,0.0,spring,0.010107059013125627,100.0,4.466925563
2,575.0,0.673841185,2.7083991922463446,0.0,10.88598671,1.462027805,0.35,0.0,147.78654137785358,269.60601509898333,LowAcc,400000.0,14.78004281689528,0.028815343872390826,0.5083834218670238,17.642802533206172,1.2502796873562567,2.3803548669431454,0.7141064600829435,0.12656371319401363,0.195961065,0.162001588,0.033959477,0.15178251270081536,0.12605248078521908,1.7751647150079943,2.0,0.0,1.0,0.2567825688093545,3.0,1,1,Titan,147.78654137785358,62.00634534979809,0.0,52.254400000000004,95.53214137785358,5.521791868789468,7.207780950698872,0.07977185814344623,0.9567654332184828,0.2807212217940439,14.772192126716991,4.692189004253864,0.0,0.014583564440330758,0.0,0.0,V-tail,yes,no,0.0,fall,0.0857591231814453,10.0,4.386096503
3,577.0,0.411136945,2.618996073512379,0.0,16.68334728,2.72929629,0.35,0.0,144.53453707792954,266.0576654315323,LowAcc,400000.0,14.027717013910294,0.05141879041065127,0.9046416299945579,17.593599981052137,3.177367277598695,2.37102371822705,0.711307115468115,0.09480048634653111,0.105939039,0.085622933,0.020316106,0.16817766838950687,0.09405353458444138,1.7678387829808373,2.0,0.0,6.0,0.2543568198103713,3.0,1,1,Titan,144.53453707792954,60.941167851052974,0.0,52.254400000000004,92.28013707792955,4.362611910166826,6.94502532215611,0.0769295768947391,0.5172395370661245,0.2767459172622031,14.447247490815881,4.698585908074368,0.0,0.014583564440330758,0.0,0.0,V-tail,yes,no,0.0,fall,0.0301195010636025,30.0,3.608722303
4,578.0,0.729681505,2.854389515951105,0.0,11.16588464,2.033223007,0.35,0.0,145.9446414522014,262.92561722271375,LowAcc,400000.0,14.582666066586418,0.026905640969851048,0.4762624963330526,17.701213543536305,1.129150021445455,2.3656984340923333,0.7097095302277,0.07925672916185382,0.12544345099999998,0.099672632,0.025770819,0.15074685499295126,0.08084398177349791,1.763657875486679,2.0,0.0,1.0,0.2529620199565079,3.0,1,1,Titan,145.9446414522014,60.39336411152434,0.0,52.254400000000004,93.6902414522014,5.974735386743833,7.050002837121742,0.07976875576702407,0.6124683887609842,0.27446940618475146,14.588147221152903,4.702701780505485,0.0,0.014583564440330758,0.0,0.0,V-tail,yes,no,0.0,winter,0.08691987506080678,10.0,2.955180127
5,581.0,0.572626877,2.8020179961105978,0.0,13.71103098,2.528197988,0.35,0.0,149.13801348321505,255.75438171647937,LowAcc,400000.0,14.247918293596435,0.03484272247507042,0.6496496727088512,18.645204121855528,2.0071880758418863,2.400836308137185,0.7202508924411555,0.08936077954339645,0.123014281,0.091684713,0.031329568,0.09493999971016585,0.08937248667853898,1.7912447980257404,2.0,0.0,2.0,0.26202824635697713,3.0,1,1,Titan,149.13801348321505,64.26565760364028,0.0,52.254400000000004,96.88361348321504,4.917489411675321,7.124593711144082,0.08245220109512066,0.6006081455672083,0.28938764102306275,14.907247928983725,4.681593275645912,0.0,0.014583564440330758,0.0,0.0,V-tail,yes,no,0.0,winter,0.0889620144109636,10.0,4.104010014
6,582.0,0.726812929,3.1092636332474166,0.0,13.30124982,2.808657123,0.35,0.0,137.92724945869986,231.84041263158167,LowAcc,400000.0,13.797448451444543,0.025737800703796235,0.504772052253425,19.612089551185814,1.3221492055237865,2.3059644813860896,0.6917893444158268,0.10581445854353223,0.16690419,0.138750707,0.028153483,0.15052953662187088,0.10607270274723943,1.7167604472542335,2.0,0.0,3.0,0.23675411275520383,3.0,1,1,Titan,137.92724945869986,53.76951163138877,0.0,52.254400000000004,85.67284945869984,5.75089553503398,6.436585163641814,0.07567107848945297,0.8148973861278512,0.24851662597821803,13.7870338586879,4.775154614911539,0.0,0.014583564440330758,0.0,0.0,V-tail,no,no,0.0,summer,0.009186651553885332,100.0,3.784143176
7,583.0,0.830232934,2.8688633078098906,0.0,9.913334369,2.415895986,0.35,0.0,169.54068503326732,361.50029413183694,LowAcc,400000.0,16.617784562602857,0.022296349829983773,0.3744494163376102,16.794202602349586,0.6202160683467001,2.5995636460854334,0.6980109258575877,0.10415993117442607,0.188404098,0.164315307,0.024088791,0.14070055448068258,0.10529882982932567,2.5995636460854334,3.0,0.0,4.0,0.3043972223166363,3.0,1,1,Titan,169.54068503326732,84.07557097915856,0.0,52.254400000000004,117.2862850332673,6.792008058223248,8.053513215553467,0.10413247783967941,0.9198690997270681,0.36282453336802467,16.94596586564256,0.01781723931436995,0.0,0.014583564440330758,0.0,0.0,V-tail,no,yes,0.0,spring,0.007627512005503005,100.0,4.935189144
8,584.0,0.547287474,3.0473884411762118,0.0,16.96836992,1.723334811,0.35,0.0,135.5091315351611,225.1585958769204,LowAcc,400000.0,13.437372851220328,0.035374770251490315,0.6943680799113686,19.628907127166865,2.288464946297048,2.294104462942079,0.6882313388826237,0.13320414478790724,0.180450059,0.158372955,0.022077104,0.15516368904148622,0.13144251100520168,1.7074490868199301,2.0,0.0,6.0,0.23340219622623082,3.0,1,1,Titan,135.5091315351611,52.464873212869904,0.0,52.254400000000004,83.2547315351611,4.973600686905707,6.26682319925096,0.0734505307369583,0.8810340915091259,0.24326549298433273,13.540983751153721,4.796117005310064,0.0,0.014583564440330758,0.0,0.0,V-tail,no,no,0.0,fall,0.009432822372313994,100.0,3.241717207
9,587.0,0.398003863,2.436312378589445,0.0,14.91346833,2.527573952,0.35,0.0,168.16537493504944,346.25463376459567,LowAcc,400000.0,14.783662342410507,0.05648693340001691,0.978927780582744,17.33016330786424,3.416655477831942,2.5465334489223435,0.763960034676703,0.11189802408161152,0.14584746,0.123295545,0.022551915,0.15638075998689804,0.11077145841803292,1.9056323597738554,2.0,0.0,1.0,0.2966793109552752,3.0,1,1,Titan,168.16537493504944,80.23515705831232,0.0,52.254400000000004,115.91097493504945,4.469344777939844,8.513956498511542,0.09433545858666391,0.7120894563964293,0.34899752697595005,16.8084963601925,4.714014233693873,0.0,0.014583564440330758,0.0,0.0,V-tail,yes,yes,0.0,summer,0.008573812653478704,100.0,3.979979839
10,588.0,0.503362388,2.8424394299332225,0.0,16.05098455,2.101356124,0.35,0.0,140.15649908473426,244.67562077092063,LowAcc,400000.0,13.86440906351926,0.03896370178309549,0.733491664293789,18.82499944119828,2.517264835464103,2.3319838776471977,0.6995951632941593,0.12080473872887182,0.165532296,0.15469931,0.010832986000000001,0.1640864984400802,0.11950223693743879,1.7371884067902068,2.0,0.0,6.0,0.24394649308536318,3.0,1,1,Titan,140.15649908473426,56.631996497913796,0.0,52.254400000000004,87.90209908473427,4.732328075975105,6.632605382609603,0.07542697704128308,0.8081992149516544,0.259919056046509,14.00978352445699,4.737256791298988,0.0,0.014583564440330758,0.0,0.0,V-tail,no,yes,0.0,fall,0.009142282997811502,100.0,4.578661397
