n_Cases,EQ_W_Wing,EQ_W_Therm,FOS,Panels,rho_b,rho_s,RTGfuelfrac,RTGfueltype,tstart,tmission,Type,Ult_n,Ult_s,Vm,Cruise_Alt,Min_Alt,Area_coverage,Sensor_swath_width,RoC_min_alt,RoC_max_alt,Accel,Planet,Season,Sensor_swath_width,Num_Folds,Launch_Veh_Mass_Const,D_shell,lb,b_weight,m_weight,P_weight,LD_weight,mRTG_weight,PropN_weight,Num_fold_weight
32,1,1,1.5,200,1970,1970,0,1,8,1,bwb,724000000,54500000,30,500,50,4.00E+05,10,0.001996198,0.001996198,0.019607137,Titan,fall,10,0,300,4.5,0.27,0.1,0.1,0.2,0.4,0.1,0.05,0.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cost,cost,cost,benefit,cost,benefit,cost
