drbatt,dtbatt,EQ_W_Wing,EQ_W_Therm,Foil0,Foil1,FOS,Fuse_d,Fuse_L,Fuse_Lt,Ht_S,NACA0,NACA1,Nz,Panels,PassN,PfracBattery,PfracRTG,PfracSpanels,Planet,PropBlade,PropD,PropN,PropulsionN,rho_b,rho_s,RTGfuelfrac,RTGfueltype,tstart,tmission,Type,Tail_type,Winglet,Ult_n,Ult_s,Vm,Vt_S,Wing_AR,Wing_dhl,Wing_S,Wing_Sweep,Wing_TR,Wing_fin_S,Wing_fin_TR,Cruise_Alt,Min_Alt,Cruise_V,RoC_min_alt,RoC_max_alt,Accel,Wing_folding,Num_Folds,Season,CASE,D_shell,Sensor_swath_width,Area_coverage
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.0423612108058032,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.008284367672336274,5.0,1.4380748663101606,0.3546702984905231,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,1.0,4.5,10.0,400000.0
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.046460682819268045,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.009050188364553456,5.387096774193548,1.4843525961704325,0.3889932306025092,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,2.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.050560154832732865,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.009815435140523528,5.774193548387097,1.5306303260307055,0.42331616271449535,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,3.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.054659626846197684,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.010580223709758857,6.161290322580645,1.5769080558909783,0.45763909482648146,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,4.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.0587590988596625,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.011344640597315736,6.548387096774194,1.6231857857512508,0.4919620269384675,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,5.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.06285857087312734,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.012108751809403726,6.935483870967742,1.6694635156115232,0.5262849590504536,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,6.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.06695804288659216,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.012872608581343132,7.32258064516129,1.7157412454717962,0.5606078911624398,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,7.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.07105751490005699,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.013636251294092093,7.709677419354838,1.7620189753320685,0.5949308232744259,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,8.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.0751569869135218,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.014399712206359659,8.096774193548388,1.8082967051923406,0.6292537553864119,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,9.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.07925645892698664,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.01516301740044192,8.483870967741936,1.854574435052613,0.663576687498398,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,10.0,,,
