Case,drbatt,dtbatt,EQ_W_Wing,EQ_W_Therm,Foil0,Foil1,FOS,Fuse_d,Fuse_L,Fuse_Lt,Ht_S,NACA0,NACA1,Nz,Panels,PassN,PfracBattery,PfracRTG,PfracSpanels,Planet,PropBlade,PropD,PropN,PropulsionN,rho_b,rho_s,RTGfuelfrac,RTGfueltype,tstart,tmission,Type,Tail_type,Winglet,Ult_n,Ult_s,Vm,Vt_S,Wing_AR,Wing_dhl,Wing_S,Wing_Sweep,Wing_TR,Wing_fin_S,Wing_fin_TR,Cruise_Alt,Min_Alt,Cruise_V,RoC_min_alt,RoC_max_alt,Accel,Wing_folding,Sensor_swath_width,Num_Folds,Season,Area_coverage
14,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.075645019,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,4,1970,1970,0,1,8,0.5,bwb,V-tail,no,724000000,54500000,30,0.008661281,17,1.460846448,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,spring,4.00E+05
15,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,3,1970,1970,0,1,8,0.5,bwb,V-tail,yes,724000000,54500000,30,0.008661281,5.19047619,2.872684492,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,summer,4.00E+05
16,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,3,1970,1970,0,1,8,0.5,bwb,V-tail,no,724000000,54500000,30,0.008661281,5.19047619,2.872684492,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,fall,4.00E+05
17,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,2,1970,1970,0,1,8,0.5,bwb,V-tail,no,724000000,54500000,30,0.031938364,17,1.460846448,0.895120277,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,spring,4.00E+05
18,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.106911627,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.5,bwb,V-tail,no,724000000,54500000,30,0.008661281,5.19047619,2.16676547,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,summer,4.00E+05
19,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,1,bwb,V-tail,yes,724000000,54500000,30,0.014480551,17,2.872684492,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,10,0,winter,4.00E+05
20,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,5,1970,1970,0,1,8,1,bwb,V-tail,no,724000000,54500000,30,0.020299822,5.19047619,2.519724981,1.156900736,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,10,0,summer,4.00E+05
21,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.5,bwb,V-tail,no,724000000,54500000,30,0.014480551,17,2.519724981,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,summer,4.00E+05
22,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.138178235,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,4,1970,1970,0,1,8,0.25,bwb,V-tail,yes,724000000,54500000,30,0.008661281,5.19047619,2.872684492,0.633339819,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,100,0,fall,4.00E+05
23,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.138178235,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,4,1970,1970,0,1,8,0.5,bwb,V-tail,yes,724000000,54500000,30,0.008661281,17,1.460846448,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,fall,4.00E+05
24,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,5,1970,1970,0,1,8,0.25,bwb,V-tail,no,724000000,54500000,30,0.008661281,5.19047619,2.872684492,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,100,0,spring,4.00E+05
25,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,5,1970,1970,0,1,8,1,bwb,V-tail,no,724000000,54500000,30,0.026119093,5.19047619,1.460846448,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,10,0,fall,4.00E+05
26,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,5,1970,1970,0,1,8,0.5,bwb,V-tail,yes,724000000,54500000,30,0.031938364,8.142857143,2.16676547,0.895120277,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,summer,4.00E+05
27,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.5,bwb,V-tail,yes,724000000,54500000,30,0.008661281,17,1.460846448,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,winter,4.00E+05
28,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.106911627,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,1,bwb,V-tail,no,724000000,54500000,30,0.008661281,8.142857143,2.16676547,0.895120277,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,10,0,winter,4.00E+05
29,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,0.5,bwb,V-tail,no,724000000,54500000,30,0.031938364,11.0952381,2.519724981,1.156900736,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,spring,4.00E+05
30,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,5,1970,1970,0,1,8,0.25,bwb,V-tail,no,724000000,54500000,30,0.008661281,11.0952381,1.460846448,0.633339819,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,100,0,spring,4.00E+05
31,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,2,1970,1970,0,1,8,0.5,bwb,V-tail,no,724000000,54500000,30,0.008661281,17,1.813805959,1.156900736,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,summer,4.00E+05
32,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,2,1970,1970,0,1,8,1,bwb,V-tail,no,724000000,54500000,30,0.008661281,17,2.872684492,0.633339819,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,10,0,fall,4.00E+05
33,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.138178235,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,3,1970,1970,0,1,8,0.25,bwb,V-tail,yes,724000000,54500000,30,0.020299822,14.04761905,1.813805959,0.895120277,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,100,0,spring,4.00E+05
34,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.075645019,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,1,bwb,V-tail,yes,724000000,54500000,30,0.008661281,17,2.872684492,0.895120277,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,10,0,winter,4.00E+05
35,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.138178235,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,4,1970,1970,0,1,8,0.5,bwb,V-tail,yes,724000000,54500000,30,0.020299822,5.19047619,1.813805959,0.895120277,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,winter,4.00E+05
36,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.25,bwb,V-tail,yes,724000000,54500000,30,0.008661281,5.19047619,1.460846448,0.895120277,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,100,0,summer,4.00E+05
37,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,3,1970,1970,0,1,8,1,bwb,V-tail,yes,724000000,54500000,30,0.031938364,17,1.460846448,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,10,0,winter,4.00E+05
38,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,0.5,bwb,V-tail,yes,724000000,54500000,30,0.014480551,11.0952381,1.460846448,0.633339819,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,spring,4.00E+05
39,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.106911627,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,3,1970,1970,0,1,8,0.25,bwb,V-tail,no,724000000,54500000,30,0.008661281,14.04761905,2.16676547,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,100,0,fall,4.00E+05
40,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.106911627,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,3,1970,1970,0,1,8,1,bwb,V-tail,no,724000000,54500000,30,0.031938364,14.04761905,1.813805959,1.156900736,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,10,0,fall,4.00E+05
41,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,3,1970,1970,0,1,8,0.5,bwb,V-tail,no,724000000,54500000,30,0.008661281,5.19047619,1.460846448,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,winter,4.00E+05
42,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,4,1970,1970,0,1,8,0.5,bwb,V-tail,no,724000000,54500000,30,0.031938364,14.04761905,2.872684492,0.895120277,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,fall,4.00E+05
43,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,2,1970,1970,0,1,8,0.25,bwb,V-tail,yes,724000000,54500000,30,0.008661281,14.04761905,1.813805959,1.156900736,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,100,0,spring,4.00E+05
44,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,2,1970,1970,0,1,8,0.5,bwb,V-tail,no,724000000,54500000,30,0.008661281,14.04761905,2.872684492,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,winter,4.00E+05
45,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.075645019,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.25,bwb,V-tail,no,724000000,54500000,30,0.031938364,11.0952381,1.460846448,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,100,0,fall,4.00E+05
46,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,3,1970,1970,0,1,8,1,bwb,V-tail,yes,724000000,54500000,30,0.014480551,5.19047619,1.813805959,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,10,0,spring,4.00E+05
47,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,0.25,bwb,V-tail,no,724000000,54500000,30,0.020299822,17,2.872684492,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,100,0,winter,4.00E+05
48,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.075645019,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.25,bwb,V-tail,yes,724000000,54500000,30,0.031938364,17,2.872684492,0.633339819,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,100,0,spring,4.00E+05
49,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,2,1970,1970,0,1,8,1,bwb,V-tail,no,724000000,54500000,30,0.008661281,14.04761905,1.460846448,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,10,0,summer,4.00E+05
50,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.5,bwb,V-tail,yes,724000000,54500000,30,0.031938364,5.19047619,2.872684492,0.895120277,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,winter,4.00E+05
51,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,1,bwb,V-tail,yes,724000000,54500000,30,0.014480551,17,2.519724981,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,10,0,fall,4.00E+05
52,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.138178235,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,5,1970,1970,0,1,8,0.25,bwb,V-tail,no,724000000,54500000,30,0.026119093,8.142857143,1.460846448,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,100,0,winter,4.00E+05
53,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.106911627,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,1,bwb,V-tail,yes,724000000,54500000,30,0.026119093,11.0952381,2.16676547,0.895120277,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,10,0,fall,4.00E+05
54,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,4,1970,1970,0,1,8,0.5,bwb,V-tail,yes,724000000,54500000,30,0.031938364,14.04761905,1.813805959,1.156900736,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,winter,4.00E+05
55,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.075645019,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,1,bwb,V-tail,yes,724000000,54500000,30,0.031938364,11.0952381,1.460846448,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,10,0,fall,4.00E+05
56,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,0.5,bwb,V-tail,yes,724000000,54500000,30,0.020299822,17,1.460846448,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,fall,4.00E+05
57,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,2,1970,1970,0,1,8,0.5,bwb,V-tail,no,724000000,54500000,30,0.020299822,17,2.872684492,0.895120277,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,summer,4.00E+05
58,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,5,1970,1970,0,1,8,1,bwb,V-tail,no,724000000,54500000,30,0.008661281,17,1.813805959,0.633339819,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,10,0,fall,4.00E+05
59,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.075645019,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,4,1970,1970,0,1,8,1,bwb,V-tail,no,724000000,54500000,30,0.014480551,17,1.460846448,1.156900736,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,10,0,fall,4.00E+05
60,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.138178235,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,3,1970,1970,0,1,8,0.5,bwb,V-tail,no,724000000,54500000,30,0.008661281,17,2.16676547,0.633339819,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,summer,4.00E+05
61,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.075645019,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,5,1970,1970,0,1,8,0.25,bwb,V-tail,no,724000000,54500000,30,0.031938364,17,1.460846448,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,100,0,fall,4.00E+05
62,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.138178235,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.5,bwb,V-tail,yes,724000000,54500000,30,0.026119093,17,1.460846448,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,summer,4.00E+05
63,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.138178235,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,2,1970,1970,0,1,8,0.25,bwb,V-tail,no,724000000,54500000,30,0.008661281,14.04761905,2.872684492,1.156900736,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,100,0,fall,4.00E+05
64,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.075645019,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,3,1970,1970,0,1,8,0.5,bwb,V-tail,no,724000000,54500000,30,0.014480551,5.19047619,1.813805959,1.156900736,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,summer,4.00E+05
65,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,0.5,bwb,V-tail,no,724000000,54500000,30,0.031938364,5.19047619,1.460846448,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,summer,4.00E+05
66,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.138178235,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,4,1970,1970,0,1,8,1,bwb,V-tail,no,724000000,54500000,30,0.014480551,5.19047619,2.16676547,0.633339819,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,10,0,winter,4.00E+05
67,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,4,1970,1970,0,1,8,1,bwb,V-tail,no,724000000,54500000,30,0.008661281,11.0952381,1.460846448,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,10,0,fall,4.00E+05
68,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.075645019,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,0.25,bwb,V-tail,yes,724000000,54500000,30,0.020299822,5.19047619,2.872684492,0.895120277,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,100,0,summer,4.00E+05
69,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.5,bwb,V-tail,no,724000000,54500000,30,0.031938364,17,2.519724981,0.633339819,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,spring,4.00E+05
70,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.106911627,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,3,1970,1970,0,1,8,1,bwb,V-tail,yes,724000000,54500000,30,0.031938364,14.04761905,2.872684492,0.633339819,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,10,0,spring,4.00E+05
71,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.138178235,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,1,bwb,V-tail,no,724000000,54500000,30,0.026119093,5.19047619,2.872684492,0.633339819,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,10,0,fall,4.00E+05
72,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,3,1970,1970,0,1,8,1,bwb,V-tail,no,724000000,54500000,30,0.020299822,11.0952381,2.519724981,1.156900736,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,10,0,spring,4.00E+05
